X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,occurrenceRemarks,barcode,imagecode,yearIdentified,monthIdentified,dayIdentified,coordinatePrecision,geoFlag,continentOcean,preparationType,previousCatalogNumber,phylum,order,infraspecificEpithet,typeStatus,class,relatedCatalogItem,individualCount,fieldNumber,sex,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-47.7419,-24.2972,"16",2021-03-15 16:37:00-03,NY,NYBG,"569097",PreservedSpecimen,Plantae,Cyperaceae,Rhynchospora,tenuis,Rhynchospora tenuis,Willd. ex Link,P. J. Silva Filho,K. D. Barreto,"3339","1994","12","01",Brazil,São Paulo,NA,Juquiá. Fazenda Primavera.,-47.7419,-24.2972,NA,NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=540214' target='other'> <mi>dwc_moreinfo</mi></a>,NY00569097,NY00569097_01,NA,NA,NA,NA,NA,South America,sheet,NA,Magnoliophyta,Poales,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.621883,-23.654505,"66",2021-03-15 16:37:00-03,NY,NYBG,"51587",PreservedSpecimen,Plantae,Cyperaceae,Rhynchospora,tenuis,Rhynchospora tenuis austro-brasiliensis,T.Koyama,T. M. Koyama,F. C. Hoehne,"27416","1931","04","02",Brazil,São Paulo,Sao Paulo,Parque do Estado,-46.621883,-23.654505,NA,NA,NA,NA,Date is: 2/4/931 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=667321' target='other'> <mi>dwc_moreinfo</mi></a>,NY00051587,NY00051587_01,NA,NA,NA,NA,NA,South America,sheet,NA,Magnoliophyta,Poales,austro-brasiliensis,holotype,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.27,-24.13,"91",2021-03-15 16:37:00-03,NY,NYBG,"612653",PreservedSpecimen,Plantae,Cyperaceae,Rhynchospora,tenuis,Rhynchospora tenuis austro-brasiliensis,T.Koyama,P. J. Silva Filho,L. B. Smith,"14739","1965","01","18",Brazil,Paraná,Jaguariaíva,"Barra do Rio das Mortes, Rio Jaguariaiva.",-49.27,-24.13,NA,NA,"810","810",<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=540236' target='other'> <mi>dwc_moreinfo</mi></a>,NY00612653,NY00612653_01,NA,NA,NA,NA,NA,South America,sheet,NA,Magnoliophyta,Poales,austro-brasiliensis,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.8627778,-24.8794444,"93",2021-03-15 16:37:00-03,NY,NYBG,"686143",PreservedSpecimen,Plantae,Cyperaceae,Rhynchospora,tenuis,Rhynchospora tenuis,Willd. ex Link,NA,H. de F. Leitão Filho,"32945","1995","02","07",Brazil,São Paulo,Pariquera-Açu,"Pariquera-Açú, estrada para Cananéia",-47.8627778,-24.8794444,NA,NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=828176' target='other'> <mi>dwc_moreinfo</mi></a>,NY00686143,NA,NA,NA,NA,NA,NA,South America,sheet,NA,Magnoliophyta,Poales,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.618358,-23.646109,"134",2021-03-15 16:37:00-03,NY,NYBG,"886312",PreservedSpecimen,Plantae,Cyperaceae,Rhynchospora,tenuis,Rhynchospora tenuis,Willd. ex Link,P. J. Silva Filho,B. V. Skvortzov,"311","1964","10","15",Brazil,São Paulo,São Paulo,"Grounds of the Instituto de Botânica, Parque do Estado, 10 km south of center of city of São Paulo.",-46.618358,-23.646109,NA,NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1020248' target='other'> <mi>dwc_moreinfo</mi></a>,NY00886312,NY00886312_01,NA,NA,NA,NA,NA,South America,sheet,NA,Magnoliophyta,Poales,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.99,-24.32,"135",2021-03-15 16:37:00-03,NY,NYBG,"612823",PreservedSpecimen,Plantae,Cyperaceae,Rhynchospora,tenuis,Rhynchospora tenuis,Willd. ex Link,P. J. Silva Filho,M. Alves,"1772","2000","01","07",Brazil,São Paulo,Peruíbe,"Estaçao Ecológica Juréia-Itains, trilha do Morrinho.",-46.99,-24.32,NA,NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=57517' target='other'> <mi>dwc_moreinfo</mi></a>,NY00612823,NY00612823_01,NA,NA,NA,NA,NA,South America,sheet,NA,Magnoliophyta,Poales,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.621883,-23.654505,"173",2021-03-15 16:37:00-03,NY,NYBG,"51587",PreservedSpecimen,Plantae,Cyperaceae,Rhynchospora,tenuis,Rhynchospora tenuis austro-brasiliensis,T.Koyama,T. M. Koyama,F. C. Hoehne,"27416","1931","04","02",Brazil,São Paulo,Sao Paulo,Parque do Estado,-46.621883,-23.654505,NA,NA,NA,NA,Date is: 2/4/931 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=667321' target='other'> <mi>dwc_moreinfo</mi></a>,NY00051587,NY00051587_01,NA,NA,NA,NA,NA,South America,sheet,NA,Magnoliophyta,Poales,austro-brasiliensis,holotype,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.27,-24.13,"181",2021-03-15 16:37:00-03,NY,NYBG,"612653",PreservedSpecimen,Plantae,Cyperaceae,Rhynchospora,tenuis,Rhynchospora tenuis austro-brasiliensis,T.Koyama,P. J. Silva Filho,L. B. Smith,"14739","1965","01","18",Brazil,Paraná,Jaguariaíva,"Barra do Rio das Mortes, Rio Jaguariaiva.",-49.27,-24.13,NA,NA,"810","810",<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=540236' target='other'> <mi>dwc_moreinfo</mi></a>,NY00612653,NY00612653_01,NA,NA,NA,NA,NA,South America,sheet,NA,Magnoliophyta,Poales,austro-brasiliensis,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"248",2019-12-12 15:31:41-03,UFABC,HUFABC,"001283",PreservedSpecimen,Plantae,Cyperaceae,Rhynchospora,tenuis,Rhynchospora tenuis,Link,Su.,S.T.P.S,"359","2017","02","02",Brasil,São Paulo,São Paulo,Aeroporto de Congonhas - gramado,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,Doação do herbário municipal (Pq do Ibirapuera).,HUFABC001283,NA,"2017","01",NA,"53584",auto,NA,NA,NA,Angiospermas,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.6300010681152,-24.3199996948242,"357",2020-11-04 11:05:57-03,ESALQ,ESA,"23988",PreservedSpecimen,Plantae,Cyperaceae,Rhynchospora,tenuis,Rhynchospora tenuis,Link,"Thomas, W.","Barreto, K.D.; Fernandes, G.D.; Fernandes, R.D.","3339.0","1994","12","01",Brasil,São Paulo,Juquiá,"Fazenda Primavera. 24*17'50,1S, 47*44'31,2W. Área perturbada.",-47.6300010681152,-24.3199996948242,NA,NA,NA,NA,"Erva, 20 cm alt.; espiguetas castanhas.",ESA023988,ESA023988,NA,NA,NA,"32505",auto,NA,NA,NA,Magnoliophyta,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
