X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,preparationType,occurrenceRemarks,barcode,imagecode,coordinatePrecision,geoFlag,class,yearIdentified,monthIdentified,dayIdentified,verbatimLongitude,verbatimLatitude,individualCount,fieldNumber,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-47.060001373291,-22.8999996185303,"38",2019-08-20 10:15:52-03,UNICAMP,UEC,"45297",S,Plantae,Magnoliopsida,NA,Hypericaceae,Hypericum,carinatum,Hypericum carinatum,Griseb.,Vogel Ely,"Monteiro, RF","17940","1985","11","20",NA,Brazil,São Paulo,Campinas,Mata Santa Genebra,-47.060001373291,-22.8999996185303,NA,NA,NA,"Flores, Erva 1m, flores amarelas, brejoso borda da mata.",UEC114212,UEC114212,"23900",auto,NA,"2019","03","19",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.0699996948242,-23.4300003051758,"218",2020-08-13 18:02:11-03,IBt,SP,"295493",S,Plantae,NA,NA,Hypericaceae,Hypericum,carinatum,Hypericum carinatum,Griseb.,NA,"Leitão Filho, HF",34487-A,"1996","01","29",NA,Brasil,São Paulo,Ubatuba,NA,-45.0699996948242,-23.4300003051758,NA,NA,NA,NA,NA,NA,"34265",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
