X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,typeStatus,recordedBy,recordNumber,year,month,day,country,stateProvince,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,occurrenceRemarks,barcode,phylum,class,order,yearIdentified,monthIdentified,county,imagecode,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-47.78,-20.51,"1",2021-03-15 18:27:32-03,USP,SPF,"132382",PreservedSpecimen,Plantae,Lamiaceae,Hyptis,riparia,Hyptis riparia,Harley,"Antar, GM",isotype,"Harley, RM","28524","1997","03","29",Brasil,São Paulo,"Bocaina do Sul. Guará, São José.",-47.78,-20.51,"-47.78","-20.51","600","600",Orla da mata.,SPF00132382,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.78,-20.51,"2",2019-10-07 09:16:19-03,UEFS,HUEFS,"26760",PreservedSpecimen,Plantae,Lamiaceae,Hyptis,riparia,Hyptis riparia,Harley,R.M.Harley,Isótipo,"Harley, R.M.","28524","1997","03","29",Brasil,São Paulo,"Guará, São José.",-47.78,-20.51,47W46'48'',20S30'36'',"600","600",Orla da mata.,HUEFS0026760,Angiospermae,Asteranae,Lamiales,"2014","03",Bocaina do Sul,HUEFS0026760,"35",São Paulo,SP,Sudeste
