X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,typeStatus,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,locality,preparationType,occurrenceRemarks,barcode,imagecode,county,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,yearIdentified,monthIdentified,dayIdentified,verbatimLongitude,verbatimLatitude,class,relatedCatalogItem,coordinatePrecision,geoFlag,fieldNumber,individualCount,sex,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-48.4301,-24.5137,"6",2020-11-24 17:10:45-03,UTFPR,DVPR,"3184",PreservedSpecimen,Plantae,Magnoliophyta,NA,Lauraceae,Nectandra,paranaensis,Nectandra paranaensis,Coe-Teix,"Brotto, ML",NA,"Brotto, ML; Silva, JM; Mello, MCH","1766","2014","08","27",NA,Brasil,Paraná,Parque Estadual das Lauráceas,NA,"Árvore 16 m, flores brancas.; Floresta Ombrófila Densa Montana",DVPR003184,NA,Adrianópolis,-48.4301,-24.5137,"950","950","2014","09","09","-48.4301","-24.5137",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.583889,-24.055,"20",2020-01-27 17:29:03-03,UTFPR,HCF,"30219",S,Plantae,NA,NA,Lauraceae,Nectandra,paranaensis,Nectandra paranaensis,Coe-Teix.,M.L. Brotto,NA,M.L. Brotto,"2773","2018","09","11",NA,Brasil,SP,Rodovia BR-478,NA,"árvore com 17 m de altura. Flores brancas, odoríferas.",NA,NA,Tapiraí,-47.583889,-24.055,"468","468","2018","09","19",47°35'02 W,24°03'18 S,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.230833,-24.890833,"23",2020-12-21 16:30:59-03,MBM,MBM,"406322",PreservedSpecimen,Plantae,NA,NA,Lauraceae,Nectandra,paranaensis,Nectandra paranaensis,Cor-Teixeira,"Brotto, M.L.",NA,"Brotto, M.L.; Völtz, R.R.; Völtz, R.R.","2325","2016","09","03",Southern America,Brazil,São Paulo,"Rodovia BR-116, na margem",NA,"Árvore com 15 m de altura; flores brancas com odor agradável intenso.; Floresta Ombrófila Densa Submontana.",MBM406322,MBM406322,Cajati,-48.230833,-24.890833,"564","564","2016","09","14","-48.230833","-24.890833",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.583889,-24.055,"26",2020-12-21 16:30:59-03,MBM,MBM,"414637",PreservedSpecimen,Plantae,NA,NA,Lauraceae,Nectandra,paranaensis,Nectandra paranaensis,Cor-Teixeira,"Brotto, M.L.",NA,"Brotto, M.L.; Barboza, E.; Vaz, J.; Barboza, E.; Vaz, J.","2773","2018","09","11",Southern America,Brazil,São Paulo,Rodovia BR-478,NA,"Árvore com 17 m de altura; flores brancas, odoríferas.; Floresta Ombrófila Densa Montana.",MBM414637,MBM414637,Tapiraí,-47.583889,-24.055,"468","468","2018","09","19","-47.583889","-24.055",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.93333,-24.25,"50",2008-05-27 22:02:00-03,MO,MOBOT,"56758",PreservedSpecimen,Plantae,NA,NA,Lauraceae,Nectandra,paranaensis,Nectandra paranaensis,Coe-Teix.,J. Rohwer (HBG),NA,"Alwyn H. Gentry|Dias, A. Cecilio|G.A. Franco",Gentry 58844,"1987","9","2",South America,Brazil,São Paulo,"Carlos Botelho State Park, Riberão Branco, Km 55, ca. 23 km S of Park headquarters.",NA,NA,NA,NA,NA,-46.93333,-24.25,"550.00000000","600.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,87-196,"8",NA,"35",São Paulo,SP,Sudeste
-47.540306,-22.357806,"56",2020-06-15 15:30:53-03,UNESP-RC,HRCB,"56164",PreservedSpecimen,Plantae,NA,NA,Lauraceae,Nectandra,paranaensis,Nectandra paranaensis,Coe-Teixeira,"Rohwer, J.G.",NA,"Moraes, P.L.R.","3354","2011","09","01",NA,Brasil,São Paulo,Trilha da Educação Ambiental,NA,"Árvore 20 m, flores brancas",NA,NA,São Miguel Arcanjo,-47.540306,-22.357806,"626","626","2011","09","19",47º32'25.1W,22º21'28.1S,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.43,-24.5137,"62",2019-12-09 17:30:06-03,UFPR,EFC,"15594",PreservedSpecimen,Plantae,NA,NA,Lauraceae,Nectandra,paranaensis,Nectandra paranaensis,Coe-Teix.,"Brotto, M.L.",NA,"Brotto, M.L.","1766","2014","08","27",NA,Brasil,Paraná,Parque Estadual das Lauráceas,NA,"Árvore 16m, flores brancas. Floresta Ombrófila Densa Montana",EFC015594,NA,Adrianópolis,-48.43,-24.5137,"950","950","2014","09","09","-48.4300","-24.5137",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.5,-23.9599990844727,"65",2019-11-13 11:21:06-03,USP,SPF,"159957",PreservedSpecimen,Plantae,NA,NA,Lauraceae,Nectandra,paranaensis,Nectandra paranaensis,Coe-Teix.,"Brotto, ML",NA,"Mello-Silva, R","2180","2003","11","09",NA,Brasil,São Paulo,"Claros, sítio Palmira, próximo ao rio Claro e à igreja da Congregação Cristã.",NA,NA,SPF00159957,NA,Tapiraí,-47.5,-23.9599990844727,NA,NA,"2016","09","09",NA,NA,NA,NA,"41034",auto,NA,NA,NA,"35",São Paulo,SP,Sudeste
-52.866944,-22.596667,"73",2020-11-04 17:29:14-03,UEM,HUEM,"15938",S,Plantae,NA,NA,Lauraceae,Nectandra,paranaensis,Nectandra paranaensis,Coe-Teix.,Pedro L.R. de Moraes,NA,"Romagnolo, MB","2049","2009","05","19",NA,Brasil,Paraná,"Estação Ecológica do Caiuá, próximo ao ribeirão Conceição",NA,"Arbórea. Aproximadamente 15m de altura. Flores de coloração creme. Inflorescência de coloração verde.; Floresta Estacional Semidecidual.",HUEM000004986,HUEM000004986,Diamante do Norte,-52.866944,-22.596667,"297","297","2012","12",NA,"-52.866944","-22.596667",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9900016784668,-23.8700008392334,"77",2021-03-04 15:44:03-03,IF,SPSF,"20089",PreservedSpecimen,Plantae,Magnoliophyta,Laurales,Lauraceae,Nectandra,paranaensis,Nectandra paranaensis,Coe -Teixeira,J.B.Baitello,NA,A.Gentry,"58844","1987","09","02",América do Sul,Brasil,SP,Ribeirao Branco,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,São Miguel Arcanjo,-47.9900016784668,-23.8700008392334,NA,NA,"1996","05","07",NA,NA,Magnoliopsida,NA,"27904",auto,NA,NA,NA,"35",São Paulo,SP,Sudeste
