X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,recordedBy,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,barcode,imagecode,monthIdentified,dayIdentified,recordNumber,occurrenceRemarks,phylum,order,continentOcean,preparationType,coordinatePrecision,geoFlag,class,relatedCatalogItem,typeStatus,fieldNumber,individualCount,infraspecificEpithet,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-47.5499992370605,-24.7000007629395,"75",2020-11-04 11:14:50-03,ESALQ,ESA,"4995",PreservedSpecimen,Plantae,Myrtaceae,Myrcia,glabra,Myrcia glabra,(Berg) Legr.,"Jaramillo, C.B.J.","1986","Catharino, E.L.M.","1986","05","22",Brasil,São Paulo,Iguape,NA,-47.5499992370605,-24.7000007629395,NA,NA,NA,NA,ESA004995,ESA004995,"07","25",NA,NA,Magnoliophyta,NA,NA,NA,"55628",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9900016784668,-23.8700008392334,"76",2020-11-04 11:14:50-03,ESALQ,ESA,"104485",PreservedSpecimen,Plantae,Myrtaceae,Myrcia,glabra,Myrcia glabra,NA,"Aguiar, O.T.","2002","Aguiar, O.T.","2002","03","13",Brasil,São Paulo,São Miguel Arcanjo,NA,-47.9900016784668,-23.8700008392334,NA,NA,NA,NA,ESA104485,NA,"03","17","1078.0",NA,Magnoliophyta,NA,NA,NA,"27904",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9199981689453,-25.0100002288818,"78",2020-11-04 10:56:24-03,ESALQ,ESA,"139110",PreservedSpecimen,Plantae,Myrtaceae,Myrcia,glabra?,Myrcia glabra?,NA,NA,NA,"Colletta, G.D","2016","03","30",Brasil,SP,Cananéia,Ilha do Cardoso,-47.9199981689453,-25.0100002288818,NA,NA,NA,NA,ESA139110,NA,NA,NA,"2629.0","Árvore, 7m, estéril",NA,NA,NA,NA,"37574",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.1,-24.52,"79",2015-07-02 14:03:18-03,JBP,HPL,"5609",S,Plantae,Myrtaceae,Myrcia,glabra,Myrcia glabra,(Berg.) D. Legrand.,H. Lorenzi,"1994",H. Lorenzi,"1994","02","18",Brasil,SP,Eldorado,Coletado na estrada para Sete Barra.,-48.1,-24.52,NA,NA,NA,NA,NA,NA,"02","18","1360",NA,NA,NA,NA,NA,"38804",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.88,-24.71,"80",2015-07-02 14:03:18-03,JBP,HPL,"10016",S,Plantae,Myrtaceae,Myrcia,glabra,Myrcia glabra,NA,H. Lorenzi,"1993",H. Lorenzi,"1993","06","03",Brasil,SP,Pariquera-açu,Coletado na estrada para Iguape a cerca de 800m de Pariquera.,-47.88,-24.71,NA,NA,NA,NA,NA,NA,"06","03","218",NA,NA,NA,NA,NA,"17990",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.88,-24.71,"81",2015-07-02 14:03:18-03,JBP,HPL,"9191",S,Plantae,Myrtaceae,Myrcia,glabra,Myrcia glabra,(O. Berg) D. Legrand,H. Lorenzi,"1993",H. Lorenzi,"1993","04","30",Brasil,SP,Pariquera-açu,Coletado na estrada para Iguape a cerca de 800m de Pariquera.,-47.88,-24.71,NA,NA,NA,NA,NA,NA,"04","30","192",NA,NA,NA,NA,NA,"17990",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.88,-24.71,"82",2015-07-02 14:03:18-03,JBP,HPL,"9148",S,Plantae,Myrtaceae,Myrcia,glabra,Myrcia glabra,(O. Berg) D. Legrand,M.L. Kawasaki,"1995",H. Lorenzi,"1993","03","03",Brasil,SP,Pariquera-açu,"Coletado na estrada para Iguape, cerca de 800m de Pariquera.",-47.88,-24.71,NA,NA,NA,NA,NA,NA,"05","01","160",NA,NA,NA,NA,NA,"17990",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.866667,-22.916667,"145",2021-03-01 16:36:35-03,UNICAMP,UEC,"176914",S,Plantae,Myrtaceae,Myrcia,citrifolia,Myrcia citrifolia,(Aubl.) Urb.,"Santos, K",NA,"Santos, K; Belinello, R","2001","02","01",Brazil,São Paulo,Itatiba,Mata da Fazenda Malabar.,-46.866667,-22.916667,"-46.866667","-22.916667","717","717",UEC105248,UEC105248,NA,NA,"4074","Árvore zoocórica, altura total 10 m, infestado por lianas.; Floresta estacional semidecidual.",Magnoliopsida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.949,-24.353833,"146",2021-03-01 16:36:36-03,UNICAMP,UEC,"072582",S,Plantae,Myrtaceae,Myrcia,glabra,Myrcia glabra,(O.Berg) D.Legrand,NA,NA,"Leitão Filho, HF; et al.","1995","02","13",Brazil,São Paulo,Sete Barras,Estrada Sete Barras Juquiá,-47.949,-24.353833,"-47.949","-24.353833",NA,NA,UEC065324,UEC065324,NA,NA,"33422","Árvore 6 m, botões e flores brancas.; Mata Atlântica de Encosta",Magnoliopsida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.481389,-23.425,"149",2021-03-01 16:36:36-03,UNICAMP,UEC,"61336",S,Plantae,Myrtaceae,Myrcia,glabra,Myrcia glabra,(O.Berg) D.Legrand,"Lima, DF","2016","Gandolfi, S; Leitão Filho, HF; Bezerra, CLF","1984","02","21",Brazil,São Paulo,Guarulhos,Aeroporto Internacional de São Paulo.,-46.481389,-23.425,"-46.481389","-23.425",NA,NA,UEC111376,NA,"06",NA,"783",Mata Mesófila Semidecídua.,Magnoliopsida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9199981689453,-24.3799991607666,"204",2020-12-21 16:37:08-03,MBM,MBM,"215870",PreservedSpecimen,Plantae,Myrtaceae,Myrcia,citrifolia,Myrcia citrifolia,(Aublet) Urban,NA,NA,"Leitão Filho, H.F.; et al.; et al.","1995","02","13",Brazil,São Paulo,Sete Barras,Estrada para Juquiá,-47.9199981689453,-24.3799991607666,NA,NA,NA,NA,MBM215870,MBM215870,NA,NA,"33422",NA,NA,NA,Southern America,NA,"34059",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.5046997070312,-24.7563991546631,"221",2020-12-21 16:37:12-03,MBM,MBM,"82363",PreservedSpecimen,Plantae,Myrtaceae,Myrcia,glabra,Myrcia glabra,O.Berg,"Sobral, M.",NA,"Hatschbach, G.","1983","05","10",Brazil,São Paulo,Barra do Turvo,"Rod. BR-116, Rio Caatinga",-48.5046997070312,-24.7563991546631,NA,NA,NA,NA,MBM082363,MBM082363,NA,NA,"46281",NA,NA,NA,Southern America,NA,"38172",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
