X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,recordNumber,year,month,day,country,stateProvince,county,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,barcode,imagecode,locality,phylum,order,continentOcean,preparationType,occurrenceRemarks,coordinatePrecision,geoFlag,class,typeStatus,previousCatalogNumber,individualCount,fieldNumber,relatedCatalogItem,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.7,-22.6103,"7",2021-03-15 16:37:00-03,NY,NYBG,"01066588",PreservedSpecimen,Plantae,Fabaceae,Albizia,edwallii,Albizia edwallii,(Hoehne) Barneby & J.W.Grimes,E. J. Koenen,NA,NA,NA,H. Lorenzi,"75","1992","07","10",Brazil,São Paulo,Serra Negra,-46.7,-22.6103,NA,NA,"750","750",NY01066588,NY01066588_01,On road that links Serra Negra-Tabaranas-Lindois (gravel road),Magnoliophyta,Fabales,South America,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1203541' target='other'> <mi>dwc_moreinfo</mi></a>,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.8800010681152,-24.7099990844727,"33",2020-11-04 11:08:11-03,ESALQ,ESA,"29401",PreservedSpecimen,Plantae,Fabaceae,Albizia,edwallii,Albizia edwallii,(Hoehne) Barneby & J.W.Grimes,"Ivanauskas, N.M.",NA,NA,NA,"Ivanauskas, N.M. et al.","956.0","1996","04","16",Brasil,São Paulo,Pariquera-Açu,-47.8800010681152,-24.7099990844727,NA,NA,NA,NA,ESA029401,ESA029401,NA,Magnoliophyta,NA,NA,NA,NA,"17990",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.8800010681152,-24.7099990844727,"34",2020-11-04 11:08:11-03,ESALQ,ESA,"28885",PreservedSpecimen,Plantae,Fabaceae,Albizia,edwallii,Albizia edwallii,(Hoehne) Barneby & J.W.Grimes,"Souza, V.C.","2012","02","16","Ivanauskas, N.M.","725.0","1996","03","12",Brasil,São Paulo,Pariquera-Açu,-47.8800010681152,-24.7099990844727,NA,NA,NA,NA,ESA028885,NA,NA,Magnoliophyta,NA,NA,NA,NA,"17990",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.876944,-24.608333,"52",2019-08-20 10:11:58-03,UNICAMP,UEC,"178510",S,Plantae,Fabaceae,Albizia,austrobrasilica,Albizia austrobrasilica,Burkart,"Tamashiro, JY","1996","03",NA,"Ivanauskas, NM","725","1996","03","12",Brazil,São Paulo,Pariquera-Açu,-47.876944,-24.608333,"-47.876944","-24.608333",NA,NA,UEC009526,UEC009526,Estação Experimental do Instituto Agronô,Magnoliopsida,NA,NA,NA,"flor, Floresta atlântica. Árvore de 2m. Casca externa marrom. flores brancas.",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.876944,-24.608333,"53",2019-08-20 10:11:58-03,UNICAMP,UEC,"79638",S,Plantae,Fabaceae,Albizia,austrobrasilica,Albizia austrobrasilica,Burkart,"Tamashiro, JY","1996","03",NA,"Ivanauskas, NM","725","1996","03","12",Brazil,São Paulo,Pariquera-Açu,-47.876944,-24.608333,"-47.876944","-24.608333",NA,NA,NA,NA,Estação Experimental do Instituto Agronô,Magnoliopsida,NA,NA,NA,"flor, Floresta atlântica. Árvore de 2m. Casca externa marrom. flores brancas.",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-52.1599998474121,-22.5300006866455,"57",2019-08-20 10:11:58-03,UNICAMP,UEC,"142842",S,Plantae,Fabaceae,Albizia,edwallii,Albizia edwallii,(Hoehne) Barneby & J.W.Grimes,NA,NA,NA,NA,"Silva; Chagas e Silva, F; Soares; Silva, LH","01700","1994","06","04",Brazil,São Paulo,Teodoro Sampaio,-52.1599998474121,-22.5300006866455,NA,NA,NA,NA,NA,NA,Parque Estadual Morro do Diabo,Magnoliopsida,NA,NA,NA,"Árvore 16m, frutos imaturos verde, suber castanho, fino, esfariento, frequente na área.","54606",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.72,-21.34,"105",2013-04-01 09:14:43-03,IPT,BCTW,"6124",S,Plantae,NA,Albizia,edwalli,Albizia edwalli,(Hoehne) Barneby & J.W. Grimes,IPT,NA,NA,NA,NA,NA,NA,NA,NA,Brasil,São Paulo,Cravinhos,-47.72,-21.34,NA,NA,NA,NA,NA,NA,NA,Magnoliophyta,NA,NA,NA,NA,"18641",auto,Magnoliopsida,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.8800010681152,-24.7099990844727,"132",2020-12-21 16:25:15-03,MBM,MBM,"269155",PreservedSpecimen,Plantae,Fabaceae,Albizia,edwallii,Albizia edwallii,(Hoehne) Barneby & J.W. Grimes,"Ivanauskas, N.M.",NA,NA,NA,"Ivanauskas, N.M.; et al.; et al.","956","1996","04","16",Brazil,São Paulo,Pariquera-Açu,-47.8800010681152,-24.7099990844727,NA,NA,NA,NA,MBM269155,MBM269155,Estação Experimental do Instituto Agronômico,NA,NA,Southern America,NA,NA,"17990",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.716667,-23.55,"191",2019-11-13 11:21:25-03,USP,SPF,"159463",PreservedSpecimen,Plantae,Leguminosae,Albizia,edwallii,Albizia edwallii,(Hoehne) Barneby & J.W.Grimes,"Mendonça, FB",NA,NA,NA,"Mendonça, FB","293","2003","09","04",Brasil,São Paulo,São Paulo,-46.716667,-23.55,"-46.716667","-23.55",NA,NA,SPF00159463,NA,Cidade Universitária Armando de Salles Oliveira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-50.4300003051758,-21.2000007629395,"251",2020-11-12 16:59:15-03,UEL,FUEL,"7203",PreservedSpecimen,Plantae,Leguminosae,Albizia,edwallii,Albizia edwallii,(Hoehne) Barneby & J.W.Grimes,"Tamashiro, JY","1999",NA,NA,"Gonçalves, C; et al.","12","1989","07","13",Brasil,São Paulo,Araçatuba,-50.4300003051758,-21.2000007629395,NA,NA,NA,NA,NA,NA,Beira da estrada do Traitu,Tracheophyta,Fabales,NA,NA,NA,"59490",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
