X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,preparationType,occurrenceRemarks,barcode,imagecode,maximumElevationInMeters,yearIdentified,verbatimLongitude,verbatimLatitude,monthIdentified,dayIdentified,coordinatePrecision,geoFlag,typeStatus,fieldNumber,individualCount,class,relatedCatalogItem,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-45.0699996948242,-23.4300003051758,"10",2020-11-04 11:18:58-03,ESALQ,ESA,"13091",PreservedSpecimen,Plantae,Magnoliophyta,NA,Rubiaceae,Rudgea,vellerea,Rudgea vellerea,Müll. Arg.,"Pinho-Ferreira, M.A.","Moraes, P.L.R.","871.0","1993","12","18",NA,Brasil,São Paulo,Ubatuba,NA,-45.0699996948242,-23.4300003051758,NA,NA,NA,ESA013091,ESA013091,NA,"2004",NA,NA,"05","04","34265",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.0699996948242,-23.4300003051758,"11",2020-11-04 11:18:58-03,ESALQ,ESA,"27635",PreservedSpecimen,Plantae,Magnoliophyta,NA,Rubiaceae,Rudgea,vellerea,Rudgea vellerea,Müll. Arg.,"Pinho-Ferreira, M.A.","Leitão Filho, H.F. et al.","34739.0","1996","01","31",NA,Brasil,São Paulo,Ubatuba,NA,-45.0699996948242,-23.4300003051758,NA,NA,NA,ESA027635,ESA027635,NA,"2004",NA,NA,"05","12","34265",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.138599395752,-23.8544006347656,"12",2020-11-04 11:18:58-03,ESALQ,ESA,"104756",PreservedSpecimen,Plantae,Magnoliophyta,NA,Rubiaceae,Rudgea,vellerea,Rudgea vellerea,NA,NA,"Lima, R.A.F.","743.0","2008","03","11",NA,Brasil,São Paulo,Bertioga,NA,-46.138599395752,-23.8544006347656,NA,NA,NA,ESA104756,ESA104756,NA,NA,NA,NA,NA,NA,"37616",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.945278,-23.330333,"15",2021-03-01 16:40:16-03,UNICAMP,UEC,"160435",S,Plantae,Magnoliopsida,NA,Rubiaceae,Rudgea,vellerea,Rudgea vellerea,Müll.Arg.,"Marchiori, NM","Marchiori, NM; Toledo, W; Munhoz, I; Cano, GB; Santos, FC","243","2011","01","25",NA,Brazil,São Paulo,São Luiz do Paraitinga,Parque Estadual da Serra do Mar,-45.945278,-23.330333,"999",NA,"Material vegetativo. Cerca de 4 m de altura e 4 indivíduos distribuídos em 1 ha.; Floresta Ombrófila Densa Montana.",UEC039447,UEC039447,"999","2011","-45.945278","-23.330333","05",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.068056,-23.325278,"16",2021-03-01 16:40:16-03,UNICAMP,UEC,"166834",S,Plantae,Magnoliopsida,NA,Rubiaceae,Rudgea,vellerea,Rudgea vellerea,Müll.Arg.,"Firens, M","Padgurschi, MCG; Tamashiro, JY; Belinello, R","558","2008",NA,NA,NA,Brazil,São Paulo,São Luiz do Paraitinga,"Núcleo Santa Virgínia, Parcela K.",-45.068056,-23.325278,"1080",NA,"K0631 Árvore, ca. 6 m, com flores.; Floresta Ombrófila Densa Montana.",UEC039827,UEC039827,"1093","2009","-45.068056","-23.325278",NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.068333,-23.325,"17",2021-03-01 16:40:16-03,UNICAMP,UEC,"166745",S,Plantae,Magnoliopsida,NA,Rubiaceae,Rudgea,vellerea,Rudgea vellerea,Müll.Arg.,"Firens, M","Padgurschi, MCG; Tamashiro, JY; Belinello, R","37","2008",NA,NA,NA,Brazil,São Paulo,São Luiz do Paraitinga,"PESM - Núcleo Santa Virgínia - Parcela K, Floresta Ombrófila Densa Montana.",-45.068333,-23.325,"1073",NA,"K0038 Árvore, ca. 7 m, sem flores ou frutos. Abundância: 4 ind ha-1.",UEC039967,UEC039967,"1093","2009","-45.068333","-23.325",NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.092778,-23.396667,"19",2021-03-01 16:40:16-03,UNICAMP,UEC,"160943",S,Plantae,Magnoliopsida,NA,Rubiaceae,Rudgea,vellerea,Rudgea vellerea,Müll.Arg.,"Cavalin, PO","Cavalin, PO","55","2009","11","12",NA,Brazil,São Paulo,Ubatuba,Fazenda Capricórnio,-45.092778,-23.396667,"348",NA,"Indivíduo juvenil, 1-2 m de altura.; Sub-bosque Floresta Ombrófila Densa.",UEC039338,UEC039338,"395","2010","-45.092778","-23.396667","06",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.504167,-23.636111,"20",2021-03-01 16:40:16-03,UNICAMP,UEC,"161058",S,Plantae,Magnoliopsida,NA,Rubiaceae,Rudgea,vellerea,Rudgea vellerea,Müll.Arg.,"Stefani, EJF","Stefani, EJF; Belinello, R; Galvão, J","35","2010","05","27",NA,Brazil,São Paulo,Caraguatatuba,"Pq. Estadual da Serra do Mar, Mata Atlântica 50-90 msm.",-45.504167,-23.636111,NA,NA,Árvore com 6m.,UEC117477,UEC117477,NA,"2010","-45.504167","-23.636111",NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.538611,-23.585556,"21",2021-03-01 16:40:16-03,UNICAMP,UEC,"167042",S,Plantae,Magnoliopsida,NA,Rubiaceae,Rudgea,vellerea,Rudgea vellerea,Müll.Arg.,"Stefani, EJF","Stefani, EJF; Belinello, R; Galvão, J","317","2011","07","01",NA,Brazil,São Paulo,Paraíbuna,ParqueEstadual da Serra do Mar. Mata Atlãntica. 800-900 msm.,-45.538611,-23.585556,NA,NA,"Árvore com 7m, com flores brancas.",UEC117476,UEC117476,NA,"2011","-45.538611","-23.585556","11",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.084167,-23.366667,"22",2021-03-01 16:40:16-03,UNICAMP,UEC,"170086",S,Plantae,Magnoliopsida,NA,Rubiaceae,Rudgea,vellerea,Rudgea vellerea,Müll.Arg.,"Jung-Mendaçolli, SL","Rochelle, ALC",J123,NA,NA,NA,NA,Brazil,São Paulo,Ubatuba,"Fazenda Capricórnio - Bairro Taquaral, Floresta Ombrófila Densa Submontana.",-45.084167,-23.366667,"450",NA,Indivíduo J123 da parcela J do Projeto Temático BIOTA-Gradiente Funcional.,UEC041783,UEC041783,"450","2008","-45.084167","-23.366667","03",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
