X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,locality,preparationType,occurrenceRemarks,barcode,imagecode,yearIdentified,monthIdentified,county,decimalLongitude,decimalLatitude,coordinatePrecision,geoFlag,individualCount,verbatimLongitude,verbatimLatitude,dayIdentified,minimumElevationInMeters,maximumElevationInMeters,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.5299987792969,-23.6599998474121,"18",2019-11-21 10:13:40-03,IBt,SP,"30042",S,Plantae,NA,NA,Orchidaceae,Pabstia,jugosa,Pabstia jugosa,(Lindl.) Garay,"Barros, F","Edwall, G",CGG3358,"1896","09",NA,NA,Brasil,São Paulo,"Est. Campo Grande, mata virgem.",NA,"Epífita, fl. coreacea, branca, lab. viol.",SP009639,SP009639,"1980","05",Santo André,-46.5299987792969,-23.6599998474121,"27258",auto,NA,NA,NA,"07",NA,NA,"35",São Paulo,SP,Sudeste
-45.866667,-23.633333,"19",2019-11-21 10:13:55-03,IBt,SP,"195301",S,Plantae,NA,NA,Orchidaceae,Zygopetalum,jugosum,Zygopetalum jugosum,(Lindl.) Schltr.,"Meneguzzo, TEC","Custodio Filho, A","1794","1983","11","11",NA,Brasil,São Paulo,Estação Biológica de Boracéia,NA,NA,NA,NA,"2017",NA,Biritiba-Mirim,-45.866667,-23.633333,NA,NA,NA,"-45.866667","-23.633333",NA,"890","950","35",São Paulo,SP,Sudeste
-46.5299987792969,-23.6599998474121,"20",2019-11-21 10:13:55-03,IBt,SP,"1128",S,Plantae,NA,NA,Orchidaceae,Zygopetalum,jugosum,Zygopetalum jugosum,(Lindl.) Schltr.,"Meneguzzo, TEC","Hoehne, FC",s.n.,"1917","12","19",NA,Brasil,São Paulo,E.B. do Alto da Serra de Paranapiacaba,NA,Folhas alva pintalgadas de vermelho nos petalos e labelo,NA,NA,"2017",NA,Santo André,-46.5299987792969,-23.6599998474121,"27258",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.5299987792969,-23.6599998474121,"21",2019-11-21 10:13:55-03,IBt,SP,"3048",S,Plantae,NA,NA,Orchidaceae,Zygopetalum,jugosum,Zygopetalum jugosum,(Lindl.) Schltr.,"Meneguzzo, TEC","Hoehne, FC",s.n.,"1918","11","08",NA,Brasil,São Paulo,"E.B. do Alto da Serra de Paranapiacaba, Procedente do Butantan, cultivada na estufa",NA,NA,NA,NA,"2017",NA,Santo André,-46.5299987792969,-23.6599998474121,"27258",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.5299987792969,-23.6599998474121,"22",2019-11-21 10:13:55-03,IBt,SP,"163920",S,Plantae,NA,NA,Orchidaceae,Zygopetalum,jugosum,Zygopetalum jugosum,(Lindl.) Schltr.,"Meneguzzo, TEC","Handro, O","2096","1969","08","11",NA,Brasil,São Paulo,"E.B. do Alto da Serra de Paranapiacaba, via férrea São Paulo-Santos",NA,"Epífita na mata úmida, há pouca altura do chão, flores carnosas, decorarivas",NA,NA,"2017",NA,Santo André,-46.5299987792969,-23.6599998474121,"27258",auto,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
