X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,preparationType,occurrenceRemarks,barcode,imagecode,county,coordinatePrecision,geoFlag,yearIdentified,monthIdentified,dayIdentified,verbatimLongitude,verbatimLatitude,class,fieldNumber,individualCount,typeStatus,infraspecificEpithet,relatedCatalogItem,previousCatalogNumber,sex,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-48.416667,-23.45,"83",2020-11-19 10:22:30-03,CPAP,CPAP,"12531",PreserverdSpecimen,Plantae,NA,NA,Amaranthaceae,Froelichia,lanata,Froelichia lanata,Moench,NA,"Ratter, J. A.","4919","1983","11","19",NA,Brasil,SP,"Instituto Florestal de São Paulo, floresta de Angatuba",-48.416667,-23.45,NA,NA,NA,AMBIENTE: Cerrado.,NA,NA,Angatuba,NA,NA,NA,NA,NA,48°25' W,23°27' S,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.723056,-23.4225,"200",2021-03-01 16:21:15-03,UNICAMP,UEC,"199287",S,Plantae,Magnoliopsida,NA,Amaranthaceae,Hebanthe,spicata,Hebanthe spicata,Mart.,"Kameyama, C","Almeida-Scabbia, RJ; Kameyama, C; Kirizawa, M; Fortes, EP","689","2012","10","02",NA,Brazil,São Paulo,Toca do vento,-46.723056,-23.4225,"765","765",NA,"Arbusto escandecente. Flores brancas; Afloramento rochoso, mata bem aberta",UEC160578,UEC160578,São Paulo,NA,NA,"2012","10","23","-46.723056","-23.4225",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.41666,-23.45,"348",2008-05-27 22:02:00-03,MO,MOBOT,"3268211",PreservedSpecimen,Plantae,NA,NA,Amaranthaceae,Froelichia,lanata,Froelichia lanata,Moench,NA,James A. Ratter|G.C.G. Argent,Ratter 4919,"1983","11","19",South America,Brazil,São Paulo,"Floresta de Angatuba, Instituto Florestal de SP. In cerrado.",-48.41666,-23.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.248611,-21.826944,"416",2015-08-20 11:24:21-03,CPQBA,CPMA,"901",S,Plantae,Magnoliophyta,Caryophyllales,Amaranthaceae¹,Froelichia,lanata,Froelichia lanata,Moench,NA,"Ramos, ª",NA,"1981","10","01",NA,Brasil,São Paulo,Cachoeira das Emas,-47.248611,-21.826944,NA,NA,NA,só no herbário !,NA,NA,SANTA CRUZ DAS PALMEIRAS,NA,NA,NA,NA,NA,47º 14' 55 W,21º 49' 37 S,Magnoliopsida,CPQBA 517,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.578056,-21.612222,"459",2019-11-13 11:14:11-03,USP,SPF,"131492",PreservedSpecimen,Plantae,NA,NA,Amaranthaceae,Froelichia,lanata,Froelichia lanata,(Kunth) Moq.,"Batalha, MA","Batalha, MA","694","1995","12","14",NA,Brasil,São Paulo,ARIE Cerrado Pé-de-Gigante,-47.578056,-21.612222,NA,NA,NA,NA,SPF00131492,NA,Santa Rita do Passa Quatro,NA,NA,NA,NA,NA,"-47.578056","-21.612222",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.366667,-21.016667,"518",2019-12-04 16:39:34-03,FFCLRP,SPFR,"2303",PreservedSpecimen,Plantae,NA,NA,Amaranthaceae,Froelichia,lanata,Froelichia lanata,(Kunth) Moq.,"Marcondes-Ferreira, W.","Marcondes-Ferreira, W.; Fernandes, M.S.; Nakamoto, F.","542","1993","01","14",NA,Brasil,São Paulo,Morro do Forno,-47.366667,-21.016667,NA,NA,NA,Cerrado.,NA,NA,Altinópolis,NA,NA,"1993","10",NA,47o22'W,21o01'S,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.366667,-21.016667,"519",2019-12-04 16:39:34-03,FFCLRP,SPFR,"2304",PreservedSpecimen,Plantae,NA,NA,Amaranthaceae,Froelichia,lanata,Froelichia lanata,(Kunth) Moq.,"Marcondes-Ferreira, W.","Marcondes-Ferreira, W.; Fernandes, M.S.; Nakamoto, F.","551","1993","01","14",NA,Brasil,São Paulo,Morro do Forno,-47.366667,-21.016667,NA,NA,NA,Cerrado.,NA,NA,Altinópolis,NA,NA,"1993","10",NA,47o22'W,21o01'S,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.366667,-21.016667,"520",2019-12-04 16:39:34-03,FFCLRP,SPFR,"2305",PreservedSpecimen,Plantae,NA,NA,Amaranthaceae,Froelichia,lanata,Froelichia lanata,(Kunth) Moq.,"Marcondes-Ferreira, W.","Marcondes-Ferreira, W.; Fernandes, M.S.; Nakamoto, F.","606","1993","05","14",NA,Brasil,São Paulo,Morro do Forno,-47.366667,-21.016667,NA,NA,NA,Cerrado.,NA,NA,Altinópolis,NA,NA,"1993","10",NA,47o22'W,21o01'S,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.366667,-21.016667,"521",2019-12-04 16:39:34-03,FFCLRP,SPFR,"2306",PreservedSpecimen,Plantae,NA,NA,Amaranthaceae,Froelichia,lanata,Froelichia lanata,(Kunth) Moq.,"Nakamoto, F.; Fernandes, M.S.","Marcondes-Ferreira, W.; Fernandes, M.S.; Nakamoto, F.","501","1992","11","19",NA,Brasil,São Paulo,Morro do Forno,-47.366667,-21.016667,NA,NA,NA,Cerrado.,NA,NA,Altinópolis,NA,NA,"1993","10","04",47o22'W,21o01'S,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.466667,-21.7,"522",2019-12-04 16:39:34-03,FFCLRP,SPFR,"4797",PreservedSpecimen,Plantae,NA,NA,Amaranthaceae,Froelichia,lanata,Froelichia lanata,(Kunth) Moq.,"Weiser, V. de L.","Godoy, S.A.P.","790","1997","01","10",NA,Brasil,São Paulo,"ARIE - Cerrado Pé-de-Gigante; margem do cerrado da área demarcada",-47.466667,-21.7,NA,NA,NA,Cerrado.,NA,NA,Santa Rita do Passa Quatro,NA,NA,"2000","02","14",47o28'W,21o42'S,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
