X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,recordedBy,recordNumber,year,month,day,continentOcean,country,preparationType,previousCatalogNumber,occurrenceRemarks,barcode,phylum,order,scientificNameAuthorship,identifiedBy,stateProvince,locality,imagecode,county,decimalLongitude,decimalLatitude,infraspecificEpithet,minimumElevationInMeters,maximumElevationInMeters,yearIdentified,verbatimLongitude,verbatimLatitude,coordinatePrecision,geoFlag,monthIdentified,dayIdentified,class,relatedCatalogItem,individualCount,fieldNumber,typeStatus,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-48.56,-20.55,"6",2021-03-15 16:37:00-03,NY,NYBG,"476938",PreservedSpecimen,Plantae,Hypericaceae,Hypericum,rigidum,Hypericum rigidum meridionale,A. Mattos,s.n.,"1940","02","26",South America,Brazil,sheet,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=696640' target='other'> <mi>dwc_moreinfo</mi></a>,NY00476938,Magnoliophyta,Malpighiales,L.B.Sm.,N. K. B. Robson,São Paulo,Três Barras,NY00476938_01,Barretos,-48.56,-20.55,meridionale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.678829,-22.840477,"18",2021-03-15 16:37:00-03,NY,NYBG,"476947",PreservedSpecimen,Plantae,Hypericaceae,Hypericum,rigidum,Hypericum rigidum,A. C. Brade,"20775","1951","04","28",South America,Brazil,sheet,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=277528' target='other'> <mi>dwc_moreinfo</mi></a>,NY00476947,Magnoliophyta,Malpighiales,A.St.-Hil.,N. K. B. Robson,São Paulo,Serra da Bocaina,NY00476947_01,Sao José do Barreiro,-44.678829,-22.840477,NA,"1650","1650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.622423,-22.796043,"24",2021-03-15 16:37:00-03,NY,NYBG,"476946",PreservedSpecimen,Plantae,Hypericaceae,Hypericum,rigidum,Hypericum rigidum sellowianum,F. Segadas-Vianna,"2952","1951","03",NA,South America,Brazil,sheet,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=76748' target='other'> <mi>dwc_moreinfo</mi></a>,NY00476946,Magnoliophyta,Malpighiales,(R.Keller) N.Robson,N. K. B. Robson,São Paulo,"Barreiro Co., Serra da Bocaina; Lageado Farm",NY00476946_01,Sao José do Barreiro,-44.622423,-22.796043,sellowianum,"1600","1600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.56,-20.55,"25",2021-03-15 16:37:00-03,NY,NYBG,"476938",PreservedSpecimen,Plantae,Hypericaceae,Hypericum,rigidum,Hypericum rigidum meridionale,A. Mattos,s.n.,"1940","02","26",South America,Brazil,sheet,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=696640' target='other'> <mi>dwc_moreinfo</mi></a>,NY00476938,Magnoliophyta,Malpighiales,L.B.Sm.,N. K. B. Robson,São Paulo,Três Barras,NY00476938_01,Barretos,-48.56,-20.55,meridionale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.622423,-22.796043,"35",2021-03-15 16:37:00-03,NY,NYBG,"476946",PreservedSpecimen,Plantae,Hypericaceae,Hypericum,rigidum,Hypericum rigidum sellowianum,F. Segadas-Vianna,"2952","1951","03",NA,South America,Brazil,sheet,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=76748' target='other'> <mi>dwc_moreinfo</mi></a>,NY00476946,Magnoliophyta,Malpighiales,(R.Keller) N.Robson,N. K. B. Robson,São Paulo,"Barreiro Co., Serra da Bocaina; Lageado Farm",NY00476946_01,Sao José do Barreiro,-44.622423,-22.796043,sellowianum,"1600","1600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"151",2019-08-20 10:15:52-03,UNICAMP,UEC,"184218",S,Plantae,Hypericaceae,Hypericum,rigidum,Hypericum rigidum,"Kuhlmann, M","2199","1949","11","26",NA,Brazil,NA,NA,NA,UEC106263,Magnoliopsida,NA,A.St.-Hil.,"Handro, O",São Paulo,Fazenda da Guarda.,UEC106263,Campos do Jordão,-45.5900001525879,-22.7299995422363,NA,"1600","1600","1950",NA,NA,"21048",auto,"07",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"227",2019-11-01 15:28:19-03,PUC-RIO,FCAB,"1508",PreservedSpecimen,Plantae,Hypericaceae,Vismia,rufescens,Vismia rufescens,P.E. Leite S.J.,s.n.,NA,NA,NA,NA,Brasil,NA,NA,Sinônimo relevante: Vismia sessilifolia (Aubl.) DC.,"001508",NA,Angiospermae,(Lam.) Pers.,P. Capell S.J.,São Paulo,NA,NA,Campos do Jordão,-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,NA,NA,"21048",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.8400001525879,-24.5,"247",2015-09-05 05:12:04-03,MNHN,RECOLNAT_MNHN_P,P04685728,PreservedSpecimen,NA,Hypericaceae,Hypericum,rigidum,Hypericum rigidum,Puiggari,NA,NA,NA,NA,NA,Brasil,hb,NA,<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04685728' target='other'> <mi>dwc_moreinfo</mi></a>,P04685728,NA,NA,A.St.-Hil.,NA,São Paulo,Brésil. Prov. de Sâo Paulo,P04685728_01,Apiaí,-48.8400001525879,-24.5,NA,NA,NA,NA,NA,NA,"37738",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.5099983215332,-22.1299991607666,"248",2015-09-05 05:08:41-03,MNHN,RECOLNAT_MNHN_P,P04685567,PreservedSpecimen,NA,Hypericaceae,Hypericum,rigidum,Hypericum rigidum,"F, M.G.",NA,"1952","12","7",NA,Brasil,hb,NA,<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04685567' target='other'> <mi>dwc_moreinfo</mi></a>,P04685567,NA,NA,A.St.-Hil.,NA,São Paulo,Campo do acampamento,P04685567_01,Bocaina,-48.5099983215332,-22.1299991607666,NA,"1600",NA,NA,NA,NA,"18396",auto,NA,NA,NA,NA,NA,"10359",NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"408",2019-11-13 11:20:26-03,USP,SPF,"10978",PreservedSpecimen,Plantae,Hypericaceae,Hypericum,rigidum,Hypericum rigidum,"Hoehne, W",s.n.,"1942","01","29",NA,Brasil,NA,NA,NA,SPF00010978,NA,NA,A.St.-Hil.,"Hoehne, W",São Paulo,NA,NA,São Paulo,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
