X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,continentOcean,country,preparationType,previousCatalogNumber,occurrenceRemarks,barcode,typeStatus,recordedBy,recordNumber,stateProvince,locality,phylum,order,scientificNameAuthorship,identifiedBy,year,month,day,county,decimalLongitude,decimalLatitude,imagecode,minimumElevationInMeters,maximumElevationInMeters,coordinatePrecision,geoFlag,yearIdentified,monthIdentified,verbatimLongitude,verbatimLatitude,dayIdentified,class,relatedCatalogItem,fieldNumber,individualCount,infraspecificEpithet,sex,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.287717,-23.769525,"10",2021-03-15 16:37:00-03,NY,NYBG,"719858",PreservedSpecimen,Plantae,Sapotaceae,Chrysophyllum,flexuosum,Chrysophyllum flexuosum,South America,Brazil,sheet,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2520783' target='other'> <mi>dwc_moreinfo</mi></a>,NY00719858,NA,L. C. Santos,"13",São Paulo,"Subprefeitura de Paranapiacaba e Parque Andreense, Pq. Nascentes de Paranpiacaba, trilha da Comunidade",Magnoliophyta,Ericales,Mart.,NA,"2008","03","06",Santo André,-46.287717,-23.769525,NY00719858_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.0697,-23.4303,"17",2021-03-15 16:37:00-03,NY,NYBG,"374821",PreservedSpecimen,Plantae,Sapotaceae,Chrysophyllum,flexuosum,Chrysophyllum flexuosum,South America,Brazil,sheet,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=613386' target='other'> <mi>dwc_moreinfo</mi></a>,NY00374821,NA,M. Kuhlmann,"3786",São Paulo,Enseada do Flamengo,Magnoliophyta,Ericales,Mart.,T. D. Pennington,"1956","06","10",Ubatuba,-45.0697,-23.4303,NY00374821_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9199981689453,-25.0100002288818,"51",2021-03-30 12:49:04-03,EAO,IAN,"184379",PreservedSpecimen,Plantae,Sapotaceae,Chrysophyllum,flexuosum,Chrysophyllum flexuosum,Southern America,Brasil,NA,NA,"Árvore com cerca de 10 metros. Flores alvas.; Floresta de planície",IAN184379,NA,"Castro, ER","88",São Paulo,Ilha do Cardoso,Dicotiledônea,NA,Mart.,"Rocha, MMFM de","2001","04","24",Cananéia,-47.9199981689453,-25.0100002288818,NA,NA,NA,"37574",auto,"2007","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.0699996948242,-23.4300003051758,"52",2021-03-30 12:49:04-03,EAO,IAN,"139916",PreservedSpecimen,Plantae,Sapotaceae,Chrysophyllum,flexuosum,Chrysophyllum flexuosum,Southern America,Brasil,NA,NA,"Arusto; flores visitadas por abelhas.",IAN139916,NA,"Kuhlmann, M","3786",São Paulo,Na mata à beira do mar. Enseada do Flamengo.,Dicotiledônea,NA,Mart.,"Pennington, TD","1956","06","10",Ubatuba,-45.0699996948242,-23.4300003051758,NA,NA,NA,"34265",auto,"1990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.7799987792969,-24.1800003051758,"53",2020-01-20 14:40:51-03,UPM,MACK,"957",PreservedSpecimen,Plantae,Sapotaceae,Chrysophyllum,flexuosum,Chrysophyllum flexuosum,NA,Brasil,NA,NA,NA,NA,NA,Graça,s/n,SP,Morro do Itaipara.,NA,NA,Mart.,NA,"2005","12","28",Itanhaém,-46.7799987792969,-24.1800003051758,NA,NA,NA,"26998",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.9900016784668,-24.3199996948242,"54",2020-01-20 14:40:51-03,UPM,MACK,"706",PreservedSpecimen,Plantae,Sapotaceae,Chrysophyllum,flexuosum,Chrysophyllum flexuosum,NA,Brasil,NA,NA,NA,NA,NA,"C. Carrasco; et al.","4",SP,Área de restinga.,NA,NA,Mart.,NA,"2010","07","08",Peruíbe,-46.9900016784668,-24.3199996948242,NA,NA,NA,"21922",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.560001373291,-23.6900005340576,"55",2020-01-20 14:40:51-03,UPM,MACK,"707",PreservedSpecimen,Plantae,Sapotaceae,Chrysophyllum,flexuosum,Chrysophyllum flexuosum,NA,Brasil,NA,NA,NA,NA,NA,"R. T. Shirasuna; Mônica","901",SP,"Projeto Rodoanel, trecho sul, lote 2.",NA,NA,Mart.,T. R. Capistrano et al.,"2008","02","01",São Bernardo do Campo,-46.560001373291,-23.6900005340576,NA,NA,NA,"31119",auto,"2008","03",NA,NA,"17",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"56",2020-01-20 14:40:51-03,UPM,MACK,"708",PreservedSpecimen,Plantae,Sapotaceae,Chrysophyllum,flexuosum,Chrysophyllum flexuosum,NA,Brasil,NA,NA,NA,NA,NA,R. J. F. Garcia,"3234",SP,"Fazenda Castanheiras, distrito Grajaú, APA Bororé, mata secundária",NA,NA,Mart.,R. J. F. Garcia,"2007","11","26",São Paulo,-46.6300010681152,-23.5400009155273,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9199981689453,-25.0100002288818,"72",2020-11-04 11:19:37-03,ESALQ,ESA,"101553",PreservedSpecimen,Plantae,Sapotaceae,Chrysophyllum,flexuosum,Chrysophyllum flexuosum,NA,Brasil,NA,NA,NA,ESA101553,NA,"Braidotti, J.C.","99.0",São Paulo,NA,Magnoliophyta,NA,NA,"Rodrigues, R.R. & Souza, V.C.","2005","03","26",Cananéia,-47.9199981689453,-25.0100002288818,NA,NA,NA,"37574",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9199981689453,-25.0100002288818,"73",2020-11-04 11:19:37-03,ESALQ,ESA,"108067",PreservedSpecimen,Plantae,Sapotaceae,Chrysophyllum,flexuosum,Chrysophyllum flexuosum,NA,Brasil,NA,NA,NA,ESA108067,NA,"Santos, M.B.","180.0",São Paulo,NA,Magnoliophyta,NA,NA,NA,"2005","03","31",Cananéia,-47.9199981689453,-25.0100002288818,ESA108067,NA,NA,"37574",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.5499992370605,-24.7000007629395,"74",2020-11-04 11:19:37-03,ESALQ,ESA,"61928",PreservedSpecimen,Plantae,Sapotaceae,Chrysophyllum,flexuosum,Chrysophyllum flexuosum,NA,Brasil,NA,NA,NA,ESA061928,NA,"Sampaio, D. et al.","44.0",São Paulo,NA,Magnoliophyta,NA,Mart.,"Tamashiro, J.Y.","1999","01","06",Iguape,-47.5499992370605,-24.7000007629395,NA,NA,NA,"55628",auto,"1999","01",NA,NA,"06",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
