X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,preparationType,occurrenceRemarks,barcode,imagecode,typeStatus,coordinatePrecision,geoFlag,yearIdentified,verbatimLongitude,verbatimLatitude,monthIdentified,dayIdentified,class,relatedCatalogItem,individualCount,fieldNumber,previousCatalogNumber,sex,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.58,-23.31,"9",2021-03-15 16:37:00-03,NY,NYBG,"503488",PreservedSpecimen,Plantae,Magnoliophyta,Malpighiales,Euphorbiaceae,Acalypha,brasiliensis,NA,Acalypha brasiliensis,Müll.Arg.,M. H. Nee,K. Mizoguchi,"980","1979","03","11",South America,Brazil,São Paulo,Mairipora,Jardim da Serra. 30 km NW from Sao Paulo City,-46.58,-23.31,"850","850",sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=529328' target='other'> <mi>dwc_moreinfo</mi></a>,NY00503488,NY00503488_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.7099990844727,-21.9300003051758,"112",2020-11-04 11:07:12-03,ESALQ,ESA,"102024",PreservedSpecimen,Plantae,Magnoliophyta,NA,Euphorbiaceae,Acalypha,brasiliensis,NA,Acalypha brasiliensis,NA,"Tsuji, R.","Tsuji, R.","1856.0","2007","03","28",NA,Brasil,São Paulo,Águas da prata,NA,-46.7099990844727,-21.9300003051758,NA,NA,NA,NA,ESA102024,NA,NA,"13435",auto,"2007",NA,NA,"03","29",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.964722,-22.898333,"193",2019-08-20 10:11:05-03,UNICAMP,UEC,"53638",S,Plantae,Magnoliopsida,NA,Euphorbiaceae,Acalypha,brasiliensis,NA,Acalypha brasiliensis,Müll.Arg.,"Sousa, AAC","Silva, AF; Martins, FR","1235","1985","09","10",NA,Brazil,São Paulo,São José dos Campos,NA,-45.964722,-22.898333,NA,NA,NA,"flor, Planta de 2 m altura, flores femininas com estiletes vinosos, botões masculinos de verdes a vinosos",UEC135437,UEC135437,NA,NA,NA,"2017","-45.964722","-22.898333","05","04",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.707167,-22.177361,"194",2021-03-01 16:29:26-03,UNICAMP,UEC,"72635",S,Plantae,Magnoliopsida,NA,Euphorbiaceae,Acalypha,brasiliensis,NA,Acalypha brasiliensis,Müll.Arg.,"Sousa, AAC","Assis, MA; Farinaccio, MA; Morellato, LPC; Romera, EC; Cavalcanti, DC; Scabia, RA","477","1995","03","21",NA,Brazil,São Paulo,Analândia,"Fazenda Pedra Vermelha, região de Cuestas",-47.707167,-22.177361,NA,NA,NA,"Arbusto, inflorescências branco-esverdeada",UEC135428,UEC135428,NA,NA,NA,"2017","-47.707167","-22.177361","05","04",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45,-22.6599998474121,"202",2019-08-20 10:11:05-03,UNICAMP,UEC,"178909",S,Plantae,Magnoliopsida,NA,Euphorbiaceae,Acalypha,brasiliensis,NA,Acalypha brasiliensis,Müll.Arg.,"Sousa, AAC","Simão-Bianchini, R","565","1994","10","16",NA,Brazil,São Paulo,Cachoeira Paulista,Mata próxima ao rio Paraíba do Sul,-45,-22.6599998474121,NA,NA,NA,"Arbusto ca. 2 m alt.; ramos delgados, flores verdes",UEC083545,UEC083545,NA,"23173",auto,"2017",NA,NA,"05","04",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.9599990844727,-23.0699996948242,"203",2019-08-20 10:11:05-03,UNICAMP,UEC,"84814",S,Plantae,Magnoliopsida,NA,Euphorbiaceae,Acalypha,brasiliensis,NA,Acalypha brasiliensis,Müll.Arg.,"Sousa, AAC","Baitello, JB","629","1994","03","31",NA,Brazil,São Paulo,Cunha,"Parque Estadual da Serra do Mar, ao long",-44.9599990844727,-23.0699996948242,NA,NA,NA,"Herbácea, inflorescência verde avermelhada, flores masculinas brancas",UEC125339,UEC125339,NA,"38855",auto,"2017",NA,NA,"05","04",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.3899993896484,-23.1800003051758,"204",2019-08-20 10:11:05-03,UNICAMP,UEC,"60973",S,Plantae,Magnoliopsida,NA,Euphorbiaceae,Acalypha,brasiliensis,NA,Acalypha brasiliensis,Müll.Arg.,"Sousa, AAC","Meira Neto, JAA","793","1991","09","25",NA,Brazil,São Paulo,Nazaré Paulista,NA,-46.3899993896484,-23.1800003051758,NA,NA,NA,"flor, Arbusto com 1,5 m, no interior da mata",UEC135419,UEC135419,NA,"18850",auto,"2017",NA,NA,"05","04",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.3899993896484,-23.1800003051758,"205",2019-08-20 10:11:05-03,UNICAMP,UEC,"70615",S,Plantae,Magnoliopsida,NA,Euphorbiaceae,Acalypha,brasiliensis,NA,Acalypha brasiliensis,Müll.Arg.,"Sousa, AAC","Tamashiro, JY; Belinello, R; Souza, JP; Fernandes, GD; Ivanauskas, NM; Miyagi, PH","763","1995","04","10",NA,Brazil,São Paulo,Nazaré Paulista,estrada de terra para Piracicaba,-46.3899993896484,-23.1800003051758,NA,NA,NA,"ori, Arbusto dfe 1 m, lfores com estigma castanho",UEC135429,UEC135429,NA,"18850",auto,"2017",NA,NA,"05","04",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"206",2019-08-20 10:11:05-03,UNICAMP,UEC,"4534",S,Plantae,Magnoliopsida,NA,Euphorbiaceae,Acalypha,brasiliensis,NA,Acalypha brasiliensis,Müll.Arg.,"Sousa, AAC","Gehrt, A","32866","1935","09","18",NA,Brazil,São Paulo,São Paulo,"Bretantan, Rio Pequeno",-46.6300010681152,-23.5400009155273,NA,NA,NA,"flor, Arbusto",UEC135410,UEC135410,NA,"53584",auto,"2017",NA,NA,"05","04",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.0699996948242,-23.4300003051758,"207",2019-08-20 10:11:05-03,UNICAMP,UEC,"87905",S,Plantae,Magnoliopsida,NA,Euphorbiaceae,Acalypha,brasiliensis,NA,Acalypha brasiliensis,Müll.Arg.,"Sousa, AAC","Goldenberg, R; Rezende, AV","32432","1994","12","14",NA,Brazil,São Paulo,Ubatuba,"Praia do Leste, Ilha Anchieta",-45.0699996948242,-23.4300003051758,NA,NA,NA,"ori, Arbusto 1,5 m",UEC135433,UEC135433,NA,"34265",auto,"2017",NA,NA,"05","04",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
