X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,preparationType,occurrenceRemarks,barcode,imagecode,county,locality,decimalLongitude,decimalLatitude,identifiedBy,minimumElevationInMeters,maximumElevationInMeters,typeStatus,verbatimLongitude,verbatimLatitude,coordinatePrecision,geoFlag,yearIdentified,monthIdentified,dayIdentified,class,fieldNumber,individualCount,relatedCatalogItem,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.63,-23.5403,"14",2021-03-15 16:37:00-03,NY,NYBG,"375843",PreservedSpecimen,Plantae,Magnoliophyta,Ericales,Sapotaceae,Micropholis,crassipedicellata,Micropholis crassipedicellata,(Mart. & Eichler) Pierre,A. Rodrigues,"5531","1968","12","12",South America,Brazil,São Paulo,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=244301' target='other'> <mi>dwc_moreinfo</mi></a>,NY00375843,NY00375843_01,Sao Paulo,"Serra da Cantareira; Pinheirinho",-46.63,-23.5403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"28",2020-11-04 11:19:37-03,ESALQ,ESA,"75185",PreservedSpecimen,Plantae,Magnoliophyta,NA,Sapotaceae,Micropholis,crassipedicellata,Micropholis crassipedicellata,Pierre,"Farah, F.T.; Aguiar, S.; Breier, T.B.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Souza, J.P.; Ivanauskas, N.M.; Furlan, E.","2202.0","2001","04","13",NA,Brasil,São Paulo,NA,NA,ESA075185,ESA075185,São Paulo,NA,-46.6300010681152,-23.5400009155273,"Ivanauskas, N.M.",NA,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.3199996948242,-22.6800003051758,"29",2020-11-04 11:19:37-03,ESALQ,ESA,"76799",PreservedSpecimen,Plantae,Magnoliophyta,NA,Sapotaceae,Micropholis,crassipedicellata,Micropholis crassipedicellata,Pierre,"Moraes, P.L.R.","2527.0","2002","02","12",NA,Brasil,São Paulo,NA,NA,ESA076799,ESA076799,Bananal,NA,-44.3199996948242,-22.6800003051758,"Moraes, P.L.R.",NA,NA,NA,NA,NA,"26795",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.9599990844727,-23.0699996948242,"30",2020-11-04 11:19:37-03,ESALQ,ESA,"34101",PreservedSpecimen,Plantae,Magnoliophyta,NA,Sapotaceae,Micropholis,crassipedicellata,Micropholis crassipedicellata,(Mart. & Eichl.) Baehni,"Ferretti, A.R. et al.","108.0","1996","12","16",NA,Brasil,São Paulo,NA,NA,ESA034101,ESA034101,Cunha,NA,-44.9599990844727,-23.0699996948242,"Carneiro, C.E.",NA,NA,NA,NA,NA,"38855",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.3199996948242,-22.6800003051758,"32",2020-11-04 11:19:37-03,ESALQ,ESA,"76793",PreservedSpecimen,Plantae,Magnoliophyta,NA,Sapotaceae,Micropholis,crassipedicellata,Micropholis crassipedicellata,Pierre,"Moraes, P.L.R.","2532.0","2002","02","12",NA,Brasil,São Paulo,NA,NA,ESA076793,ESA076793,Bananal,NA,-44.3199996948242,-22.6800003051758,"Moraes, P.L.R.",NA,NA,NA,NA,NA,"26795",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.3199996948242,-22.6800003051758,"33",2020-11-04 11:19:37-03,ESALQ,ESA,"76806",PreservedSpecimen,Plantae,Magnoliophyta,NA,Sapotaceae,Micropholis,crassipedicellata,Micropholis crassipedicellata,Pierre,"Moraes, P.L.R.","2540.0","2002","02","12",NA,Brasil,São Paulo,NA,NA,ESA076806,ESA076806,Bananal,NA,-44.3199996948242,-22.6800003051758,"Moraes, P.L.R.",NA,NA,NA,NA,NA,"26795",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.9599990844727,-23.0699996948242,"34",2020-11-04 11:19:37-03,ESALQ,ESA,"34280",PreservedSpecimen,Plantae,Magnoliophyta,NA,Sapotaceae,Micropholis,crassipedicellata,Micropholis crassipedicellata,(Mart. & Eichl.) Baehni,"Ferretti, A.R. et al.","136.0",NA,NA,NA,NA,Brasil,São Paulo,NA,NA,ESA034280,ESA034280,Cunha,NA,-44.9599990844727,-23.0699996948242,"Carneiro, C.E.",NA,NA,NA,NA,NA,"38855",auto,"1998","01","13",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9900016784668,-23.8700008392334,"35",2020-11-04 11:19:37-03,ESALQ,ESA,"104561",PreservedSpecimen,Plantae,Magnoliophyta,NA,Sapotaceae,Micropholis,crassipedicellata,Micropholis crassipedicellata,NA,"Aguiar, O.T.","1132.0","2002","03","12",NA,Brasil,São Paulo,NA,NA,ESA104561,ESA104561,São Miguel Arcanjo,NA,-47.9900016784668,-23.8700008392334,"Aguiar, O.T.",NA,NA,NA,NA,NA,"27904",auto,"2002","03","17",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9900016784668,-23.8700008392334,"36",2020-11-04 11:19:37-03,ESALQ,ESA,"49826",PreservedSpecimen,Plantae,Magnoliophyta,NA,Sapotaceae,Micropholis,crassipedicellata,Micropholis crassipedicellata,Pierre,"Moraes, P.L.R.",NA,NA,NA,NA,NA,Brasil,São Paulo,NA,NA,ESA049826,ESA049826,São Miguel Arcanjo,NA,-47.9900016784668,-23.8700008392334,"Moraes, P.L.R.",NA,NA,NA,NA,NA,"27904",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.5,-23.9599990844727,"37",2020-11-04 11:19:37-03,ESALQ,ESA,"123746",PreservedSpecimen,Plantae,Magnoliophyta,NA,Sapotaceae,Micropholis,crassipedicellata,Micropholis crassipedicellata,NA,"Colletta, G.D. ; Ferreira, M.A.P.","1134.0","2013","05","01",NA,Brasil,São Paulo,NA,"Árvore, 22m",ESA123746,NA,Tapiraí,"Reserva Particular da Votorantim (CBA), UHE Fumaça, trilha do Chagas.",-47.5,-23.9599990844727,"Ivanauskas, N.M.",NA,NA,NA,NA,NA,"41034",auto,"2013","05","01",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
