X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,preparationType,occurrenceRemarks,barcode,imagecode,class,coordinatePrecision,geoFlag,identifiedBy,yearIdentified,monthIdentified,dayIdentified,typeStatus,eventTime,fieldNumber,individualCount,verbatimLongitude,verbatimLatitude,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-49.32,-24.17,"3",2021-03-15 16:37:00-03,NY,NYBG,"805066",PreservedSpecimen,Plantae,Magnoliophyta,Asterales,Asteraceae,Lessingianthus,exiguus,Lessingianthus exiguus,(Cabrera) H.Rob.,L. B. Smith,"14804","1965","01","18",South America,Brazil,Paraná,Jaguariaíva,"Fazenda Cajurú, source of Rio Cajurú",-49.32,-24.17,"1000","1100",sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798140' target='other'> <mi>dwc_moreinfo</mi></a>,NY00805066,NY00805066_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.31667,-24.16667,"18",2015-09-04 05:26:37-03,MNHN,RECOLNAT_MNHN_P,P02710419,PreservedSpecimen,NA,NA,NA,Asteraceae,Vernonia,exigua,Vernonia exigua,Cabrera,"Smith, L.B.|Hatschbach, G.|Klein, R.M.",NA,"1965","1","18",NA,Brasil,Paraná,Jaguariaíva,"Fazenda Cajurú, source of Rio Cajurú.",-49.31667,-24.16667,NA,NA,hb,<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02710419' target='other'> <mi>dwc_moreinfo</mi></a>,P02710419,P02710419_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14804",NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.32,-24.17,"23",2020-09-12 05:00:02-03,US,US,"2557883",PreservedSpecimen,Plantae,NA,Asterales,Asteraceae,Lessingianthus,exiguus,Lessingianthus exiguus,(Cabrera) H. Rob.,"L. Smith, R. M. Klein & G. Hatschbach","14804","1965","1","18",South America,Brazil,Paraná,NA,"Mun. Jaguariava: High rocky campo, boggy slope, and grove, Fazenda Cajurú, source of Rio Cajurú",-49.32,-24.17,"1000","1100",NA,NA,US01630589,US01630589_01,Dicotyledonae,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"35",São Paulo,SP,Sudeste
