X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,preparationType,occurrenceRemarks,barcode,imagecode,coordinatePrecision,geoFlag,yearIdentified,monthIdentified,dayIdentified,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,class,individualCount,typeStatus,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-45.84,-23.5303,"1",2021-03-15 16:37:00-03,NY,NYBG,"492052",PreservedSpecimen,Plantae,Magnoliophyta,Lamiales,Acanthaceae,Justicia,catharinensis,Justicia catharinensis,Lindau,D. C. Wasshausen,M. Kuhlmann,"3772","1956","04","12",South America,Brazil,São Paulo,Salesópolis,"Salesópolis, Boracéia. Barrancas juntos ao caminho matas do DAE, junto à estaçao Biológica de Boracéia",-45.84,-23.5303,sheet,Instituto de Botânica Sao Paulo - Brasil <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=152551' target='other'> <mi>dwc_moreinfo</mi></a>,NY00492052,NY00492052_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.5046997070312,-24.7563991546631,"6",2020-11-04 10:58:34-03,ESALQ,ESA,"22111",PreservedSpecimen,Plantae,Magnoliophyta,NA,Acanthaceae,Justicia,pygmaea,Justicia pygmaea,NA,"Kameyama, C.","Souza, J.P.; Miyagi, P.H.; Zandoval, J.A.","75.0","1995","02","14",NA,Brasil,São Paulo,Barra do Turvo,NA,-48.5046997070312,-24.7563991546631,NA,NA,ESA022111,ESA022111,"38172",auto,"2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.7,-23.616667,"7",2015-07-02 14:55:12-03,JBP,HPL,"6676",S,Plantae,NA,NA,Acanthaceae,Justicia,pygmaea,Justicia pygmaea,Lindau,A. Indriunas/C. Kameyama,V.C. Souza & H. Lorenzi et al.,"28994","2003","02","13",NA,Brasil,SP,Salesópolis,"Coletado no Parque Estadual da Serra do Mar - Núcleo Caraguatatuba, em local alagável.",-45.7,-23.616667,NA,NA,NA,NA,NA,NA,"2010","07","09",45° 42' W,23° 37' S,"1100","1100",NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.5046997070312,-24.7563991546631,"9",2021-03-01 16:21:04-03,UNICAMP,UEC,"76370",S,Plantae,Magnoliopsida,NA,Acanthaceae,Justicia,catharinensis,Justicia catharinensis,Lindau,"Kameyama, C","Souza, JP; Miyagi, PH; Zandoval, JA","75","1995","02","14",NA,Brazil,São Paulo,Barra do Turvo,10 Km de Barra do Turvo em direção a Pariquera-açú.,-48.5046997070312,-24.7563991546631,NA,"Erva, flores com lábio superior vináceo, inferior lilás, fauce e tubo da corola brancos.",UEC022285,UEC022285,"38172",auto,"1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.5046997070312,-24.7563991546631,"34",2019-11-13 11:13:50-03,USP,SPF,"108012",PreservedSpecimen,Plantae,NA,NA,Acanthaceae,Justicia,catharinensis,Justicia catharinensis,Lindau,"Kameyama, C","Souza, JP","75","1995","02","14",NA,Brasil,São Paulo,Barra do Turvo,NA,-48.5046997070312,-24.7563991546631,NA,NA,SPF00108012,SPF00108012,"38172",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.889778,-23.653806,"39",2019-11-06 16:08:35-03,IAC,IAC,"5994",S,Plantae,NA,NA,Acanthaceae,Justicia,pygmaea,Justicia pygmaea,Lindau,A. Indriunas,A.S. Lima & L. Silva,s/nº,"1940","12","19",NA,Brasil,São Paulo,Salesópolis,"Estação Experimental de Boracéia/Estação Experimental de Quina (atual Estação Biológica de Boracéia, Museu de Zoologia/USP)",-45.889778,-23.653806,NA,NA,NA,NA,NA,NA,"2010","10","19","-45.889778","-23.653806",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.5499992370605,-24.7000007629395,"43",2019-11-21 09:57:46-03,IBt,SP,"254481",S,Plantae,NA,NA,Acanthaceae,Justicia,catharinensis,Justicia catharinensis,Lindau,"Kameyama, C","Mamede, MCH; Rossi, L","504","1991","11","29",NA,Brasil,São Paulo,Iguape,"Estação Ecológica Juréia-Itatins, Trilha da Figueira Grande",-47.5499992370605,-24.7000007629395,NA,"Erva 50 cm de altur, Inflorescências jovens esverdeadas",NA,NA,"55628",auto,"2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.5499992370605,-24.7000007629395,"44",2019-11-21 09:57:46-03,IBt,SP,"268684",S,Plantae,NA,NA,Acanthaceae,Justicia,catharinensis,Justicia catharinensis,Lindau,"Kameyama, C","Anunciação, EA; Rossi, L","369","1993","10","27",NA,Brasil,São Paulo,Iguape,"Estação Ecológica Juréia-Itatins, Trilha para a Figueira Grande",-47.5499992370605,-24.7000007629395,NA,"Erva prostrada, Corola lilás, estigma algo, anteras lilases",NA,NA,"55628",auto,"2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.4599990844727,-23.6599998474121,"45",2019-11-21 09:57:46-03,IBt,SP,"426075",S,Plantae,NA,NA,Acanthaceae,Justicia,catharinensis,Justicia catharinensis,Lindau,"Kameyama, C","Shirasuna, RT; Morse, F; Rodrigues, RS","2055","2009","01","26",NA,Brasil,São Paulo,Mauá,"Lote 1 Rodoanel Mário Covas, Trecho Sul",-46.4599990844727,-23.6599998474121,NA,NA,NA,NA,"8925",auto,"2010","05","18",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.4599990844727,-23.6599998474121,"46",2019-11-21 09:57:46-03,IBt,SP,"426074",S,Plantae,NA,NA,Acanthaceae,Justicia,catharinensis,Justicia catharinensis,Lindau,"Kameyama, C","Shirasuna, RT","2468","2009","07","17",NA,Brasil,São Paulo,Mauá,"Lote 1 Rodoanel Mário Covas, Trecho Sul",-46.4599990844727,-23.6599998474121,NA,NA,NA,NA,"8925",auto,"2010","05","18",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
