X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,recordedBy,continentOcean,country,preparationType,previousCatalogNumber,occurrenceRemarks,barcode,phylum,order,scientificNameAuthorship,recordNumber,year,month,day,stateProvince,county,decimalLongitude,decimalLatitude,imagecode,locality,minimumElevationInMeters,coordinatePrecision,maximumElevationInMeters,geoFlag,identifiedBy,yearIdentified,verbatimLongitude,verbatimLatitude,monthIdentified,dayIdentified,class,relatedCatalogItem,individualCount,fieldNumber,infraspecificEpithet,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-48.4325,-22.842222,"35",2021-02-18 09:29:35-03,UNESP-IBB,BOTU,"24404",PreservedSpecimen,Plantae,Fabaceae,Caesalpinia,echinata,Caesalpinia echinata,"Campos, C.J.",NA,Brasil,NA,NA,"Árvore com ca., 9 m de altura, ca., 40 cm de perímetro, espinhos ao longo dos ramos, flores amarelas com manchas vermelhas em uma pétala, aroma agradável",BOTU024404,NA,NA,Lam.,NA,"2002","11","14",São Paulo,Botucatu,-48.4325,-22.842222,NA,NA,NA,NA,NA,NA,"Campos, C.J.",NA,48°25'57w,22°50'32s,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"72",2020-01-20 14:40:30-03,UPM,MACK,"2708",PreservedSpecimen,Plantae,Fabaceae,Paubrasilia,echinata,Paubrasilia echinata,A. R. Balbin,NA,Brasil,NA,NA,Entrada do fundamental,NA,NA,NA,"(Lam.) Gagnon, H. C. Lima & G. P. Lewis","85","2015","09","16",SP,São Paulo,-46.6300010681152,-23.5400009155273,NA,"UPM, Campus Higienópolis.",NA,"53584",NA,auto,A. R. Balbin,"2015",S,W,"09","16",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"73",2020-01-20 14:40:30-03,UPM,MACK,"2700",PreservedSpecimen,Plantae,Fabaceae,Paubrasilia,echinata,Paubrasilia echinata,"A. R. Balbin; R. S. L. Araujo",NA,Brasil,NA,NA,Atrás do prédio 1,NA,NA,NA,"(Lam.) Gagnon, H. C. Lima & G. P. Lewis","75","2015",NA,NA,SP,São Paulo,-46.6300010681152,-23.5400009155273,NA,"UPM, Campus Higienópolis.",NA,"53584",NA,auto,A. R. Balbin,"2015",S,W,"06",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6271,-23.5448,"83",2019-07-24 16:19:01-03,CCE,CATAVENTO,"19",LivingSpecimen,Plantae,Fabaceae,Paubrasilia,echinata,Paubrasilia echinata,NA,América do Sul,Brasil,NA,NA,<ll>dwc_commonname:</ll> pau-brasil,CATAVENTO0019,NA,NA,"Gagnon, Lima & Lewis",NA,"2018","08","28",São Paulo,São Paulo,-46.6271,-23.5448,CATAVENTO0019_v01 CATAVENTO0019_v02 CATAVENTO0019_v03 CATAVENTO0019_v04 CATAVENTO0019_v05 CATAVENTO0019_v06 CATAVENTO0019_v07 CATAVENTO0019_v08,"Av. Mercúrio, s/n - Pq. Dom Pedro II - Brás","730",NA,"730",NA,"Santilli, C.","2018","-46.6271","-23.5448","08","29",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.6399993896484,-22.7199993133545,"109",2020-11-04 11:08:37-03,ESALQ,ESA,"7419",PreservedSpecimen,Plantae,Fabaceae,Caesalpinia,echinata,Caesalpinia echinata,"Freitas, J.",NA,Brasil,NA,NA,NA,ESA007419,Magnoliophyta,NA,Lam.,NA,"1987","10","08",São Paulo,Piracicaba,-47.6399993896484,-22.7199993133545,ESA007419,NA,NA,"44778",NA,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.6399993896484,-22.7199993133545,"110",2020-11-04 11:08:26-03,ESALQ,ESA,"69474",PreservedSpecimen,Plantae,Fabaceae,Caesalpinia,echinata,Caesalpinia echinata,"Pérez, G.F.E.",NA,Brasil,NA,NA,NA,ESA069474,Magnoliophyta,NA,Lam.,NA,"1999","10","04",São Paulo,Piracicaba,-47.6399993896484,-22.7199993133545,ESA069474,NA,NA,"44778",NA,auto,NA,"1999",NA,NA,"10","24",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.6399993896484,-22.7199993133545,"111",2020-11-04 11:08:26-03,ESALQ,ESA,"10953",PreservedSpecimen,Plantae,Fabaceae,Caesalpinia,echinata,Caesalpinia echinata,"Barreto, K.D. et al.",NA,Brasil,NA,NA,NA,ESA010953,Magnoliophyta,NA,Lam.,"1151.0","1993","09","09",São Paulo,Piracicaba,-47.6399993896484,-22.7199993133545,ESA010953,NA,NA,"44778",NA,auto,NA,"1993",NA,NA,"09","09",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.6399993896484,-22.7199993133545,"112",2020-11-04 11:08:37-03,ESALQ,ESA,"7420",PreservedSpecimen,Plantae,Fabaceae,Caesalpinia,echinata,Caesalpinia echinata,"Oliveira, F.A.L.",NA,Brasil,NA,NA,NA,ESA007420,Magnoliophyta,NA,Lam.,NA,"1987","10","08",São Paulo,Piracicaba,-47.6399993896484,-22.7199993133545,ESA007420,NA,NA,"44778",NA,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.6399993896484,-22.7199993133545,"113",2020-11-04 11:08:26-03,ESALQ,ESA,"119829",PreservedSpecimen,Plantae,Fabaceae,Caesalpinia,echinata,Caesalpinia echinata,"Shimano, I.S.H.",NA,Brasil,NA,NA,NA,ESA119829,Magnoliophyta,NA,NA,"3.0","2007","11","08",São Paulo,Piracicaba,-47.6399993896484,-22.7199993133545,NA,Parque da ESALQ.,NA,"44778",NA,auto,"Shimano, I.S.H.","2007",NA,NA,"10","30",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.7200012207031,-23.1000003814697,"116",2020-11-04 11:08:26-03,ESALQ,ESA,"6323",PreservedSpecimen,Plantae,Fabaceae,Caesalpinia,echinata,Caesalpinia echinata,"Malagodi, M.A.S.",NA,Brasil,NA,NA,NA,ESA006323,Magnoliophyta,NA,Lam.,NA,"1990","10","28",São Paulo,Jarinu,-46.7200012207031,-23.1000003814697,ESA006323,NA,NA,"13582",NA,auto,NA,"1990",NA,NA,"10","29",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.6399993896484,-22.7199993133545,"117",2020-11-04 11:08:26-03,ESALQ,ESA,"1466",PreservedSpecimen,Plantae,Fabaceae,Caesalpinia,echinata,Caesalpinia echinata,"Zandoval, J.A.",NA,Brasil,NA,NA,NA,ESA001466,Magnoliophyta,NA,Lam.,"57.0","1984","08","26",São Paulo,Piracicaba,-47.6399993896484,-22.7199993133545,ESA001466,NA,NA,"44778",NA,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.6399993896484,-22.7199993133545,"118",2020-11-04 11:08:26-03,ESALQ,ESA,"16755",PreservedSpecimen,Plantae,Fabaceae,Caesalpinia,echinata,Caesalpinia echinata,"Romano, F.C.B.",NA,Brasil,NA,NA,NA,ESA016755,Magnoliophyta,NA,Lam.,"2.0","1994","11","04",São Paulo,Piracicaba,-47.6399993896484,-22.7199993133545,ESA016755,NA,NA,"44778",NA,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.6399993896484,-22.7199993133545,"119",2020-11-04 11:08:37-03,ESALQ,ESA,"72245",PreservedSpecimen,Plantae,Fabaceae,Caesalpinia,echinata,Caesalpinia echinata,"Teixeira, E.F.",NA,Brasil,NA,NA,NA,ESA072245,Magnoliophyta,NA,Lam.,"1.0","1999","10","04",São Paulo,Piracicaba,-47.6399993896484,-22.7199993133545,ESA072245,NA,NA,"44778",NA,auto,NA,"1999",NA,NA,"10","21",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.6399993896484,-22.7199993133545,"120",2020-11-04 11:08:26-03,ESALQ,ESA,"10417",PreservedSpecimen,Plantae,Fabaceae,Caesalpinia,echinata,Caesalpinia echinata,"Barreto, K.D. et al.",NA,Brasil,NA,NA,NA,ESA010417,Magnoliophyta,NA,Lam.,"169.0","1993","03","26",São Paulo,Piracicaba,-47.6399993896484,-22.7199993133545,ESA010417,NA,NA,"44778",NA,auto,NA,"1993",NA,NA,"03","26",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.6399993896484,-22.7199993133545,"121",2020-11-04 11:08:26-03,ESALQ,ESA,"69449",PreservedSpecimen,Plantae,Fabaceae,Caesalpinia,echinata,Caesalpinia echinata,"Belmonte, U.C.F.",NA,Brasil,NA,NA,NA,ESA069449,Magnoliophyta,NA,Lam.,"2.0","1999","10","04",São Paulo,Piracicaba,-47.6399993896484,-22.7199993133545,ESA069449,NA,NA,"44778",NA,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.6399993896484,-22.7199993133545,"122",2020-11-04 11:08:37-03,ESALQ,ESA,"7421",PreservedSpecimen,Plantae,Fabaceae,Caesalpinia,echinata,Caesalpinia echinata,"Labate, M.L.",NA,Brasil,NA,NA,NA,ESA007421,Magnoliophyta,NA,Lam.,NA,NA,NA,NA,São Paulo,Piracicaba,-47.6399993896484,-22.7199993133545,ESA007421,NA,NA,"44778",NA,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.6399993896484,-22.7199993133545,"123",2020-11-04 11:08:26-03,ESALQ,ESA,"1269",PreservedSpecimen,Plantae,Fabaceae,Caesalpinia,echinata,Caesalpinia echinata,"Accorsi, W.R.",NA,Brasil,NA,NA,NA,ESA001269,Magnoliophyta,NA,Lam.,NA,"1939","10","26",São Paulo,Piracicaba,-47.6399993896484,-22.7199993133545,ESA001269,NA,NA,"44778",NA,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.6399993896484,-22.7199993133545,"124",2020-11-04 11:08:26-03,ESALQ,ESA,"51110",PreservedSpecimen,Plantae,Fabaceae,Caesalpinia,echinata,Caesalpinia echinata,"Padrão, D.H.B.",NA,Brasil,NA,NA,NA,ESA051110,Magnoliophyta,NA,NA,NA,"2004","09","12",São Paulo,Piracicaba,-47.6399993896484,-22.7199993133545,ESA051110,NA,NA,"44778",NA,auto,"Padrão, D.H.B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.6399993896484,-22.7199993133545,"125",2020-11-04 11:08:26-03,ESALQ,ESA,"69459",PreservedSpecimen,Plantae,Fabaceae,Caesalpinia,echinata,Caesalpinia echinata,Zeferino C.V.,NA,Brasil,NA,NA,NA,ESA069459,Magnoliophyta,NA,NA,"1.0","1999","10","04",São Paulo,Piracicaba,-47.6399993896484,-22.7199993133545,ESA069459,NA,NA,"44778",NA,auto,"Lewis, G.P.","2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.6399993896484,-22.7199993133545,"126",2020-11-04 11:08:26-03,ESALQ,ESA,"70088",PreservedSpecimen,Plantae,Fabaceae,Caesalpinia,echinata,Caesalpinia echinata,"Silva, E.A. ; Marchese, F.",NA,Brasil,NA,NA,NA,ESA070088,Magnoliophyta,NA,Lam.,"2.0","1999","10","04",São Paulo,Piracicaba,-47.6399993896484,-22.7199993133545,ESA070088,NA,NA,"44778",NA,auto,NA,"1999",NA,NA,"10","23",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.6399993896484,-22.7199993133545,"127",2020-11-04 11:08:26-03,ESALQ,ESA,"16777",PreservedSpecimen,Plantae,Fabaceae,Caesalpinia,echinata,Caesalpinia echinata,"Almeida, L.A.",NA,Brasil,NA,NA,NA,ESA016777,Magnoliophyta,NA,Lam.,"1.0","1994","11","11",São Paulo,Piracicaba,-47.6399993896484,-22.7199993133545,ESA016777,NA,NA,"44778",NA,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.6399993896484,-22.7199993133545,"128",2020-11-04 11:08:26-03,ESALQ,ESA,"13926",PreservedSpecimen,Plantae,Fabaceae,Caesalpinia,echinata,Caesalpinia echinata,"Arantes, J.G.",NA,Brasil,NA,NA,NA,ESA013926,Magnoliophyta,NA,Lam.,NA,"1993","10","19",São Paulo,Piracicaba,-47.6399993896484,-22.7199993133545,ESA013926,NA,NA,"44778",NA,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.6399993896484,-22.7199993133545,"129",2020-11-04 11:08:26-03,ESALQ,ESA,"69473",PreservedSpecimen,Plantae,Fabaceae,Caesalpinia,echinata,Caesalpinia echinata,"Carvalho, V.B.P. ; Maique, T.",NA,Brasil,NA,NA,NA,ESA069473,Magnoliophyta,NA,Lam.,"2.0","1999","09","04",São Paulo,Piracicaba,-47.6399993896484,-22.7199993133545,ESA069473,NA,NA,"44778",NA,auto,NA,"1999",NA,NA,"09","18",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
