X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,barcode,imagecode,phylum,order,typeStatus,recordNumber,continentOcean,preparationType,occurrenceRemarks,yearIdentified,monthIdentified,dayIdentified,coordinatePrecision,geoFlag,minimumElevationInMeters,maximumElevationInMeters,class,individualCount,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-49.3699989318848,-20.8199996948242,"27",2020-11-12 17:02:36-03,UEL,FUEL,"24748",PreservedSpecimen,Plantae,Poaceae,Luziola,brasiliensis,Luziola brasiliensis,(Trin.) Swallen,"Longhi-Wagner, HM","Martins, EMP","1966","06","10",Brasil,São Paulo,São José do Rio Preto,"Córrego Felicidade, Estrada São Paulo, Estrada São Paulo",-49.3699989318848,-20.8199996948242,NA,NA,NA,NA,Tracheophyta,Poales,NA,"33",NA,NA,NA,"2003","10","17","20305",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.5499992370605,-24.7000007629395,"37",2019-11-21 10:15:53-03,IBt,SP,"31122",S,Plantae,Poaceae,Luziola,brasiliensis,Luziola brasiliensis,(Trin.) Swallen,"Longhi Wagner, HM","Brade, AC","1917","04",NA,Brasil,São Paulo,Iguape,Rio Peroupava.,-47.5499992370605,-24.7000007629395,NA,NA,SP034329,SP034329,NA,NA,NA,"7863",NA,NA,NA,"1999","07","30","55628",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
