X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,preparationType,occurrenceRemarks,barcode,imagecode,identifiedBy,minimumElevationInMeters,maximumElevationInMeters,yearIdentified,monthIdentified,dayIdentified,coordinatePrecision,geoFlag,verbatimLongitude,verbatimLatitude,class,individualCount,typeStatus,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.78194444,-23.43916667,"74",2014-09-23 11:02:07-03,G,G-DC,G00329895,S,Plantae,NA,NA,Piperaceae,Peperomia,jaraguana,Peperomia jaraguana,C. DC.,"Usteri, A.",NA,"1907","04","14",AMERIQUE DU SUD,Brazil,São Paulo,Jaraguá,NA,-46.78194444,-23.43916667,NA,Coordinate uncertainty: Precision undefined Image URL: No picture available on the institution's web site,G00329895,NA,CAT.HERB.PRODR.,NA,NA,"2012","01","01",NA,NA,"-46.78194444","-23.43916667",NA,NA,SYNTYPUS of Peperomia jaraguana C. DC.,"35",São Paulo,SP,Sudeste
-46.7000007629395,-22.6100006103516,"75",2019-11-21 10:14:15-03,IBt,SP,"12619",S,Plantae,NA,NA,Piperaceae,Peperomia,diaphanoides,Peperomia diaphanoides,Dahlst.,"Edwall, G",CGG4549,"1901","10",NA,NA,Brasil,São Paulo,Serra Negra,NA,-46.7000007629395,-22.6100006103516,NA,NA,SP007614,SP007614,"Yuncker, TG",NA,NA,"1960",NA,NA,"12188",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
