X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,locality,preparationType,occurrenceRemarks,barcode,county,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,imagecode,coordinatePrecision,geoFlag,yearIdentified,monthIdentified,dayIdentified,typeStatus,verbatimLongitude,verbatimLatitude,class,fieldNumber,individualCount,relatedCatalogItem,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-45.0699996948242,-23.4300003051758,"38",2020-06-17 15:25:13-03,UNESP-RC,HRCB,"10863",PreservedSpecimen,Plantae,NA,NA,Loranthaceae,Struthanthus,taubatensis,Struthanthus taubatensis,Eichler ,Marie Sugiyama,"Furlan, A.",NA,NA,NA,NA,NA,Brasil,São Paulo,Picinguaba,NA,NA,NA,Ubatuba,-45.0699996948242,-23.4300003051758,NA,NA,NA,"34265",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.0699996948242,-23.4300003051758,"39",2020-06-17 15:25:13-03,UNESP-RC,HRCB,"11323",PreservedSpecimen,Plantae,NA,NA,Loranthaceae,Struthanthus,taubatensis,Struthanthus taubatensis,Eichler ,Marie Sugiyama,"Furlan, A.",NA,NA,NA,NA,NA,Brasil,São Paulo,Picinguaba,NA,NA,NA,Ubatuba,-45.0699996948242,-23.4300003051758,NA,NA,NA,"34265",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.0699996948242,-23.4300003051758,"40",2020-06-17 15:25:13-03,UNESP-RC,HRCB,"9518",PreservedSpecimen,Plantae,NA,NA,Loranthaceae,Struthanthus,taubatensis,Struthanthus taubatensis,Eichler ,Marie Sugiyama,"Cunha, N. M. L.",NA,NA,NA,NA,NA,Brasil,São Paulo,Picinguaba,NA,NA,NA,Ubatuba,-45.0699996948242,-23.4300003051758,NA,NA,NA,"34265",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5499992370605,-23.0200004577637,"50",2020-09-12 05:00:02-03,US,US,NA,PreservedSpecimen,Plantae,NA,Santalales,Loranthaceae,Struthanthus,taubatensis,Struthanthus taubatensis,Eichler,NA,L. Riedel,s.n.,"1905","1","6",South America - Neotropics,Brazil,São Paulo,NA,NA,NA,NA,Taubaté,-45.5499992370605,-23.0200004577637,NA,NA,NA,"25704",auto,NA,NA,NA,NA,NA,NA,Dicotyledonae,NA,"1",NA,"35",São Paulo,SP,Sudeste
-49,-22,"63",2019-01-23 11:15:40-02,F,FMNH-SEEDPLANTS,V0062423F,PreservedSpecimen,Plantae,Spermatophyta,NA,Loranthaceae,Struthanthus,taubatensis,Struthanthus taubatensis,NA,NA,L. Riedel,s.n.,NA,NA,NA,South America,Brazil,São Paulo,NA,NA,NA,V0062423F,NA,-49,-22,NA,NA,V0062423F_01,NA,NA,NA,NA,NA,Isotype,NA,NA,Dicotyledoneae,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.310001373291,-23.2199993133545,"79",2019-12-05 09:46:15-03,IBt,SP,"12809",S,Plantae,NA,NA,Loranthaceae,Struthanthus,glomeriflorus,Struthanthus glomeriflorus,Eichler,"Rizzini, CT","Loefgren, A",CGG1850,"1892","09","14",NA,Brasil,São Paulo,Boa Vista,NA,NA,SP116281,São Luís do Paraitinga,-45.310001373291,-23.2199993133545,NA,NA,SP116281,"27362",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.5299987792969,-23.6599998474121,"80",2020-01-22 15:48:54-03,IBt,SP,"2602",S,Plantae,NA,NA,Loranthaceae,Struthanthus,hoehnei,Struthanthus hoehnei,K.Krause,"Krause, K","Hoehne, FC",s.n.,"1918","12","05",NA,Brasil,São Paulo,E.B. do Alto da Serra de Paranapiacaba,NA,NA,SP004149,Santo André,-46.5299987792969,-23.6599998474121,NA,NA,NA,"27258",auto,NA,NA,NA,Holotype,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.5299987792969,-23.6599998474121,"81",2019-12-05 09:46:15-03,IBt,SP,"220901",S,Plantae,NA,NA,Loranthaceae,Struthanthus,hoehnei,Struthanthus hoehnei,K.Krause,"Sugiyama, M","Kirizawa, M; Lopes, EA","1927","1987","10","27",NA,Brasil,São Paulo,"E.B. do Alto da Serra de Paranapiacaba, Picada 27",NA,NA,NA,Santo André,-46.5299987792969,-23.6599998474121,NA,NA,NA,"27258",auto,"1988","05","23",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
