X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,occurrenceRemarks,barcode,phylum,order,recordNumber,coordinatePrecision,minimumElevationInMeters,maximumElevationInMeters,individualCount,geoFlag,continentOcean,preparationType,previousCatalogNumber,imagecode,infraspecificEpithet,class,relatedCatalogItem,relationshipType,typeStatus,fieldNumber,sex,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.63,-23.5403,"21",2021-03-15 16:37:00-03,NY,NYBG,"445803",PreservedSpecimen,Plantae,Lythraceae,Lafoensia,pacari,Lafoensia pacari,A.St.-Hil.,N. A. Rosa,NA,NA,NA,N. A. Rosa,"1980","11","15",Brazil,São Paulo,Sao Paulo,Reserva do Instituto de Botânica de Sao Paulo,-46.63,-23.5403,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=57031' target='other'> <mi>dwc_moreinfo</mi></a>,NY00445803,Magnoliophyta,Myrtales,"3718",NA,NA,NA,NA,NA,South America,sheet,NA,NY00445803_01 NY00445803_02,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.97,-20.4203,"47",2021-03-15 16:37:00-03,NY,NYBG,"445808",PreservedSpecimen,Plantae,Lythraceae,Lafoensia,pacari,Lafoensia pacari petiolata,Koehne,A. Lourteig,NA,NA,NA,J. M. Pires,"1964","06","19",Brazil,São Paulo,Votuporanga,Votuporanga,-49.97,-20.4203,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=477370' target='other'> <mi>dwc_moreinfo</mi></a>,NY00445808,Magnoliophyta,Myrtales,"57928",NA,NA,NA,NA,NA,South America,sheet,NA,NY00445808_01,petiolata,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.416667,-22.75,"130",2021-02-08 11:09:12-03,UNESP-IBB,BOTU,"10844",PreservedSpecimen,Plantae,Lythraceae,Lafoensia,densiflora,Lafoensia densiflora,Pohl,"Louerteig, A.","1973",NA,NA,"Gottsberger, I.S.","1970","05","05",Brasil,São Paulo,Botucatu,"18km north of Botucatu (14 km east of São Manuel). Along the São Manuel- Piracicaba highway. Near ex-RR station, 13 de Maio",-48.416667,-22.75,48°25'w,22°45's,"Alt. ca 550m . Cerrado vegetation, xeromorphic tree & scrub woodland form, on gentle slope. Shrub. 2m, flowers white.; Coleção: Cerrado Estação 13 de Maio",BOTU010844,NA,NA,"161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.433333,-22.866667,"133",2021-02-08 11:09:12-03,UNESP-IBB,BOTU,"29376",PreservedSpecimen,Plantae,Lythraceae,Lafoensia,pacari,Lafoensia pacari,A.St.-Hil.,NA,NA,NA,NA,"Bignotto, R.B.","2003","12","16",Brasil,São Paulo,Botucatu,NA,-48.433333,-22.866667,48°26'w,22°52's,"Árvore 4m, cálice fundido vermelho-amarelado, frutos imaturos.; Coleção: Jardim Botânico UNESP Botucatu",BOTU029376,NA,NA,"156",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.733333,-22.816667,"139",2021-02-08 11:09:12-03,UNESP-IBB,BOTU,"23628",PreservedSpecimen,Plantae,Lythraceae,Lafoensia,pacari,Lafoensia pacari,A.St.-Hil.,NA,NA,NA,NA,"Ferreira, R.C.C.","1997","12","17",Brasil,São Paulo,Botucatu,NA,-49.733333,-22.816667,49° 44' w,22°49's,NA,BOTU023628,NA,NA,"149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.738611,-22.566667,"140",2021-02-08 11:09:12-03,UNESP-IBB,BOTU,"14440",PreservedSpecimen,Plantae,Lythraceae,Lafoensia,pacari,Lafoensia pacari,A.St.-Hil.,NA,NA,NA,NA,"Bicudo, L.R.H.","1986","04","22",Brasil,São Paulo,Botucatu,NA,-48.738611,-22.566667,48°44'19w,22°34's,"Cálice verde avermelhado, estames amarelos, odor desagradável, botões avermelhados",BOTU014440,NA,NA,"964",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.016667,-22.866667,"143",2021-02-08 11:09:12-03,UNESP-IBB,BOTU,"29450",PreservedSpecimen,Plantae,Lythraceae,Lafoensia,pacari,Lafoensia pacari,A.St.-Hil.,"Mantovani, W.","2013","08","16","Ishara, K.L.","2005","11","28",Brasil,São Paulo,Botucatu,NA,-48.016667,-22.866667,48°01'w,22°52's,Jardim Botânico UNESP Botucatu,BOTU029450,NA,NA,"594",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.833333,-23.016667,"144",2021-02-08 11:09:12-03,UNESP-IBB,BOTU,"33965",PreservedSpecimen,Plantae,Lythraceae,Lafoensia,pacari,Lafoensia pacari,A.St.-Hil.,NA,NA,NA,NA,"Castro Matheus, L.","2019","07","05",Brasil,São Paulo,Botucatu,Jardim Botânico do IBB,-48.833333,-23.016667,48°49'60w,22°60'60s,NA,BOTU033965,NA,NA,"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.9000015258789,-21.1800003051758,"192",2021-03-30 12:43:20-03,EAO,IAN,"35719",PreservedSpecimen,Plantae,Lythraceae,Lafoensia,pacari,Lafoensia pacari pacari,A.St.-Hil.,"Lourteig, A","1967",NA,NA,"Mendes, OT","1938","11","07",Brasil,São Paulo,Pindorama,Mato Joaquim Leonel.,-48.9000015258789,-21.1800003051758,NA,NA,Árvore.,IAN035719,Dicotiledônea,NA,"4641","14884",NA,NA,NA,auto,Southern America,NA,NA,IAN035719 IAN035719_e,pacari,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.9000015258789,-21.1800003051758,"197",2021-03-30 12:43:20-03,EAO,IAN,"35719",PreservedSpecimen,Plantae,Lythraceae,Lafoensia,pacari,Lafoensia pacari pacari,A.St.-Hil.,"Lourteig, A","1967",NA,NA,"Mendes, OT","1938","11","07",Brasil,São Paulo,Pindorama,Mato Joaquim Leonel.,-48.9000015258789,-21.1800003051758,NA,NA,Árvore.,IAN035719,Dicotiledônea,NA,"4641","14884",NA,NA,NA,auto,Southern America,NA,NA,IAN035719 IAN035719_e,pacari,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
