X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,recordNumber,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,coordinatePrecision,minimumElevationInMeters,maximumElevationInMeters,occurrenceRemarks,barcode,imagecode,geoFlag,phylum,order,infraspecificEpithet,typeStatus,continentOcean,preparationType,verbatimLongitude,verbatimLatitude,class,relatedCatalogItem,fieldNumber,individualCount,sex,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-49.5499992370605,-22.2900009155273,"31",2020-11-04 11:00:42-03,ESALQ,ESA,"65991",PreservedSpecimen,Plantae,Arecaceae,Syagrus,oleracea,Syagrus oleracea,(Mart.) Becc.,NA,NA,NA,NA,"Gorenstein, M.R.","5034.0","1999","06","01",Brasil,São Paulo,Gália,NA,-49.5499992370605,-22.2900009155273,"23314",NA,NA,NA,ESA065991,ESA065991,auto,Magnoliophyta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.5499992370605,-22.2900009155273,"32",2020-11-04 11:00:42-03,ESALQ,ESA,"64939",PreservedSpecimen,Plantae,Arecaceae,Syagrus,oleracea,Syagrus oleracea,NA,NA,NA,NA,NA,"Gorenstein, M.R.","5034.0","1999","06","01",Brasil,São Paulo,Gália,NA,-49.5499992370605,-22.2900009155273,"23314",NA,NA,NA,ESA064939,NA,auto,Magnoliophyta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.060001373291,-22.8999996185303,"46",2019-08-20 09:59:09-03,UNICAMP,UEC,"115475",S,Plantae,Arecaceae,Syagrus,oleracea,Syagrus oleracea,(Mart.) Becc.,"Cielo-Filho, R",NA,NA,NA,"Cielo-Filho, R; Batista, ER","244","2000","09","22",Brazil,São Paulo,Campinas,"Distrito de Sousas, Mata Ribeirão Cachoeira (Condomínio Colinas do Atibaia).",-47.060001373291,-22.8999996185303,"23900",NA,NA,"Árvore de aproximadamente 15 m de altura, fruto imaturo verde claro, folíolos eretos. Indivíduo 321.",UEC001180,UEC001180,auto,Liliopsida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.060001373291,-22.8999996185303,"47",2019-08-20 09:59:09-03,UNICAMP,UEC,NA,S,Plantae,Arecaceae,Syagrus,oleracea,Syagrus oleracea,(Mart.) Becc.,"Cielo-Filho, R",NA,NA,NA,"Cielo-Filho, R; Batista, ER","244","2000","09","22",Brazil,São Paulo,Campinas,"Distrito de Sousas, Mata Ribeirão Cachoeira (Condomínio Colinas do Atibaia).",-47.060001373291,-22.8999996185303,"23900",NA,NA,"Árvore de aproximadamente 15 m de altura, fruto imaturo verde claro, folíolos eretos. Indivíduo 321.",UEC001177,NA,auto,Liliopsida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.9099998474121,-20.0799999237061,"48",2019-08-20 09:59:09-03,UNICAMP,UEC,"107596",S,Plantae,Arecaceae,Syagrus,oleracea,Syagrus oleracea,(Mart.) Becc.,"Mattos, J","1967","06",NA,"Marinis, G","371","1965","10","20",Brazil,São Paulo,Cardoso,Fazenda Marinheiro,-49.9099998474121,-20.0799999237061,"22486",NA,NA,NA,UEC001175,UEC001175,auto,Liliopsida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"82",2020-10-01 14:25:45-03,JBB,HEPH,"29057",S,Plantae,Arecaceae,Syagrus,oleracea,Syagrus oleracea,(Mart.) Becc.,"Fernandes, HQB",NA,NA,NA,"Chukr, NS","512","1997","04","09",Brasil,São Paulo,São Paulo,"Parque Ibirapuera, próximo ao portão 5.",-46.6300010681152,-23.5400009155273,"53584",NA,NA,NA,NA,NA,auto,Monocotyledon,Arecales,NA,NA,Southern America,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.9099998474121,-20.0799999237061,"100",2020-08-01 18:19:14-03,UNESP-IBILCE,SJRP,"00102",PreservedSpecimen,Plantae,Arecaceae,Syagrus,oleracea,Syagrus oleracea,(Mart.) Becc.,J. Mattos,NA,NA,NA,G. de Marinis,NA,NA,NA,NA,Brasil,São Paulo,Cardoso,faz. mariheiro,-49.9099998474121,-20.0799999237061,"22486",NA,NA,"Folhas, flores e frutos;",NA,NA,auto,Tracheophyta,Arecales,NA,NA,América do Sul,NA,NA,NA,Liliopsida,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.658889,-20.57,"104",2020-09-16 16:42:31-03,MBML,MBML-HERBARIO,"7604",NA,Plantae,Palmae,Syagrus,oleracea,Syagrus oleracea,(Martins) Beccari,NA,NA,NA,NA,"H. Q. Boudet Fernandes; et al","3207","1997","05","22",Brasil,São Paulo,Barretos,"Fazenda Nelore, indo para Olimpia, a 8 km da entrada para Barretos. Altitude 600 m/s.m. Pastagem",-48.658889,-20.57,NA,NA,NA,"Arborescente, solitária, 12m de altura. Estipe 10m x 20cm; entrenós 10-15 cm. Folhas: 7 contemporâneas. Bainhas 74 cm. Pecíolo 8 cm x 2,7-3,6 cm de alrgura distal. Raque 1,91-1,99m. Folíolos com 126-128 pares, o mediano com 51-61 x 2,5",MBML007604,NA,NA,NA,NA,NA,NA,NA,NA,48W39'32,20S34'12,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.939998626709,-22.2099990844727,"109",2019-05-23 11:07:39-03,UFLA,ESAL,"4660",S,Plantae,Arecaceae,Syagrus,oleracea,Syagrus oleracea,(Mart.) Becc.,NA,NA,NA,NA,Augusto Gabriel,s.n.,NA,NA,NA,Brasil,São Paulo,Marília,Bosque Rangel Pietraróia,-49.939998626709,-22.2099990844727,"38865","6","6","; ; ;; floresta",NA,NA,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.656667,-22.642778,"148",2021-03-15 18:25:12-03,USP,SPF,"201038",PreservedSpecimen,Plantae,Arecaceae,Syagrus,oleracea,Syagrus oleracea,(Mart.) Becc.,"Freitas, HS","2009",NA,NA,"Freitas, HS","206","2008","02","18",Brasil,São Paulo,São José do Barreiro,Fazenda Atibaia. Acesso pelo Km 258 da Rodovia dos Tropeiros (SP 068).,-44.656667,-22.642778,NA,"504","504","Árvore 16m alt., 45cm de perímetro à altura do peito.; Interior da mata.",SPF00201038,NA,NA,NA,NA,NA,NA,NA,NA,"-44.656667","-22.642778",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-50.07418,-20.46994,"158",2019-01-25 15:38:28-02,IAC,IAC,"29523",S,Plantae,Arecaceae,Syagrus,oleracea,Syagrus oleracea,(Mart.) Becc.,L.C. Bernacci et al.,"1994","11","29","L.C. Bernacci; R. Belinelo; P.R.P. Andrade & O. Camargo","788","1994","11","29",Brasil,São Paulo,Votuporanga,Vizinho da Estação Experimental do IAC,-50.07418,-20.46994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-50.07418","-20.46994",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.8397,-22.9567,"159",2019-01-25 15:38:28-02,IAC,IAC,"31050",S,Plantae,Arecaceae,Syagrus,oleracea,Syagrus oleracea,(Mart.) Becc.,L.C. Bernacci,"1995","09","07","L.C. Bernacci; J.L.A. Moreira; O. Camargo & R. Belinelo et al.","2161","1995","09","07",Brasil,São Paulo,Monteiro Lobato,estrada de Panorama ao Rio do PeixeMonteiro Lobato e Ouro VerdeMonteiro Lobato e Ouro Verde,-45.8397,-22.9567,NA,NA,NA,"Unicata doada ao Herbário de SP., como acordo parte do Projeto Flora Fanerogânica do Estado de São Paulo (FAPESP), portanto, fisicamente, o material não faz mais parte do acervo do Herbário IAC.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-45.8397","-22.9567",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.0608,-22.9056,"160",2020-04-07 16:32:10-03,IAC,IAC,"46576",S,Plantae,Arecaceae,Syagrus,oleracea,Syagrus oleracea,(Mart.) Becc.,NA,NA,NA,NA,José Ataliba Mantilli Aboin Gomes,"161","2005","12","15",Brasil,São Paulo,Campinas,NA,-47.0608,-22.9056,NA,NA,NA,REGISTRO 15/12/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-47.0608","-22.9056",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-50.1699981689453,-22.1000003814697,"204",2019-11-21 09:59:33-03,IBt,SP,175558h,Extra,Plantae,Arecaceae,Syagrus,gomesii,Syagrus gomesii,Glassman,"Glassman, SF","1968",NA,NA,"Glassman, SF","8005","1965","07","04",Brasil,São Paulo,Pompéia,"Hacienda Gueivira, Prop. Dr. Mario A. Bastos",-50.1699981689453,-22.1000003814697,"31563",NA,NA,"Tree about 120 ft tall, 15 cm diam. In formation of ca. 3000 palm trees",SP002479,SP002479,auto,NA,NA,NA,Isotype,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-50.1699981689453,-22.1000003814697,"205",2019-11-21 09:59:33-03,IBt,SP,175558j,Extra,Plantae,Arecaceae,Syagrus,gomesii,Syagrus gomesii,Glassman,"Glassman, SF","1968",NA,NA,"Glassman, SF","8005","1965","07","04",Brasil,São Paulo,Pompéia,"Hacienda Gueivira, Prop. Dr. Mario A. Bastos",-50.1699981689453,-22.1000003814697,"31563",NA,NA,"Tree about 120 ft tall, 15 cm diam. In formation of ca. 3000 palm trees",SP002481,SP002481,auto,NA,NA,NA,Isotype,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-50.1699981689453,-22.1000003814697,"206",2019-11-21 09:59:33-03,IBt,SP,175558i,Extra,Plantae,Arecaceae,Syagrus,gomesii,Syagrus gomesii,Glassman,"Glassman, SF","1968",NA,NA,"Glassman, SF","8005","1965","07","04",Brasil,São Paulo,Pompéia,"Hacienda Gueivira, Prop. Dr. Mario A. Bastos",-50.1699981689453,-22.1000003814697,"31563",NA,NA,"Tree about 120 ft tall, 15 cm diam. In formation of ca. 3000 palm trees",SP002480,SP002480,auto,NA,NA,NA,Isotype,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
