X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,typeStatus,recordedBy,recordNumber,year,month,continentOcean,country,locality,preparationType,occurrenceRemarks,barcode,imagecode,day,stateProvince,county,decimalLongitude,decimalLatitude,coordinatePrecision,geoFlag,verbatimLongitude,verbatimLatitude,identifiedBy,yearIdentified,minimumElevationInMeters,maximumElevationInMeters,class,monthIdentified,dayIdentified,relatedCatalogItem,fieldNumber,individualCount,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-47.419444,-20.197222,"140",2019-11-13 11:29:38-03,USP,SPF,"172887",PreservedSpecimen,Plantae,NA,NA,Rhamnaceae,Crumenaria,choretroides,NA,Crumenaria choretroides,Mart. ex Reissek,NA,"Sasaki, D","809","2003","11",NA,Brasil,Parque Estadual das Furnas do Bom Jesus,NA,NA,SPF00172887,NA,"02",São Paulo,Pedregulho,-47.419444,-20.197222,NA,NA,"-47.419444","-20.197222","Sasaki, D","2004","900","900",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.4700012207031,-20.25,"181",2020-11-26 10:01:03-03,IBt,SP,"384613",S,Plantae,NA,NA,Rhamnaceae,Crumenaria,choretroides,NA,Crumenaria choretroides,Mart. ex Reissek,NA,"Sasaki, D","809","2003","11",NA,Brasil,Parque Estadual Furnas do Bom Jesus,NA,NA,NA,NA,"02",São Paulo,Pedregulho,-47.4700012207031,-20.25,"27552",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
