X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,preparationType,occurrenceRemarks,barcode,imagecode,identifiedBy,coordinatePrecision,geoFlag,typeStatus,yearIdentified,monthIdentified,dayIdentified,verbatimLongitude,verbatimLatitude,fieldNumber,individualCount,class,relatedCatalogItem,previousCatalogNumber,sex,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.618358,-23.646109,"3",2021-03-15 16:37:00-03,NY,NYBG,"01023499",PreservedSpecimen,Plantae,Magnoliophyta,Sapindales,Meliaceae,Trichilia,emarginata,Trichilia emarginata,(Turcz.) C.DC.,F. C. Hoehne,"28348","1931","09","28",South America,Brazil,São Paulo,NA,"Jardim Botánico, S. Paulo",-46.618358,-23.646109,NA,NA,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1194304' target='other'> <mi>dwc_moreinfo</mi></a>,NY01023499,NY01023499_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.621883,-23.654505,"8",2021-03-15 16:37:00-03,NY,NYBG,"408361",PreservedSpecimen,Plantae,Magnoliophyta,Sapindales,Meliaceae,Trichilia,emarginata,Trichilia emarginata,(Turcz.) C.DC.,F. C. Hoehne,NA,"1944","12","15",South America,Brazil,São Paulo,Sao Paulo,Parque Estadual de Sao Paulo,-46.621883,-23.654505,NA,NA,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=737231' target='other'> <mi>dwc_moreinfo</mi></a>,NY00408361,NY00408361_01,J. R. Pirani,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.8800010681152,-23.1700000762939,"54",2021-03-01 16:35:40-03,UNICAMP,UEC,"53155",S,Plantae,Magnoliopsida,NA,Meliaceae,Trichilia,emarginata,Trichilia emarginata,(Turcz.) A.DC.,"Silva, AF","1313","1985","10","23",NA,Brazil,São Paulo,São José dos Campos,Flora da Reserva Florestal da Boa Vista.,-45.8800010681152,-23.1700000762939,NA,NA,NA,"Árvore até 20m, casca e lenho amarelo, botões verdes amarelo-esverdeados.; Mata da Estufa.",UEC058358,UEC058358,"Pastore, JA","39297",auto,NA,"1996","08","21",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"55",2021-03-01 16:35:40-03,UNICAMP,UEC,"139558",S,Plantae,Magnoliopsida,NA,Meliaceae,Trichilia,emarginata,Trichilia emarginata,(Turcz.) A.DC.,"Kuhlmann, M","3882","1955","11","08",NA,Brazil,São Paulo,São Paulo,Nativa no Jardim Botânico.,-46.6300010681152,-23.5400009155273,NA,NA,NA,Árvore pequena de mata.,UEC058364,UEC058364,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"56",2020-02-10 17:55:29-03,UNICAMP,UEC,"77561",S,Plantae,Magnoliopsida,NA,Meliaceae,Trichilia,emarginata,Trichilia emarginata,(Turcz.) A.DC.,"Hoehne, W",s.n.,"1944","12","15",NA,Brazil,São Paulo,São Paulo,Paque do estado.,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,UEC058362,UEC058362,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"67",2020-12-21 16:35:30-03,MBM,MBM,"85660",PreservedSpecimen,Plantae,NA,NA,Meliaceae,Trichilia,emarginata,Trichilia emarginata,(Turcz.) C. DC.,"Hoehne, W.",s.n.,NA,NA,NA,Southern America,Brazil,São Paulo,São Paulo,Parque do Estado,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,MBM085660,MBM085660,"Pirani, J.R.","53584",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"68",2020-12-21 16:35:30-03,MBM,MBM,"190304",PreservedSpecimen,Plantae,NA,NA,Meliaceae,Trichilia,emarginata,Trichilia emarginata,(Turcz.) C. DC.,"Hoehne, W.",s.n.,NA,NA,NA,Southern America,Brazil,São Paulo,São Paulo,Parque Estadual,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,MBM190304,MBM190304,"Pirani, J.R.","53584",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.3925,-21.860278,"86",2020-06-22 14:19:04-03,UNESP-IBILCE,SJRP,"27925",PreservedSpecimen,Plantae,Tracheophyta,Sapindales,Meliaceae,Trichilia,emarginata,Trichilia emarginata,(Turcz.) C.DC.,"Destro, M.V.P.",NA,NA,NA,NA,América do Sul,Brasil,São Paulo,São José do Rio Preto,córrego da porteira,-49.3925,-21.860278,NA,NA,NA,"Árvore 4 m, inflorescências amarelas;",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-49.3925","-21.860278",NA,NA,Magnoliopsida,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.661444,-22.638611,"129",2019-11-13 11:26:12-03,USP,SPF,"200297",PreservedSpecimen,Plantae,NA,NA,Meliaceae,Trichilia,emarginata,Trichilia emarginata,(Turcz.) C.DC.,"Freitas, HS","288","2007","08","03",NA,Brasil,São Paulo,São José do Barreiro,NA,-44.661444,-22.638611,"482","482",NA,NA,SPF00200297,NA,"Freitas, HS",NA,NA,NA,"2009",NA,NA,"-44.661444","-22.638611",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"138",2019-11-13 11:26:12-03,USP,SPF,"11390",PreservedSpecimen,Plantae,NA,NA,Meliaceae,Trichilia,emarginata,Trichilia emarginata,(Turcz.) C.DC.,"Hoehne, W",s.n.,"1944","12","15",NA,Brasil,São Paulo,São Paulo,Parque do Estado,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,SPF00011390,NA,"Pirani, JR","53584",auto,NA,"1982","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
