X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,preparationType,occurrenceRemarks,barcode,imagecode,verbatimLongitude,verbatimLatitude,yearIdentified,coordinatePrecision,geoFlag,class,monthIdentified,dayIdentified,relatedCatalogItem,typeStatus,fieldNumber,individualCount,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-48.284722,-22.8,"18",2021-02-08 11:08:59-03,UNESP-IBB,BOTU,"14332",PreservedSpecimen,Plantae,NA,NA,Fabaceae,Tephrosia,brevipes,Tephrosia brevipes,NA,NA,"Bicudo, L.R.H.","948",NA,NA,NA,NA,Brasil,São Paulo,Botucatu,NA,-48.284722,-22.8,NA,NA,NA,Frutos verdes,BOTU014332,NA,48°17'05w,22°48's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.433333,-22.883333,"19",2021-02-08 11:08:59-03,UNESP-IBB,BOTU,"8956",PreservedSpecimen,Plantae,NA,NA,Fabaceae,Tephrosia,sessiliflora,Tephrosia sessiliflora,(Poir.) Hassl.,NA,"Campos, C.J.","14","1978","03","13",NA,Brasil,São Paulo,Botucatu,NA,-48.433333,-22.883333,NA,NA,NA,Flores amarelas,BOTU008956,NA,48°26'w,22°53's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.416667,-22.75,"20",2021-02-08 11:08:59-03,UNESP-IBB,BOTU,"10815",PreservedSpecimen,Plantae,NA,NA,Fabaceae,Tephrosia,sessiliflora,Tephrosia sessiliflora,(Poir.) Hassl.,"Gottsberger, I.S.","Gottsberger, I.S.","18371","1971","03","18",NA,Brasil,São Paulo,Botucatu,"18km north of Botucatu (14 km east of São Manuel). Along the São Manuel- Piracicaba highway. Near ex-RR station, 13 de Maio",-48.416667,-22.75,NA,NA,NA,"Alt. ca 550m . Cerrado vegetation, xeromorphic tree & scrub woodland form, on gentle slope. Flowers yellows.; Coleção: Cerrado Estação 13 de Maio",BOTU010815,NA,48°25'w,22°45's,"1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.416667,-22.75,"21",2021-02-08 11:08:59-03,UNESP-IBB,BOTU,"10816",PreservedSpecimen,Plantae,NA,NA,Fabaceae,Tephrosia,sessiliflora,Tephrosia sessiliflora,(Poir.) Hassl.,"Gottsberger, I.S.","Gottsberger, I.S.","22471","1971","04","22",NA,Brasil,São Paulo,Botucatu,"18km north of Botucatu (14 km east of São Manuel). Along the São Manuel- Piracicaba highway. Near ex-RR station, 13 de Maio",-48.416667,-22.75,NA,NA,NA,"Alt. ca 550m . Cerrado vegetation, xeromorphic tree & scrub woodland form, on gentle slope. Flowers yellows.; Coleção: Cerrado Estação 13 de Maio",BOTU010816,NA,48°25'w,22°45's,"1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.416667,-22.75,"50",2021-03-01 16:31:29-03,UNICAMP,UEC,"163103",S,Plantae,Magnoliopsida,NA,Fabaceae,Tephrosia,sessiliflora,Tephrosia sessiliflora,(Poir.) Hassl.,"Queiroz, RT","Noronha, MRP","64","1980","02","07",NA,Brazil,São Paulo,Botucatu,Fazenda Treze de Maio.,-48.416667,-22.75,"550","550",NA,"Flores amarelas.; Cerrado.",UEC024153,UEC024153,"-48.416667","-22.75","2009",NA,NA,NA,"03","20",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.297222,-22.666667,"51",2020-11-11 16:42:18-03,UNICAMP,UEC,"44787",S,Plantae,Magnoliopsida,NA,Fabaceae,Tephrosia,sessiliflora,Tephrosia sessiliflora,(Poir.) Hassl.,"Queiroz, RT","Hernandes-Bicudo, LR; Campos, CJ; Amaral Jr, A; A","664","1986","03","04",NA,Brazil,São Paulo,Botucatu,À margem da rodovia municipal - estrada,-48.297222,-22.666667,NA,NA,NA,"flor, 50 cm de altura, sépalas verdes, quilha verde, alas amarela esverdeadas, estandarte amarelo esverdeado, sem odor.",UEC017308,UEC017308,"-48.297222","-22.666667","2012",NA,NA,NA,"01","28",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.1699981689453,-21.7900009155273,"53",2019-08-20 10:15:19-03,UNICAMP,UEC,"26255",S,Plantae,Magnoliopsida,NA,Fabaceae,Tephrosia,sessiliflora,Tephrosia sessiliflora,(Poir.) Hassl.,"Queiroz, RT","Leitão Filho, HF; Stubblebine, WH; Semir, J","12466","1981","04","13",NA,Brazil,São Paulo,Araraquara,"Rodovia para Matão, cerrado à margem da",-48.1699981689453,-21.7900009155273,NA,NA,NA,"fruto, Subarbusto até 1.5 m, frutos verdes, denso nufopilosos.",UEC017394,UEC017394,NA,NA,"2012","29178",auto,NA,"01","28",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.1699981689453,-21.7900009155273,"65",2015-09-04 02:27:22-03,MNHN,RECOLNAT_MNHN_P,P02949465,PreservedSpecimen,NA,NA,NA,Fabaceae,Tephrosia,sessiliflora,Tephrosia sessiliflora,(Poir.) Hassl.,Queiroz,Riedel,NA,NA,NA,NA,NA,Brasil,São Paulo,Araraquara,"Brésil. Araraquara, São Paulo, Sudeste, Brasil, América do Sul",-48.1699981689453,-21.7900009155273,NA,NA,hb,. s.d. Recu le 8 Octobre 1892 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02949465' target='other'> <mi>dwc_moreinfo</mi></a>,P02949465,P02949465_01,NA,NA,NA,"29178",auto,NA,NA,NA,NA,NA,"2255",NA,"35",São Paulo,SP,Sudeste
-48.440278,-22.880556,"69",2021-03-24 17:17:20-03,UFMA,MAR,"1745",S,Plantae,NA,NA,Fabaceae,Tephrosia,sessiliflora,Tephrosia sessiliflora,(Poir.) Hassl.,A. Burkart,Ilse S. Gottsberger,"108","1970","03","02",NA,Brasil,São Paulo,Botucatu,NA,-48.440278,-22.880556,NA,NA,NA,"Cerrado vegetation, xeromorphic tree and scrub woodland form, on gentle slope. Flowers yellow",NA,NA,48º26'25W,22º52'50S,"1974",NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.1699981689453,-21.7900009155273,"151",2019-11-01 15:01:12-03,UnB,UB,"129553",PreservedSpecimen,Plantae,Dicotyledoneae,NA,Fabaceae,Tephrosia,brevipes,Tephrosia brevipes,Benth.,NA,Iri,"1257","1965",NA,NA,Southern America,Brasil,São Paulo,Araraquara,Coleão Viva do IRI,-48.1699981689453,-21.7900009155273,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29178",auto,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
