X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,locality,preparationType,occurrenceRemarks,barcode,imagecode,decimalLongitude,decimalLatitude,identifiedBy,county,minimumElevationInMeters,maximumElevationInMeters,yearIdentified,coordinatePrecision,geoFlag,monthIdentified,dayIdentified,verbatimLongitude,verbatimLatitude,class,typeStatus,fieldNumber,individualCount,infraspecificEpithet,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-48.4154566,-23.6331785,"44",2021-03-15 16:37:00-03,NY,NYBG,"761880",PreservedSpecimen,Plantae,Magnoliophyta,Poales,Poaceae,Paspalum,erianthum,Paspalum erianthum,Nees ex Trin.,S. M. de Campos,"113","1959","11","22",South America,Brazil,São Paulo,"Faz. Boa Vista 4-5 km. S.E. da Estaçao Eng° Hermilo, em linha reta",sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=642950' target='other'> <mi>dwc_moreinfo</mi></a>,NY00761880,NY00761880_01,-48.4154566,-23.6331785,J. R. Swallen,Angatuba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.142,-22.242,"45",2021-03-15 16:37:00-03,NY,NYBG,"761881",PreservedSpecimen,Plantae,Magnoliophyta,Poales,Poaceae,Paspalum,erianthum,Paspalum erianthum,Nees ex Trin.,G. Eiten,"1483","1959","12","03",South America,Brazil,São Paulo,"Campos das Sete Lagôas. Fazenda Campininha, just north of Rio Moji-Guaçu. 10 km. N of Padua Sales. (About 27 km. NW of city of Moji-Mirim.)",sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=642951' target='other'> <mi>dwc_moreinfo</mi></a>,NY00761881,NY00761881_01,-47.142,-22.242,J. R. Swallen,Moji-Guaçu,"650","650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.8199996948242,-22.25,"63",2021-03-30 12:54:03-03,EAO,IAN,"69126",PreservedSpecimen,Plantae,Monocotiledônea,NA,Poaceae,Paspalum,erianthum,Paspalum erianthum,Nees ex Trin.,"Black, GA","11290","1951","01","24",Southern America,Brasil,São Paulo,Campos de Itirapina.,NA,NA,IAN069126,NA,-47.8199996948242,-22.25,NA,Itirapina,NA,NA,NA,"22843",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.8199996948242,-22.25,"64",2021-03-30 12:54:03-03,EAO,IAN,"69114",PreservedSpecimen,Plantae,Monocotiledônea,NA,Poaceae,Paspalum,erianthum,Paspalum erianthum,Nees ex Trin.,"Black, GA","11278","1951","01","23",Southern America,Brasil,São Paulo,Campos de Itirapina.,NA,Na sombra da mata.,IAN069114,NA,-47.8199996948242,-22.25,NA,Itirapina,NA,NA,NA,"22843",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.8199996948242,-22.25,"65",2021-03-30 12:54:03-03,EAO,IAN,"69106",PreservedSpecimen,Plantae,Monocotiledônea,NA,Poaceae,Paspalum,erianthum,Paspalum erianthum,Nees ex Trin.,"Black, GA","11270","1951","01","23",Southern America,Brasil,São Paulo,Campos de Itirapina.,NA,NA,IAN069106,NA,-47.8199996948242,-22.25,NA,Itirapina,NA,NA,NA,"22843",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.8199996948242,-22.25,"66",2021-03-30 12:54:03-03,EAO,IAN,"68999",PreservedSpecimen,Plantae,Monocotiledônea,NA,Poaceae,Paspalum,erianthum,Paspalum erianthum,Nees ex Trin.,"Black, GA","11157","1951","01","21",Southern America,Brasil,São Paulo,"Itirapina; Campo Alegre.",NA,NA,IAN068999,NA,-47.8199996948242,-22.25,NA,Itirapina,NA,NA,NA,"22843",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.8800010681152,-23.1700000762939,"67",2021-03-30 12:54:03-03,EAO,IAN,"62691",PreservedSpecimen,Plantae,Monocotiledônea,NA,Poaceae,Paspalum,erianthum,Paspalum erianthum,Nees ex Trin.,"Löfgren, A","222","1909","11","06",Southern America,Brasil,São Paulo,NA,NA,NA,IAN062691,NA,-45.8800010681152,-23.1700000762939,NA,São José dos Campos,NA,NA,NA,"39297",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"68",2021-03-30 12:54:03-03,EAO,IAN,"66002",PreservedSpecimen,Plantae,Monocotiledônea,NA,Poaceae,Paspalum,erianthum,Paspalum erianthum,Nees ex Trin.,"Brade, AC","12234","1932","12",NA,Southern America,Brasil,São Paulo,Vila Emma.,NA,NA,IAN066002,NA,-46.6300010681152,-23.5400009155273,NA,São Paulo,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.703308,-23.34915,"78",2019-12-12 15:31:49-03,UFABC,HUFABC,"001884",PreservedSpecimen,Plantae,Angiospermas,NA,Poaceae,Paspalum,erianthum,Paspalum erianthum,Nees ex Trin.,Keller V.C.,"5","2016","11","04",NA,Brasil,São Paulo,"Parque Estadual do Juquery, Esrada para o Ovo da Pata, próximo à torre de energia",NA,Erva,HUFABC001884,NA,-46.703308,-23.34915,R. Rodrigues,Franco da Rocha,NA,NA,"2018",NA,NA,"06","28","-46.703308","-23.34915",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.3400001525879,-24.1100006103516,"97",2020-11-04 12:18:51-03,ESALQ,ESA,"12219",PreservedSpecimen,Plantae,Magnoliophyta,NA,Poaceae,Paspalum,erianthum,Paspalum erianthum,Nees ex Trin.,"Souza, V.C. et al.","4528.0","1993","10","30",NA,Brasil,São Paulo,NA,NA,NA,ESA012219,ESA012219,-49.3400001525879,-24.1100006103516,"Valls, J.F.M.",Itararé,NA,NA,NA,"27729",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
