X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,occurrenceRemarks,barcode,imagecode,phylum,order,recordNumber,continentOcean,preparationType,coordinatePrecision,geoFlag,class,minimumElevationInMeters,maximumElevationInMeters,fieldNumber,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-47.108333,-24.428333,"17",2021-03-04 15:42:04-03,IF,SPSF,"40073",PreservedSpecimen,Plantae,Orchidaceae,Catasetum,atratum,Catasetum atratum,Lindl.,C. de Moura,"2008","03","06",C.de Moura & T.T.Moraes & M.Ribeiro & M.M.Santos,"2008","03","06",Brasil,SP,Iguape,Estação Ecológica Juréia-Itatins,-47.108333,-24.428333,NA,NA,"COLETA: Epífita a 4m de altura, em Rizophora mangle, flores esverdeadas com leve perfume.; GEOGRAFIA: rio Uma do Prelado, manguezal;",NA,NA,Magnoliophyta,Orchidales,"180",América do Sul,NA,NA,NA,Liliopsida,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.1599998474121,-23.0300006866455,"37",2019-11-21 10:12:58-03,IBt,SP,"35112",S,Plantae,Orchidaceae,Catasetum,atratum,Catasetum atratum,Lindl.,NA,NA,NA,NA,"Hoehne, FC","1935","12","27",Brasil,São Paulo,Cerqueira César,Cultivada,-49.1599998474121,-23.0300006866455,NA,NA,NA,NA,NA,NA,NA,s.n.,NA,NA,"25405",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.8699989318848,-23.9799995422363,"38",2019-11-21 10:12:58-03,IBt,SP,"35707",S,Plantae,Orchidaceae,Catasetum,atratum,Catasetum atratum,Lindl.,NA,NA,NA,NA,"Dutra, J","1929","12",NA,Brasil,São Paulo,Itapeva,São Leopoldo,-48.8699989318848,-23.9799995422363,NA,NA,NA,NA,NA,NA,NA,"1043",NA,NA,"42926",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.9900016784668,-24.3199996948242,"39",2019-11-21 10:12:58-03,IBt,SP,"118417",S,Plantae,Orchidaceae,Catasetum,atratum,Catasetum atratum,Lindl.,"Bicalho, HD","1973","05","02","Brolio, P",NA,NA,NA,Brasil,São Paulo,Peruíbe,"Cult. no Jardim Botânico de São Paulo, fl. 20/XII/1965",-46.9900016784668,-24.3199996948242,NA,NA,NA,NA,NA,NA,NA,s.n.,NA,NA,"21922",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.9900016784668,-24.3199996948242,"40",2019-11-21 10:12:58-03,IBt,SP,"109785",S,Plantae,Orchidaceae,Catasetum,atratum,Catasetum atratum,Lindl.,"Bicalho, HD","1970","03","17","Brolio, P",NA,NA,NA,Brasil,São Paulo,Peruíbe,"Matas do Clube Guaraú. Cult. em São Paulo, fl. 27/I/1965",-46.9900016784668,-24.3199996948242,NA,NA,NA,NA,NA,NA,NA,s.n.,NA,NA,"21922",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.8800010681152,-21.5900001525879,"41",2019-11-21 10:12:58-03,IBt,SP,"27149",S,Plantae,Orchidaceae,Catasetum,atratum,Catasetum atratum,Lindl.,"Gehrt, A",NA,NA,NA,"Loefgren, A","1897","03",NA,Brasil,São Paulo,São José do Rio Pardo,Em cultivo,-46.8800010681152,-21.5900001525879,NA,NA,NA,SP029872,SP029872,NA,NA,CGG3682,NA,NA,"15885",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"42",2019-11-21 10:12:58-03,IBt,SP,"35113",S,Plantae,Orchidaceae,Catasetum,atratum,Catasetum atratum,Lindl.,NA,NA,NA,NA,"Hoehne, FC","1936","01","09",Brasil,São Paulo,São Paulo,NA,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,NA,NA,s.n.,NA,NA,"53584",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"43",2019-11-21 10:12:58-03,IBt,SP,"109784",S,Plantae,Orchidaceae,Catasetum,atratum,Catasetum atratum,Lindl.,"Bicalho, HD",NA,NA,NA,s.col.,"1965","01","21",Brasil,São Paulo,São Paulo,NA,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,NA,NA,s.n.,NA,NA,"53584",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"44",2019-11-21 10:12:58-03,IBt,SP,"1183",S,Plantae,Orchidaceae,Catasetum,atratum,Catasetum atratum,Lindl.,"Hoehne, FC",NA,NA,NA,"Gehrt, A","1922","01","17",Brasil,São Paulo,São Paulo,Butantã,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,NA,NA,s.n.,NA,NA,"53584",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"45",2019-11-21 10:12:58-03,IBt,SP,"1323",S,Plantae,Orchidaceae,Catasetum,atratum,Catasetum atratum,Lindl.,"Hoehne, FC",NA,NA,NA,"Hoehne, FC","1918","01","15",Brasil,São Paulo,São Paulo,Butantã,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,NA,NA,s.n.,NA,NA,"53584",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
