X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,recordNumber,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,coordinatePrecision,occurrenceRemarks,barcode,geoFlag,phylum,year,month,day,imagecode,typeStatus,continentOcean,order,minimumElevationInMeters,maximumElevationInMeters,preparationType,individualCount,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-47.2900009155273,-22.7700004577637,"3",2020-11-04 12:17:55-03,ESALQ,ESA,"102277",PreservedSpecimen,Plantae,Passifloraceae,Passiflora,hatschbachii,Passiflora hatschbachii,NA,"Lorenzi, H.","2005","09","08","Lorenzi, H.","5637.0",Brasil,São Paulo,Nova Odessa,NA,-47.2900009155273,-22.7700004577637,NA,NA,"8440",NA,ESA102277,auto,Magnoliophyta,"2005","09","08",ESA102277,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.29,-22.77,"4",2015-07-02 14:03:38-03,JBP,HPL,"6158",S,Plantae,Passifloraceae,Passiflora,hatschbachii,Passiflora hatschbachii,A.C. Cervi,H. Lorenzi,"2005","09","08",H. Lorenzi,"5637",Brasil,SP,Nova Odessa,"Coletado no Instituto Plantarum, cultivada na coleção de Passiflóras.",-47.29,-22.77,NA,NA,"8440",NA,NA,auto,NA,"2005","09","08",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.29,-22.77,"5",2015-07-02 14:03:38-03,JBP,HPL,"8341",S,Plantae,Passifloraceae,Passiflora,hatschbachii,Passiflora hatschbachii,NA,R. Tsuji,"2007","04","24",R. Tsuji,"1943",Brasil,SP,Nova Odessa,Coletado e cultivado no Instituto Plantarum.,-47.29,-22.77,NA,NA,"8440",NA,NA,auto,NA,"2005","09","29",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.183333,-23.516667,"10",2019-12-06 19:30:05-03,UFES,VIES,"34982",S,Plantae,Passifloraceae,Passiflora,hatschbachii,Passiflora hatschbachii,Cervi,NA,NA,NA,NA,D.A.T. Ferreira,"27",Brasil,São Paulo,Mogi das Cruzes,NA,-46.183333,-23.516667,46º11'W,23º31'0''S,NA,NA,VIES034982,NA,NA,"2015","05",NA,VIES034982,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.2958,-22.7775,"24",2020-04-07 16:32:30-03,IAC,IAC,"45843",S,Plantae,Passifloraceae-3.Passifloroideae,Passiflora,hatschbachii,Passiflora hatschbachii,Cervi,L.C. Bernacci,"2005","03","18",L.C. Bernacci,"3936",Brasil,São Paulo,Nova Odessa,transplantada para o Instituto Plantarum,-47.2958,-22.7775,"-47.2958","-22.7775",NA,"Procedente de Leopoldina-MG e em cultivo no Instituto Plantarum (Nova Odessa - SP), Parcela 5.03",NA,NA,NA,"2005","03","18",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.2958,-22.7775,"25",2020-04-07 16:32:30-03,IAC,IAC,"46743",S,Plantae,Passifloraceae-3.Passifloroideae,Passiflora,hatschbachii,Passiflora hatschbachii,Cervi,L.C. Bernacci,"2005","10","03",L.C. Bernacci,"4051",Brasil,São Paulo,Nova Odessa,"cultivada, a partir de estaca, no Instituto Plantarum (Nova Odessa, SP)",-47.2958,-22.7775,"-47.2958","-22.7775",NA,Parcela 5.03,NA,NA,NA,"2005","10","03",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.2958,-22.7775,"26",2020-04-07 16:32:30-03,IAC,IAC,"46753",S,Plantae,Passifloraceae-3.Passifloroideae,Passiflora,hatschbachii,Passiflora hatschbachii,Cervi,L.C. Bernacci,"2005","11","22",L.C. Bernacci,"4061",Brasil,São Paulo,Nova Odessa,"cultivada, a partir de estaca, no Instituto Plantarum (Nova Odessa, SP)",-47.2958,-22.7775,"-47.2958","-22.7775",NA,Parcela 5.03,NA,NA,NA,"2005","11","22",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.2958,-22.7775,"27",2020-04-07 16:32:30-03,IAC,IAC,"47541",S,Plantae,Passifloraceae-3.Passifloroideae,Passiflora,hatschbachii,Passiflora hatschbachii,Cervi,L.C. Bernacci,"2006","08","30",L.C. Bernacci,"4296",Brasil,São Paulo,Nova Odessa,transplantada para o Instituto Plantarum,-47.2958,-22.7775,"-47.2958","-22.7775",NA,"Procedente de Leopoldina-MG e em cultivo no Instituto Plantarum (Nova Odessa - SP), Parcela 5.03",NA,NA,NA,"2006","08","30",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.2958,-22.7775,"28",2020-04-07 16:32:30-03,IAC,IAC,"49428",S,Plantae,Passifloraceae-3.Passifloroideae,Passiflora,hatschbachii,Passiflora hatschbachii,Cervi,L.C. Bernacci,"2007","08","30",L.C. Bernacci,"4416",Brasil,São Paulo,Nova Odessa,"trasplantada, a partir de estaquia, no Instituto Plantarum (Nova Odessa, SP)",-47.2958,-22.7775,"-47.2958","-22.7775",NA,"Procedente de Leopoldina-MG e em cultivo no Instituto Plantarum (Nova Odessa - SP), Parcela 5.03",NA,NA,NA,"2007","08","30",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.2958,-22.7775,"29",2020-04-07 16:32:30-03,IAC,IAC,"49429",S,Plantae,Passifloraceae-3.Passifloroideae,Passiflora,hatschbachii,Passiflora hatschbachii,Cervi,L.C. Bernacci,"2007","03","30",L.C. Bernacci,"4409",Brasil,São Paulo,Nova Odessa,"cultivada, a partir de estaca, no Instituto Plantarum (Nova Odessa, SP)",-47.2958,-22.7775,"-47.2958","-22.7775",NA,Procedente de Leopoldina-MG. Parcela 5.03,NA,NA,NA,"2007","03","30",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
