X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,identifiedBy,recordedBy,recordNumber,continentOcean,country,stateProvince,locality,preparationType,occurrenceRemarks,barcode,scientificNameAuthorship,year,month,day,county,decimalLongitude,decimalLatitude,imagecode,class,coordinatePrecision,geoFlag,yearIdentified,monthIdentified,dayIdentified,verbatimLongitude,verbatimLatitude,fieldNumber,individualCount,relatedCatalogItem,minimumElevationInMeters,maximumElevationInMeters,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.6300010681152,-23.5400009155273,"44",2019-11-21 10:02:30-03,IBt,SP,"397591",S,Plantae,NA,NA,Bromeliaceae,Alcantarea,imperialis,Alcantarea imperialis,"Versieux, LM","Versieux, LM","450",NA,Brasil,São Paulo,"Jardim Botânico, Cultivada na Seção de Plantas Ornamentais, sem procedência exata.",NA,NA,NA,(Carrière) Harms,"2007","11","27",São Paulo,-46.6300010681152,-23.5400009155273,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"45",2019-11-21 10:02:30-03,IBt,SP,"382097",S,Plantae,NA,NA,Bromeliaceae,Alcantarea,imperialis,Alcantarea imperialis,"Versieux, LM","Versieux, LM","266",NA,Brasil,São Paulo,"Jardim Botânico, Cultivada no Jardim Botânico.&nf;Procedência atribuída à uma coleta de Terezópolis - RJ (sem confirmação).",NA,NA,SP050765,(Carrière) Harms,"2006","01","10",São Paulo,-46.6300010681152,-23.5400009155273,SP050765,NA,"53584",auto,"2006","01",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"46",2019-11-21 10:02:30-03,IBt,SP,"382063",S,Plantae,NA,NA,Bromeliaceae,Alcantarea,imperialis,Alcantarea imperialis,"Versieux, LM","Versieux, LM","214",NA,Brasil,São Paulo,"Jardim Botânico, Cultivada no Jardim Botânico.&nf;Procedência atribuída à uma coleta em Juiz de Fora-MG (sem confirmação).",NA,NA,SP050766,(Carrière) Harms,"2005","10","31",São Paulo,-46.6300010681152,-23.5400009155273,SP050766,NA,"53584",auto,"2005","11",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"47",2019-11-21 10:02:30-03,IBt,SP,382063a,Extra,Plantae,NA,NA,Bromeliaceae,Alcantarea,imperialis,Alcantarea imperialis,"Versieux, LM","Versieux, LM","214",NA,Brasil,São Paulo,"Jardim Botânico, Cultivada no Jardim Botânico.&nf;Procedência atribuída à uma coleta em Juiz de Fora-MG (sem confirmação).",NA,NA,SP050767,(Carrière) Harms,"2005","10","31",São Paulo,-46.6300010681152,-23.5400009155273,SP050767,NA,"53584",auto,"2005","11",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
