X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,recordedBy,recordNumber,continentOcean,country,stateProvince,preparationType,occurrenceRemarks,barcode,imagecode,identifiedBy,year,month,day,county,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,yearIdentified,locality,coordinatePrecision,geoFlag,class,relatedCatalogItem,monthIdentified,dayIdentified,minimumElevationInMeters,maximumElevationInMeters,fieldNumber,typeStatus,individualCount,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-45.25,-23.416667,"2",2021-02-18 09:29:44-03,UNESP-IBB,BOTU,"24435",PreservedSpecimen,Plantae,NA,NA,Fabaceae,Inga,lanceifolia,Inga lanceifolia,Benth.,"Pilla, M.A.C.","108",NA,Brasil,São Paulo,NA,"Arbórea, flores em capítulo, brancas",BOTU024435,NA,"Tamashiro, J.Y.","2005","03","14",Natividade da Serra,-45.25,-23.416667,45°15'w,23°25's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.138599395752,-23.8544006347656,"9",2020-11-04 11:09:34-03,ESALQ,ESA,"69131",PreservedSpecimen,Plantae,Magnoliophyta,NA,Fabaceae,Inga,lanceifolia,Inga lanceifolia,Benth.,"Sampaio, P.S.P. ; Martins, S.E.","426.0",NA,Brasil,São Paulo,NA,NA,ESA069131,ESA069131,NA,"2000","02","03",Bertioga,-46.138599395752,-23.8544006347656,NA,NA,"2002",NA,"37616",auto,NA,NA,"05","10",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.194444,-23.435278,"18",2021-03-01 16:30:41-03,UNICAMP,UEC,"179033",S,Plantae,Magnoliopsida,NA,Fabaceae,Inga,lanceifolia,Inga lanceifolia,Benth.,"Silva, ED","1172",NA,Brazil,São Paulo,NA,"Árvore 8 m, frutos imaturos.; Flores Ombrófila Densa Montana",UEC023328,UEC023328,NA,"2008","09","07",Ubatuba,-45.194444,-23.435278,"-45.194444","-23.435278",NA,"Núcleo Santa Virgínia, P.E.S.M., Vargem Grande",NA,NA,NA,NA,NA,NA,"1123","1123",NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.183333,-23.4,"19",2021-03-01 16:30:41-03,UNICAMP,UEC,"200478",S,Plantae,Magnoliopsida,NA,Fabaceae,Inga,lanceifolia,Inga lanceifolia,Benth.,"Pereira, LS; Belinello, R; Gomes, JAMA",N913,NA,Brazil,São Paulo,NA,"Parcela N - Projeto Biota-FAPESP. Árvore com 8 metros de altura. Frequência da espécie na parcela: n=3; Mata Atlântica",UEC158029,UEC158029,NA,"2007","12",NA,São Luiz do Paraitinga,-45.183333,-23.4,"-45.183333","-23.4","2008",Parque Estadual da Serra do Mar,NA,NA,NA,NA,NA,NA,"990","1045",NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.183333,-23.4,"20",2021-03-01 16:30:41-03,UNICAMP,UEC,"200152",S,Plantae,Magnoliopsida,NA,Fabaceae,Inga,lanceifolia,Inga lanceifolia,Benth.,"Padgurschi, MCG; Belinello, R",M373,NA,Brazil,São Paulo,NA,Parcela M - Projeto Biota-FAPESP. Árvore com 8 metros de altura. Frequência da espécie na parcela: n=65,UEC177660,UEC177660,NA,"2009",NA,NA,São Luiz do Paraitinga,-45.183333,-23.4,"-45.183333","-23.4",NA,Parque Estadual da Serra do Mar,NA,NA,NA,NA,NA,NA,"990","1045",NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.153056,-23.343333,"21",2021-03-01 16:30:41-03,UNICAMP,UEC,"179035",S,Plantae,Magnoliopsida,NA,Fabaceae,Inga,lanceifolia,Inga lanceifolia,Benth.,"Silva, ED","614",NA,Brazil,São Paulo,NA,"Árvore 11 m, frutos maduros e imaturos.; Floresta Ombrófila Densa Montana",UEC023330,UEC023330,NA,"2006","12","19",Ubatuba,-45.153056,-23.343333,"-45.153056","-23.343333",NA,"Núcleo Santa Virgínia, P.E.S.M., Cac. Salto Grande",NA,NA,NA,NA,NA,NA,"122","122",NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.945278,-23.330333,"22",2021-03-01 16:30:41-03,UNICAMP,UEC,"160317",S,Plantae,Magnoliopsida,NA,Fabaceae,Inga,lanceifolia,Inga lanceifolia,Benth.,"Marchiori, NM; Toledo, W; Munhoz, I; Cano, GB; Santos, FC","419",NA,Brazil,São Paulo,NA,"Material fertil. Cerca de 14m de altura e 19 individuos distribuídos em ilha.; Floresta Ombrófila Densa Montana.",UEC039544,UEC039544,"Marchiori, NM","2011","07","15",São Luiz do Paraitinga,-45.945278,-23.330333,"-45.945278","-23.330333","2011",Parque Estadual.,NA,NA,NA,NA,"05",NA,"999","999",NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.945278,-23.330333,"23",2021-03-01 16:30:41-03,UNICAMP,UEC,"160316",S,Plantae,Magnoliopsida,NA,Fabaceae,Inga,lanceifolia,Inga lanceifolia,Benth.,"Marchiori, NM; Toledo, W; Munhoz, I; Cano, GB; Santos, FC","288",NA,Brazil,São Paulo,NA,"Material vegetativo. Cerca de 11m de altura e 19 individuos distribuídos em ilha.; Floresta Ombrófila Densa Montana.",UEC039543,UEC039543,"Marchiori, NM","2011","01","25",São Luiz do Paraitinga,-45.945278,-23.330333,"-45.945278","-23.330333","2011",Parque Estadual.,NA,NA,NA,NA,"05",NA,"999","999",NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.068333,-23.325556,"24",2021-03-01 16:30:41-03,UNICAMP,UEC,"186036",S,Plantae,Magnoliopsida,NA,Fabaceae,Inga,lanceifolia,Inga lanceifolia,Benth.,"Padgurschi, MCG; Tamashiro, JY; Belinello, R","1686",NA,Brazil,São Paulo,NA,"Árvore, ca. 10.5m, material vegetativoo. Projeto Biota Gradiente Funcional: Parcela K, indivíduo K1840; Floresta Ombrófila Densa Montana",UEC109359,UEC109359,"Silva, E","2008",NA,NA,São Luiz do Paraitinga,-45.068333,-23.325556,"-45.068333","-23.325556","2009",PESM - Núcleo Santa Virgínia - Parcela K,NA,NA,NA,NA,NA,NA,"1068","1093",NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.067778,-23.325556,"25",2021-03-01 16:30:41-03,UNICAMP,UEC,"186035",S,Plantae,Magnoliopsida,NA,Fabaceae,Inga,lanceifolia,Inga lanceifolia,Benth.,"Padgurschi, MCG; Tamashiro, JY; Belinello, R","1722",NA,Brazil,São Paulo,NA,"Árvore, ca. 6.5m, material vegetativoo. Projeto Biota Gradiente Funcional: Parcela K, indivíduo K1879; Floresta Ombrófila Densa Montana",UEC109358,UEC109358,"Silva, E","2008",NA,NA,São Luiz do Paraitinga,-45.067778,-23.325556,"-45.067778","-23.325556","2009",PESM - Núcleo Santa Virgínia - Parcela K,NA,NA,NA,NA,NA,NA,"1069","1093",NA,NA,NA,"35",São Paulo,SP,Sudeste
