X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,recordNumber,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,occurrenceRemarks,barcode,imagecode,typeStatus,continentOcean,preparationType,previousCatalogNumber,phylum,order,infraspecificEpithet,coordinatePrecision,geoFlag,class,relatedCatalogItem,individualCount,fieldNumber,sex,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-47.7597,-21.0103,"38",2021-03-15 16:37:00-03,NY,NYBG,"1017287",PreservedSpecimen,Plantae,Myrtaceae,Eugenia,florida,Eugenia florida,DC.,N. W. Snow,NA,NA,NA,M. Kuhlmann,"1590","1947","11","19",Brazil,São Paulo,Jardinópolis,Margem do Rio Pardo.,-47.7597,-21.0103,NA,NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1204142' target='other'> <mi>dwc_moreinfo</mi></a>,NY01017287,NY01017287_01,NA,South America,sheet,NA,Magnoliophyta,Myrtales,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.65,-22.5203,"70",2021-03-15 16:37:00-03,NY,NYBG,"1184023",PreservedSpecimen,Plantae,Myrtaceae,Eugenia,florida,Eugenia florida,DC.,N. W. Snow,NA,NA,NA,G. F. Arbocz,"750","1994","09","03",Brazil,São Paulo,Lindóia,Estrada do ferro velho.,-46.65,-22.5203,NA,NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1459907' target='other'> <mi>dwc_moreinfo</mi></a>,NY01184023,NY01184023_01,NA,South America,sheet,NA,Magnoliophyta,Myrtales,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.65,-22.5203,"84",2021-03-15 16:37:00-03,NY,NYBG,"1017281",PreservedSpecimen,Plantae,Myrtaceae,Eugenia,florida,Eugenia florida,DC.,N. W. Snow,NA,NA,NA,G. F. Arbocz,"750","1994","09","03",Brazil,São Paulo,Lindóia,Estrada do ferro velho.,-46.65,-22.5203,NA,NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1204131' target='other'> <mi>dwc_moreinfo</mi></a>,NY01017281,NY01017281_01,NA,South America,sheet,NA,Magnoliophyta,Myrtales,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.6397,-20.6203,"98",2021-03-15 16:37:00-03,NY,NYBG,"1017280",PreservedSpecimen,Plantae,Myrtaceae,Eugenia,florida,Eugenia florida,DC.,N. W. Snow,NA,NA,NA,A. Gehrt,s.n.,"1941","08","23",Brazil,São Paulo,Tanabi,Vila Monteiro.,-49.6397,-20.6203,NA,NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1204129' target='other'> <mi>dwc_moreinfo</mi></a>,NY01017280,NY01017280_01,NA,South America,sheet,NA,Magnoliophyta,Myrtales,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48,-24.6903,"116",2021-03-15 16:37:00-03,NY,NYBG,"1017288",PreservedSpecimen,Plantae,Myrtaceae,Eugenia,florida,Eugenia florida,DC.,NA,NA,NA,NA,F. C. Hoehne,s.n.,"1929","09","18",Brazil,São Paulo,Jacupiranga,NA,-48,-24.6903,NA,NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1204144' target='other'> <mi>dwc_moreinfo</mi></a>,NY01017288,NY01017288_01,NA,South America,sheet,NA,Magnoliophyta,Myrtales,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.5044,-24.7567,"133",2021-03-15 16:37:00-03,NY,NYBG,"1017277",PreservedSpecimen,Plantae,Myrtaceae,Eugenia,florida,Eugenia florida,DC.,N. W. Snow,NA,NA,NA,J. M. Silva,"2824","1999","01","14",Brazil,São Paulo,Barra do Turvo,Rio das Cobras.,-48.5044,-24.7567,NA,NA,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1204119' target='other'> <mi>dwc_moreinfo</mi></a>,NY01017277,NY01017277_01,NA,South America,sheet,NA,Magnoliophyta,Myrtales,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.492222,-22.881111,"193",2021-02-08 11:09:35-03,UNESP-IBB,BOTU,"27720",PreservedSpecimen,Plantae,Myrtaceae,Eugenia,florida,Eugenia florida,DC.,"Proença, C.","2010",NA,NA,"Magalhães, J.H.R.","96","2010","10","05",Brasil,São Paulo,Botucatu,Distrito de Rubião Júnior,-48.492222,-22.881111,48°29'32w,22°52'52s,NA,NA,"Árvore 7,5m., ramos com pintas pretas, fruto verde com corola persistente, domá cias ao longo da nervura principal, na face abaxial",BOTU027720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.016667,-22.333333,"199",2021-02-08 11:09:35-03,UNESP-IBB,BOTU,"25413",PreservedSpecimen,Plantae,Myrtaceae,Eugenia,florida,Eugenia florida,DC.,"Capelo, F.F.M.","2006","02","23","Carboni, M.","319","2006","02","09",Brasil,São Paulo,Bauru,Reserva Legal do Campus da UNESP,-49.016667,-22.333333,49°01'w,22°20's,NA,NA,Mata de brejo. 11m de altura.,BOTU025413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.955833,-22.958611,"207",2020-06-29 11:31:36-03,UFRJ,RFA,"43912",PreservedSpecimen,Plantae,Myrtaceae,Eugenia,florida,Eugenia florida,DC.,NA,NA,NA,NA,A.C. Siani,NA,"2013","05","05",Brasil,São Paulo,Valinhos,"Chácara Alpinas, Rua %, quadra A, lote 5, perto do poço/cerca",-46.955833,-22.958611,46º57'21''W,22º57'31''S,"859","859","Árvore ca. 5,5 m de altura; DAP: 12 cm; Folhas discolores, verde escuro entre 5 - 8 cm comprimento x largura 3 - 5 cm. Flores brancas",RFA56885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.383333,-22.9,"413",2020-02-08 10:06:14-03,NBC,NL-BOTANY,U.1443131,PreservedSpecimen,Plantae,Myrtaceae,Eugenia,gardneriana,Eugenia gardneriana,O.Berg,Gottsberger IS,NA,NA,NA,"Gottsberger IS; Campos CJ",NA,"1972","10","06",Brazil,São Paulo,NA,NA,-48.383333,-22.9,"-48.383333","-22.9",NA,NA,<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1443131 target=other class=eLink> <mi>dwc_moreinfo</mi></a>,NL-U1443131,NL-U1443131,NA,Southern America,NA,NA,NA,Myrtales,NA,NA,NA,Magnoliopsidae,U 0100564,NA,NA,NA,"35",São Paulo,SP,Sudeste
