X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,coordinatePrecision,occurrenceRemarks,barcode,geoFlag,minimumElevationInMeters,maximumElevationInMeters,order,verbatimLongitude,verbatimLatitude,imagecode,yearIdentified,monthIdentified,continentOcean,class,individualCount,typeStatus,dayIdentified,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.6300010681152,-23.5400009155273,"1",2020-11-04 11:14:43-03,ESALQ,ESA,"75274",PreservedSpecimen,Plantae,Magnoliophyta,Myrtaceae,Myrceugenia,hoehnei,Myrceugenia hoehnei,(Burret) D.Legrand et Kausel,"Mazine, F.F. & Souza, V.C.","Meireles, L.D.; Gonçalves, A.P.S.; Soares Jr., F.J.; Meneghetti, G.I.P.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Souza, J.P.; Ivanauskas, N.M.; Furlan, E.","91.0","2001","04","11",Brasil,São Paulo,São Paulo,"Parque Estadual da Serra do Mar, Núcleo Curucutu. Trilha do Campo. 23o59'S, 46o44'W. Ca. 800 m.s.m. Floresta ribeirinha altomontana com campo adjacente.",-46.6300010681152,-23.5400009155273,"53584","Arbusto, 1,5m alt. Flores verdes.",ESA075274,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"2",2020-11-04 11:14:43-03,ESALQ,ESA,"75149",PreservedSpecimen,Plantae,Magnoliophyta,Myrtaceae,Myrceugenia,hoehnei,Myrceugenia hoehnei,(Burret) D.Legrand et Kausel,"Mazine, F.F. & Souza, V.C.","Souza, F.M.; Duarte, A.R.; Sampaio, D.; Bernhardt, R.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Souza, J.P.; Ivanauskas, N.M.; Furlan, E.","100.0","2001","04","12",Brasil,São Paulo,São Paulo,"Parque Estadual da Serra do Mar, Núcleo Curucutu. Trilha do Rio Branco. 23o59'S, 46o42'W. Ca. 700-800m.s.m. Floresta Altomontana sobre o divisor de água. Transição Floresta Altomontana-Floresta de encosta com campos adjacentes.",-46.6300010681152,-23.5400009155273,"53584",Arbusto.,ESA075149,auto,"700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.7,-23.983333,"4",2021-03-01 16:36:28-03,UNICAMP,UEC,"121469",S,Plantae,Magnoliopsida,Myrtaceae,Myrceugenia,hoehnei,Myrceugenia hoehnei,(Burret) Legrand,"Mazine, FF; Souza, VC","Souza, FM; Duarte, AR; Sampaio, D; Bernhardt, R; Rodrigues, RR; Souza, VC; et al.","100","2001","04","12",Brazil,São Paulo,São Paulo,"Parque Estadual da Serra do Mar, Núcleo Curucutu. trilha do Rio Branco.",-46.7,-23.983333,NA,"Arbusto.; Floresta Altomontana-Floresta de encosta com campos adjacentes.",UEC023599,NA,"700","800",NA,"-46.7","-23.983333",UEC023599,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.733333,-23.983333,"5",2021-03-01 16:36:28-03,UNICAMP,UEC,"121526",S,Plantae,Magnoliopsida,Myrtaceae,Myrceugenia,hoehnei,Myrceugenia hoehnei,(Burret) Legrand,"Meireles, LD","Souza, FM; Duarte, AR; Sampaio, D; Bernhardt, R; Rodrigues, RR; et al.","53","2001","05","11",Brazil,São Paulo,São Paulo,"Parque Estadual da Serra do Mar, Núcleo Curucutu. trilha do Campo.",-46.733333,-23.983333,NA,"Botões amarelos.; Floresta ribeirinha altamontana com campo adjacente.",UEC023600,NA,"800","800",NA,"-46.733333","-23.983333",UEC023600,"2013",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"12",2020-12-21 16:36:59-03,MBM,MBM,"269225",PreservedSpecimen,Plantae,NA,Myrtaceae,Myrceugenia,hoehnei,Myrceugenia hoehnei,(Burr.) D.Legrand & Kausel,"Mazine, F.F.","Souza, F.M.; et al.; et al.","100","2001","04","12",Brazil,São Paulo,São Paulo,Parque Estadual da Serra do Mar,-46.6300010681152,-23.5400009155273,"53584",NA,MBM269225,auto,NA,NA,NA,NA,NA,MBM269225,NA,NA,Southern America,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.5299987792969,-23.6599998474121,"18",2020-09-12 05:00:02-03,US,US,"2580141",PreservedSpecimen,Plantae,NA,Myrtaceae,Myrceugenia,hoehnei,Myrceugenia hoehnei,(Burret) D. Legrand & Kausel,NA,J. R. de Mattos,"11461","1964","3","5",Brazil,São Paulo,Santo André,Estação Biológica,-46.5299987792969,-23.6599998474121,"27258",NA,US01891517,auto,NA,NA,Myrtales,NA,NA,US01891517_01 US01891517_02,NA,NA,South America - Neotropics,Dicotyledonae,"1",NA,NA,"35",São Paulo,SP,Sudeste
-46.5299987792969,-23.6599998474121,"20",2019-11-13 11:26:54-03,USP,SPF,"67439",PreservedSpecimen,Plantae,NA,Myrtaceae,Myrceugenia,filibracteata,Myrceugenia filibracteata,(Burret) D.Legrand,"Mattos, J","Mattos, J","11461","1964","03","05",Brasil,São Paulo,Santo André,Paranapiacaba,-46.5299987792969,-23.6599998474121,"27258",NA,SPF00067439,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.5299987792969,-23.6599998474121,"29",2019-11-13 11:26:54-03,USP,SPF,"67438",PreservedSpecimen,Plantae,NA,Myrtaceae,Myrceugenia,hoehnei,Myrceugenia hoehnei,(Burret) D.Legrand & Kausel,"Vieira, FCS","Handro, O","1056","1963","03","18",Brasil,São Paulo,Santo André,Reserva Biológica Alto da Serra de Paranapiacaba,-46.5299987792969,-23.6599998474121,"27258",NA,SPF00067438,auto,NA,NA,NA,NA,NA,NA,"2019","05",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.25,-23.833333,"34",2019-10-03 10:04:16-03,UFSCar,SORO,"3247",PreservedSpecimen,Plantae,NA,Myrtaceae,Myrceugenia,hoehnei,Myrceugenia hoehnei,(Burret) D.Legrand & Kausel,NA,NA,"2784","1977","12","02",Brasil,São Paulo,Paranapiacaba,Estação Biológica,-46.25,-23.833333,NA,Subarbusto 2m.,NA,NA,NA,NA,NA,46°15'W,23°50'S,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.5299987792969,-23.6599998474121,"35",2019-10-03 10:04:16-03,UFSCar,SORO,"4303",PreservedSpecimen,Plantae,NA,Myrtaceae,Myrceugenia,hoehnei,Myrceugenia hoehnei,(Burret) D.Legrand & Kausel,NA,"Guerra, T.P.; Kirizawa, M.","74","1984","05","22",Brasil,São Paulo,Santo André,Estação Biológica do Alto da Serra de Paranapiacaba,-46.5299987792969,-23.6599998474121,"27258","Arbusto 2,5m alt., flor branca.",NA,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
