X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,country,occurrenceRemarks,individualCount,recordedBy,recordNumber,continentOcean,preparationType,barcode,imagecode,identifiedBy,year,month,day,stateProvince,county,locality,decimalLongitude,decimalLatitude,coordinatePrecision,geoFlag,yearIdentified,monthIdentified,dayIdentified,verbatimLongitude,verbatimLatitude,class,minimumElevationInMeters,maximumElevationInMeters,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-48.0999984741211,-24.5200004577637,"4",2020-11-04 11:04:12-03,ESALQ,ESA,"25558",PreservedSpecimen,Plantae,Magnoliophyta,NA,Cactaceae,Rhipsalis,pilocarpa,Rhipsalis pilocarpa,Löefgr.,Brasil,Pendente em rochas. Frutos imaturos verdes. Beira de Mata Atlântica.,NA,"Souza, V.C.; Rodrigues, R.R.; Arzolla, F.A.R.P.; Ivanauskas, N.M.; Souza, J.P.; Scalon, V.R.; Farah, F.T.; Mazine, F.F.; Sanches, I.D.; Paiva, G.A.; L. M.Campos, Dias, A.S.; V.Pereira, Cordeiro, L.E.; Rodrigues, A.G.; Guskuma, M.","9123.0",NA,NA,ESA025558,ESA025558,"Aona, L.Y.S.","1995","09","04",São Paulo,Eldorado,"Parque Estadual de Jacupiranga, Núcleo da Caverna do Diabo. Arredores do alojamento e da Caverna do Diabo.",-48.0999984741211,-24.5200004577637,"38804",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.060001373291,-22.8999996185303,"5",2020-11-04 11:04:12-03,ESALQ,ESA,"114239",PreservedSpecimen,Plantae,Magnoliophyta,NA,Cactaceae,Rhipsalis,pilocarpa,Rhipsalis pilocarpa,NA,Brasil,NA,NA,"Breier, T.B.","719.0",NA,NA,ESA114239,ESA114239,"Breier, T.B.","2002","11","25",São Paulo,Campinas,NA,-47.060001373291,-22.8999996185303,"23900",auto,"2004",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.0999984741211,-24.5200004577637,"6",2020-11-04 11:04:12-03,ESALQ,ESA,"50313",PreservedSpecimen,Plantae,Magnoliophyta,NA,Cactaceae,Rhipsalis,pilocarpa,Rhipsalis pilocarpa,NA,Brasil,NA,NA,"Carboni, M. et al.","34.0",NA,NA,ESA050313,ESA050313,NA,"2005","03","22",São Paulo,Eldorado,NA,-48.0999984741211,-24.5200004577637,"38804",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.060001373291,-22.8999996185303,"7",2020-11-04 11:04:12-03,ESALQ,ESA,"101386",PreservedSpecimen,Plantae,Magnoliophyta,NA,Cactaceae,Rhipsalis,pilocarpa,Rhipsalis pilocarpa,NA,Brasil,NA,NA,"Breier, T.B.","719.0",NA,NA,ESA101386,ESA101386,"Breier, T.B.","2002","11","25",São Paulo,Campinas,NA,-47.060001373291,-22.8999996185303,"23900",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.391944,-24.646389,"18",2021-03-01 16:27:18-03,UNICAMP,UEC,"166857",S,Plantae,Magnoliopsida,NA,Cactaceae,Rhipsalis,pilocarpa,Rhipsalis pilocarpa,Loefgr.,Brazil,Pendente em rochas. Frutos imaturos verdes. Beira de Mata Atlântica.,NA,"Souza, VC; Rodrigues, RR; Arzolla, FARDP; Ivanauskas, NM; Souza, JP; Scalon, VR","9123",NA,NA,UEC090868,UEC090868,"Zappi, DC","1995","09","04",São Paulo,Eldorado,"Parque Estadual de Jacupiranga, Núcleo da Caverna do Diabo. Arredores do alojamento e da Caverna do Diabo.",-48.391944,-24.646389,NA,NA,"2001","08",NA,"-48.391944","-24.646389",NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.060001373291,-22.8999996185303,"19",2021-03-01 16:27:18-03,UNICAMP,UEC,"137443",S,Plantae,Magnoliopsida,NA,Cactaceae,Rhipsalis,pilocarpa,Rhipsalis pilocarpa,Loefgr.,Brazil,Fruto rosa-avermelhado.,NA,"Breier, TB","0719",NA,NA,UEC090867,UEC090867,"Breier, TB","2002","11","25",São Paulo,Campinas,Barão Geraldo.,-47.060001373291,-22.8999996185303,"23900",auto,"2004","09",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.8400001525879,-24.5,"24",2021-02-11 17:18:26-03,UFPR,UPCB,"73066",PreservedSpecimen,Plantae,NA,NA,Cactaceae,Rhipsalis,pilocarpa,Rhipsalis pilocarpa,Loefgren,Brasil,Mata próxima ao restaurante Núcleo Santana.,NA,"Soller, A.","147",NA,NA,NA,NA,"Soller, A.","2011","09","23",São Paulo,Apiaí,P.E. Turístico Alto Ribeira (PETAR),-48.8400001525879,-24.5,"37738",auto,"2011","10","06",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.0999984741211,-24.5200004577637,"30",2020-06-15 15:29:46-03,UNESP-RC,HRCB,"22398",PreservedSpecimen,Plantae,NA,NA,Cactaceae,Rhipsalis,pilocarpa,Rhipsalis pilocarpa,Loefgr,Brasil,pendente em rochas. Frutos imaturos verdes.,NA,"Souza, V.C.","9123",NA,NA,NA,NA,"Taylor, N. P.","1995","09","04",São Paulo,Eldorado,Parque Estadual de Jacupiranga,-48.0999984741211,-24.5200004577637,"38804",auto,"2004","08","10",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.0999984741211,-24.5200004577637,"42",2019-11-13 11:17:24-03,USP,SPF,"108105",PreservedSpecimen,Plantae,NA,NA,Cactaceae,Rhipsalis,pilocarpa,Rhipsalis pilocarpa,Loefgr.,Brasil,NA,NA,"Souza, VC","9123",NA,NA,SPF00108105,NA,"Calvente, AM","1995","09","04",São Paulo,Eldorado,Parque Estadual de Jacupiranga,-48.0999984741211,-24.5200004577637,"38804",auto,"2004","03",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.5499992370605,-24.7000007629395,"44",2021-03-04 15:42:46-03,IF,SPSF,"23917",PreservedSpecimen,Plantae,Magnoliophyta,Caryophyllales,Cactaceae,Rhipsalis,pilocarpa,Rhipsalis pilocarpa,NA,Brasil,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: mata de encosta&nf;;",NA,L.Rossi & M.C.H.Mamede,"906",América do Sul,NA,NA,NA,NA,"1991","06","12",SP,Iguape,Estação Ecológica Juréia-Itatins,-47.5499992370605,-24.7000007629395,"55628",auto,NA,NA,NA,NA,NA,Magnoliopsida,NA,NA,"35",São Paulo,SP,Sudeste
