X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,recordedBy,recordNumber,year,month,day,continentOcean,country,preparationType,previousCatalogNumber,occurrenceRemarks,barcode,phylum,order,scientificNameAuthorship,stateProvince,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,county,imagecode,maximumElevationInMeters,typeStatus,class,identifiedBy,coordinatePrecision,geoFlag,yearIdentified,monthIdentified,verbatimLongitude,verbatimLatitude,relatedCatalogItem,dayIdentified,fieldNumber,individualCount,sex,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-45.59,-22.73,"5",2021-03-15 16:37:00-03,NY,NYBG,"807659",PreservedSpecimen,Plantae,Pteridaceae,Lytoneuron,crenulans,Lytoneuron crenulans,P. C. Porto,"3063","1937","05","20",South America,Brazil,sheet,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=800546' target='other'> <mi>dwc_moreinfo</mi></a>,NY00807659,Pteridophyta,Polypodiales,(Fée) Yesilyurt,São Paulo,NA,-45.59,-22.73,NA,Campos do Jordao,NY00807659_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.543068,-23.587347,"7",2021-03-15 16:37:00-03,NY,NYBG,"807658",PreservedSpecimen,Plantae,Pteridaceae,Lytoneuron,crenulans,Lytoneuron crenulans,A. C. Brade,"12894","1933","12",NA,South America,Brazil,sheet,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=800538' target='other'> <mi>dwc_moreinfo</mi></a>,NY00807658,Pteridophyta,Polypodiales,(Fée) Yesilyurt,São Paulo,Capital - Vila Ema.,-46.543068,-23.587347,NA,Sao Paulo,NY00807658_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.65,-23.67,"11",2021-03-15 16:37:00-03,NY,NYBG,"1145053",PreservedSpecimen,Plantae,Pteridaceae,Lytoneuron,crenulans,Lytoneuron crenulans,M. J. M. Christenhusz,"4957","2008","03","08",South America,Brazil,sheet,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1301992' target='other'> <mi>dwc_moreinfo</mi></a>,NY01145053,Pteridophyta,Polypodiales,(Fée) Yesilyurt,São Paulo,"Parque Estadual do Serra do Mar, Núcleo Caraguatatuba. Estrada da Intermediaria, Rio Pardo. (Expedicão científica CNPq Proc. EXC no. 030/07-CR.)",-45.65,-23.67,"715",Caraguatatuba,NY01145053_01,"715",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.59,-22.73,"16",2021-03-15 16:37:00-03,NY,NYBG,"807660",PreservedSpecimen,Plantae,Pteridaceae,Lytoneuron,crenulans,Lytoneuron crenulans,J. W. C. Harshberger,"928","1927","07","23",South America,Brazil,sheet,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=800548' target='other'> <mi>dwc_moreinfo</mi></a>,NY00807660,Pteridophyta,Polypodiales,(Fée) Yesilyurt,São Paulo,NA,-45.59,-22.73,"1585",Campos do Jordao,NY00807660_01,"1585",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.540301,-22.687374,"17",2021-03-15 16:37:00-03,NY,NYBG,"1016442",PreservedSpecimen,Plantae,Pteridaceae,Lytoneuron,crenulans,Lytoneuron crenulans,L. Lanstyack,s.n.,"1937","04",NA,South America,Brazil,sheet,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1178081' target='other'> <mi>dwc_moreinfo</mi></a>,NY01016442,Pteridophyta,Polypodiales,(Fée) Yesilyurt,São Paulo,Campos do Jordão,-45.540301,-22.687374,NA,NA,NY01016442_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.59188,-22.70331,"21",2021-03-15 16:37:00-03,NY,NYBG,"1039744",PreservedSpecimen,Plantae,Pteridaceae,Lytoneuron,crenulans,Lytoneuron crenulans,E. Schuettpelz,"1465","2010","01","24",South America,Brazil,sheet,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1490720' target='other'> <mi>dwc_moreinfo</mi></a>,NY01039744,Pteridophyta,Polypodiales,(Fée) Yesilyurt,São Paulo,"Serra da mantiqueira: NW of Campos do Jordão, off of a mud road to Pico do Imbiri.",-45.59188,-22.70331,"1825",Sao Bento do Sapucaí,NY01039744_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.9599990844727,-23.0699996948242,"43",2020-11-04 11:21:18-03,ESALQ,ESA,"34642",PreservedSpecimen,Plantae,Pteridaceae,Doryopteris,crenulans,Doryopteris crenulans,"Salino, A.","2915.0","1996","12","16",NA,Brasil,NA,NA,NA,ESA034642,Pteridophyta,NA,NA,São Paulo,NA,-44.9599990844727,-23.0699996948242,NA,Cunha,NA,NA,NA,NA,NA,"38855",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.3400001525879,-24.1100006103516,"44",2020-11-04 11:21:18-03,ESALQ,ESA,"17163",PreservedSpecimen,Plantae,Pteridaceae,Doryopteris,crenulans,Doryopteris crenulans,"Souza, V.C. et al.","3872.0","1993","05","22",NA,Brasil,NA,NA,NA,ESA017163,Pteridophyta,NA,NA,São Paulo,NA,-49.3400001525879,-24.1100006103516,NA,Itararé,NA,NA,NA,NA,NA,"27729",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.3400001525879,-24.1100006103516,"46",2020-11-04 11:21:18-03,ESALQ,ESA,"12236",PreservedSpecimen,Plantae,Pteridaceae,Doryopteris,crenulans,Doryopteris crenulans,"Souza, V.C. et al.","4542.0","1993","10","30",NA,Brasil,NA,NA,NA,ESA012236,Pteridophyta,NA,NA,São Paulo,NA,-49.3400001525879,-24.1100006103516,NA,Itararé,NA,NA,NA,NA,"Prado, J.","27729",auto,"2009",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.55,-22.75,"53",2019-08-27 13:36:18-03,IAP,PACA-AGP,"89530",PreservedSpecimen,Plantae,Pteridaceae,Doryopteris,crenulans,Doryopteris crenulans,J. Prado,"1034","2000","02","14",NA,Brasil,NA,NA,"HASU 13011 Habitat: Terrestre, crescendo no barranco à margem da estrada.",PACA089530,Pteridophyta,Polypodiales,(Fée) Christ,SP,Subida do Pico Itapeva.,-45.55,-22.75,"1800",Campos do Jordão,NA,"1800",NA,Filicopsida,J. Prado,NA,NA,"2000","02",45°33'W,22°45'S,NA,"14",NA,NA,NA,"35",São Paulo,SP,Sudeste
