X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,continentOcean,country,preparationType,occurrenceRemarks,barcode,imagecode,recordNumber,year,locality,month,day,stateProvince,county,decimalLongitude,decimalLatitude,infraspecificEpithet,typeStatus,coordinatePrecision,geoFlag,yearIdentified,monthIdentified,dayIdentified,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,class,fieldNumber,individualCount,sex,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.5299987792969,-23.6599998474121,"70",2020-09-12 05:00:02-03,US,US,"2579712",PreservedSpecimen,Plantae,NA,Laurales,Lauraceae,Phoebe,erythropus,Phoebe erythropus,(Nees & Mart.) Mez,NA,J. R. de Mattos,South America - Neotropics,Brazil,NA,NA,US01348282,US01348282_01,"64398","1961","Estação Campo Grande (Via Ferrea São Paulo-Santos), Estação Biológica","12","5",São Paulo,Santo André,-46.5299987792969,-23.6599998474121,NA,NA,"27258",auto,NA,NA,NA,NA,NA,NA,NA,Dicotyledonae,NA,"1",NA,"35",São Paulo,SP,Sudeste
-46.5299987792969,-23.6599998474121,"99",2021-02-11 09:24:22-03,IBt,SP,"64398",S,Plantae,NA,NA,Lauraceae,Cinnamomum,erythropus,Cinnamomum erythropus,(Nees & Mart.) Kosterm.,NA,"Mattos, J",NA,Brasil,NA,NA,NA,NA,s.n.,NA,E.B. do Alto da Serra de Paranapiacaba,NA,NA,São Paulo,Santo André,-46.5299987792969,-23.6599998474121,NA,NA,"27258",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
