X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,continentOcean,country,locality,preparationType,occurrenceRemarks,barcode,imagecode,class,year,month,day,stateProvince,county,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,typeStatus,fieldNumber,infraspecificEpithet,yearIdentified,monthIdentified,dayIdentified,individualCount,coordinatePrecision,geoFlag,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-48.506722,-23.38525,"3",2019-08-20 10:17:07-03,UNICAMP,UEC,"114074",S,Plantae,Magnoliopsida,NA,Lythraceae,Cuphea,arenarioides,Cuphea arenarioides,A.St.-Hil.,NA,"Ferreira, MCC; Pansarin, ER; Faria, AD; Belinello, R; Gonçalves, RS","200",NA,Brazil,"Estrada de terra Angatuba - Itatinga, Cerca de 30 Km de Angatuba.",NA,NA,UEC060895,UEC060895,NA,"2000","07","18",São Paulo,Angatuba,-48.506722,-23.38525,"-48.506722","-23.38525",NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"23",2020-09-02 16:30:46-03,Cenargen,CEN,"27525",PreservedSpecimen,Plantae,NA,NA,Lythraceae,Cuphea,arenarioides,Cuphea arenarioides var. myriophylloides,A.St.-Hil.,J. F. Toledo,Alexander Curt Brade,"6321",NA,Brasil,Água Branca.,Exsicatas,Fl. carminosa. Doação do Instituto de Botânica - SP (6391). São Paulo.,CEN00027525,CEN00027525 CEN00027525_1,NA,"1913","05","00",SP,SAO PAULO,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,var. myriophylloides,"1951","07",NA,"1","53584",auto,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"24",2020-09-02 16:30:46-03,Cenargen,CEN,"27522",PreservedSpecimen,Plantae,NA,NA,Lythraceae,Cuphea,arenarioides,Cuphea arenarioides var. myriophylloides,A.St.-Hil.,S. Graham,Goro Hashimoto,"565",NA,Brasil,Tucuruvi.,Exsicatas,Doação do Instituto de Botânica - SP. Herb. nº 58314. São Paulo.,CEN00027522,NA,NA,"1948","12","12",SP,SAO PAULO,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,var. myriophylloides,"1997",NA,NA,"1","53584",auto,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"25",2020-09-02 16:30:46-03,Cenargen,CEN,"27525",PreservedSpecimen,Plantae,NA,NA,Lythraceae,Cuphea,arenarioides,Cuphea arenarioides var. myriophylloides,A.St.-Hil.,J. F. Toledo,Alexander Curt Brade,"6321",NA,Brasil,Água Branca.,Exsicatas,Fl. carminosa. Doação do Instituto de Botânica - SP (6391). São Paulo.,CEN00027525,CEN00027525 CEN00027525_1,NA,"1913","05","00",SP,SAO PAULO,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,var. myriophylloides,"1951","07",NA,"1","53584",auto,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"26",2020-09-02 16:30:46-03,Cenargen,CEN,"27522",PreservedSpecimen,Plantae,NA,NA,Lythraceae,Cuphea,arenarioides,Cuphea arenarioides var. myriophylloides,A.St.-Hil.,S. Graham,Goro Hashimoto,"565",NA,Brasil,Tucuruvi.,Exsicatas,Doação do Instituto de Botânica - SP. Herb. nº 58314. São Paulo.,CEN00027522,NA,NA,"1948","12","12",SP,SAO PAULO,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,var. myriophylloides,"1997",NA,NA,"1","53584",auto,"35",São Paulo,SP,Sudeste
-48.4099998474121,-23.4899997711182,"27",2019-11-13 11:23:52-03,USP,SPF,"213135",PreservedSpecimen,Plantae,NA,NA,Lythraceae,Cuphea,arenarioides,Cuphea arenarioides,A.St.-Hil.,NA,"Ferreira, MCC","200",NA,Brasil,NA,NA,NA,SPF00213135,NA,NA,"2000","07","18",São Paulo,Angatuba,-48.4099998474121,-23.4899997711182,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29114",auto,"35",São Paulo,SP,Sudeste
-49,-22,"32",2019-01-23 11:15:59-02,F,FMNH-SEEDPLANTS,V0062473F,PreservedSpecimen,Plantae,Spermatophyta,NA,Lythraceae,Cuphea,arenarioides,Cuphea arenarioides myriophylloides,NA,NA,A. Saint-Hilaire,s.n.,South America,Brazil,NA,NA,NA,V0062473F,V0062473F_01,Dicotyledoneae,NA,NA,NA,São Paulo,NA,-49,-22,NA,NA,Isotype,NA,myriophylloides,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49,-22,"33",2019-01-23 11:15:59-02,F,FMNH-SEEDPLANTS,V0062473F,PreservedSpecimen,Plantae,Spermatophyta,NA,Lythraceae,Cuphea,arenarioides,Cuphea arenarioides myriophylloides,NA,NA,A. Saint-Hilaire,s.n.,South America,Brazil,NA,NA,NA,V0062473F,V0062473F_01,Dicotyledoneae,NA,NA,NA,São Paulo,NA,-49,-22,NA,NA,Isotype,NA,myriophylloides,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.4099998474121,-23.4899997711182,"44",2021-01-11 11:19:59-03,IBt,SP,"477069",S,Plantae,NA,NA,Lythraceae,Cuphea,arenarioides,Cuphea arenarioides,A.St.-Hil.,NA,"Ferreira, MCC","200",NA,Brasil,NA,NA,NA,NA,NA,NA,"2000","07","18",São Paulo,Angatuba,-48.4099998474121,-23.4899997711182,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29114",auto,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"45",2019-11-21 10:07:42-03,IBt,SP,"14235",S,Plantae,NA,NA,Lythraceae,Cuphea,arenarioides,Cuphea arenarioides,A.St.-Hil.,"Toledo, JF","Edwall, G",CGG3125,NA,Brasil,"Campo brejoso, Água Branca.",NA,"Herb. repens, fl. roseo-azuis.",SP006664,SP006664,NA,"1895","08","05",São Paulo,São Paulo,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,"1951","07","14",NA,"53584",auto,"35",São Paulo,SP,Sudeste
