X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,barcode,imagecode,recordNumber,continentOcean,preparationType,previousCatalogNumber,occurrenceRemarks,phylum,order,coordinatePrecision,geoFlag,yearIdentified,monthIdentified,dayIdentified,class,relatedCatalogItem,individualCount,fieldNumber,typeStatus,sex,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-47.071667,-22.816667,"42",2021-03-15 16:10:38-03,CPAN-UFMS,COR,"18016",PreservedSpecimen,Plantae,Apocynaceae,Aspidosperma,parvifolium,Aspidosperma parvifolium,A.DC.,D.J. Machate,"D.J. Machate; W. Marcondes-Ferreira","2015","05","12",Brasil,São Paulo,Campinas,Campus da Unicamp,-47.071667,-22.816667,47º4'18''W,22º49'0''S,NA,NA,NA,NA,"134",NA,NA,NA,Látex branco Habitat: Em área de vegetação do Cerrado antropizado. Solo latossolo. Relevo plano. Local seco. Habito: Árvore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.060001373291,-22.8999996185303,"43",2021-03-29 18:02:02-03,CPAN-UFMS,COR,"7210",PreservedSpecimen,Plantae,Apocynaceae,Aspidosperma,parvifolium,Aspidosperma parvifolium,A.DC.,D. J. Machate,D. J. Machate,"2015","05","12",Brasil,São Paulo,Campinas,"Unicamp. HABITAT:Em área de vegetação do Cerrado antropizado; Solo latossolo; Relevo plano.",-47.060001373291,-22.8999996185303,NA,NA,NA,NA,NA,NA,"136",NA,NA,NA,"Látex branco; Local seco; Com Fruto: FRUTO:Fruto castanho Habito: Árvore",NA,NA,"23900",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.060001373291,-22.8999996185303,"44",2021-03-29 18:02:02-03,CPAN-UFMS,COR,"7209",PreservedSpecimen,Plantae,Apocynaceae,Aspidosperma,parvifolium,Aspidosperma parvifolium,A.DC.,D. J. Machate,D. J. Machate,"2015","05","12",Brasil,São Paulo,Campinas,"Unicamp. HABITAT:Em área de vegetação do Cerrado antropizado; Solo latossolo; Relevo plano.",-47.060001373291,-22.8999996185303,NA,NA,NA,NA,NA,NA,"134",NA,NA,NA,"Látex branco; Local seco; Com Fruto: FRUTO:Fruto verde Habito: Árvore",NA,NA,"23900",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.060001373291,-22.8999996185303,"87",2020-11-04 10:59:42-03,ESALQ,ESA,"5776",PreservedSpecimen,Plantae,Apocynaceae,Aspidosperma,parvifolium,Aspidosperma parvifolium,A.DC.,"Koch, I.","Tiba, M.A.","1989","11","01",Brasil,São Paulo,Campinas,NA,-47.060001373291,-22.8999996185303,NA,NA,NA,NA,ESA005776,NA,NA,NA,NA,NA,NA,Magnoliophyta,NA,"23900",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.7799987792969,-24.1800003051758,"88",2020-11-04 10:59:42-03,ESALQ,ESA,"39575",PreservedSpecimen,Plantae,Apocynaceae,Aspidosperma,parvifolium,Aspidosperma parvifolium,A.DC.,"Duarte, A.R.","Farah, F.T. ; Gorenstein, M.R.","1997","07","26",Brasil,São Paulo,Itanhaém,NA,-46.7799987792969,-24.1800003051758,NA,NA,NA,NA,ESA039575,NA,"23.0",NA,NA,NA,NA,Magnoliophyta,NA,"26998",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.7599983215332,-21.0100002288818,"89",2020-11-04 10:59:42-03,ESALQ,ESA,"5766",PreservedSpecimen,Plantae,Apocynaceae,Aspidosperma,parvifolium,Aspidosperma parvifolium,A.DC.,"Souza, V.C.","Bidinelo, J.M.","1989","09","29",Brasil,São Paulo,Jardinópolis,NA,-47.7599983215332,-21.0100002288818,NA,NA,NA,NA,ESA005766,NA,NA,NA,NA,NA,NA,Magnoliophyta,NA,"24259",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9900016784668,-21.1299991607666,"90",2020-11-04 10:59:42-03,ESALQ,ESA,"88949",PreservedSpecimen,Plantae,Apocynaceae,Aspidosperma,parvifolium,Aspidosperma parvifolium,DC.,NA,"Viani, R.A.G. et al.","2002","08","20",Brasil,São Paulo,Sertãozinho,NA,-47.9900016784668,-21.1299991607666,NA,NA,NA,NA,ESA088949,NA,"321.0",NA,NA,NA,NA,Magnoliophyta,NA,"19376",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.9599990844727,-23.0699996948242,"96",2020-11-04 10:59:42-03,ESALQ,ESA,"34270",PreservedSpecimen,Plantae,Apocynaceae,Aspidosperma,parvifolium,Aspidosperma parvifolium,A.DC.,"Ivanauskas, N.M.","Ferretti, A.R.; Vanini, A.; Nave, A.G.; Peneireiro, F.M.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Ivanauskas, N.M.; Souza, J.P.","1996","12","14",Brasil,São Paulo,Cunha,NA,-44.9599990844727,-23.0699996948242,NA,NA,NA,NA,ESA034270,NA,"141.0",NA,NA,NA,NA,Magnoliophyta,NA,"38855",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.5499992370605,-22.2900009155273,"97",2020-11-04 10:59:42-03,ESALQ,ESA,"64985",PreservedSpecimen,Plantae,Apocynaceae,Aspidosperma,parvifolium,Aspidosperma parvifolium,A.DC.,NA,"Gorenstein, M.R.","1999","10","01",Brasil,São Paulo,Gália,NA,-49.5499992370605,-22.2900009155273,NA,NA,NA,NA,ESA064985,NA,"5718.0",NA,NA,NA,NA,Magnoliophyta,NA,"23314",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.9900016784668,-24.3199996948242,"98",2020-11-04 10:59:42-03,ESALQ,ESA,"12822",PreservedSpecimen,Plantae,Apocynaceae,Aspidosperma,parvifolium,Aspidosperma parvifolium,A.DC.,"Souza, V.C.","Souza, V.C. ; Abbud, V.","1988","11","06",Brasil,São Paulo,Peruíbe,NA,-46.9900016784668,-24.3199996948242,NA,NA,NA,NA,ESA012822,NA,"330.0",NA,NA,NA,NA,Magnoliophyta,NA,"21922",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
