X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,locality,preparationType,occurrenceRemarks,barcode,imagecode,typeStatus,county,decimalLongitude,decimalLatitude,class,yearIdentified,monthIdentified,dayIdentified,coordinatePrecision,geoFlag,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,individualCount,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-47.13,-23.3,"5",2021-03-15 16:37:00-03,NY,NYBG,"528871",PreservedSpecimen,Plantae,Magnoliophyta,Myrtales,Vochysiaceae,Callisthene,castellanosii,Callisthene castellanosii,H.F.Martins,M. C. H. Mamede,F. C. Hoehne,s.n.,"1933","10","04",South America,Brazil,São Paulo,"Cabreúva, Serra do Japy",sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272271' target='other'> <mi>dwc_moreinfo</mi></a>,NY00528871,NY00528871_01,NA,Cabreúva,-47.13,-23.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.1300010681152,-23.2999992370605,"8",2020-11-04 11:20:47-03,ESALQ,ESA,"71392",PreservedSpecimen,Plantae,Magnoliophyta,NA,Vochysiaceae,Callisthene,castellanosii,Callisthene castellanosii,NA,NA,"Hoehne, F.C.",NA,"1933","03","04",NA,Brasil,São Paulo,NA,NA,NA,ESA071392,NA,NA,Cabreúva,-47.1300010681152,-23.2999992370605,NA,NA,NA,NA,"16877",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.7099990844727,-22.4300003051758,"9",2020-11-04 11:20:47-03,ESALQ,ESA,"3606",PreservedSpecimen,Plantae,Magnoliophyta,NA,Vochysiaceae,Callisthene,castellanosii,Callisthene castellanosii,H.F. Martins,"Shimizu, G.H.","Catharino, E.L.M.","863.0","1986","07","09",NA,Brasil,São Paulo,NA,NA,NA,ESA003606,ESA003606,NA,Ipeúna,-47.7099990844727,-22.4300003051758,NA,"2011",NA,NA,"12906",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.88,-23.18,"10",2015-07-02 14:04:31-03,JBP,HPL,"12057",S,Plantae,NA,NA,Vochysiaceae,Callisthene,castellanosii,Callisthene castellanosii,NA,K. Yamamoto,J.B. Baitello,"320","1989","09","24",NA,Brasil,SP,"Coletado na Serra do Japi, região de Hermida.",NA,NA,NA,NA,NA,Jundiaí,-46.88,-23.18,NA,"2007","10","10","17840",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.75,-22.7,"11",2021-03-01 16:43:02-03,UNICAMP,UEC,"173836",S,Plantae,Magnoliopsida,NA,Vochysiaceae,Callisthene,castellanosii,Callisthene castellanosii,H.F.Martins,"Martins, HF","Kuhlmann, M","903","1943","08","20",NA,Brazil,São Paulo,Margem do Rio Camanducaia.,NA,"Árvore muito bonita.; Sobre pedras.",UEC089521,UEC089521,NA,Amparo,-46.75,-22.7,NA,"1988",NA,NA,NA,NA,"-46.75","-22.7",NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.439998626709,-22.8799991607666,"14",2019-08-20 10:28:04-03,UNICAMP,UEC,"173511",S,Plantae,Magnoliopsida,NA,Vochysiaceae,Callisthene,castellanosii,Callisthene castellanosii,H.F.Martins,"Shimizu, GH","Amaral Jr, A","1815","1974","10","24",NA,Brazil,São Paulo,NA,NA,NA,UEC089808,UEC089808,NA,Botucatu,-48.439998626709,-22.8799991607666,NA,"2010","07",NA,"40412",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.439998626709,-22.8799991607666,"15",2019-08-20 10:28:04-03,UNICAMP,UEC,"173487",S,Plantae,Magnoliopsida,NA,Vochysiaceae,Callisthene,castellanosii,Callisthene castellanosii,H.F.Martins,"Shimizu, GH","Amaral Jr, A",s.n.,"1979","10","04",NA,Brazil,São Paulo,NA,NA,NA,UEC089784,UEC089784,NA,Botucatu,-48.439998626709,-22.8799991607666,NA,"2010","07",NA,"40412",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.2900009155273,-23.2600002288818,"16",2021-03-01 16:43:02-03,UNICAMP,UEC,"173835",S,Plantae,Magnoliopsida,NA,Vochysiaceae,Callisthene,castellanosii,Callisthene castellanosii,H.F.Martins,"Shimizu, GH","Medina, JC","21300","1965","09",NA,NA,Brazil,São Paulo,Rodovia Itú - Cabreúva.,NA,Na mata.,UEC089523,UEC089523,NA,Itu,-47.2900009155273,-23.2600002288818,NA,"2000","08",NA,"22309",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.8800010681152,-23.1800003051758,"17",2021-03-01 16:43:02-03,UNICAMP,UEC,"173814",S,Plantae,Magnoliopsida,NA,Vochysiaceae,Callisthene,castellanosii,Callisthene castellanosii,H.F.Martins,"Shimizu, GH","Souza, HM","21355","1970","10","13",NA,Brazil,São Paulo,Estação Experimental do IAC.,NA,"Árvore ca. 10-12m de alt. Flores amarelas axilares, floresce em Outubro.",UEC089519,UEC089519,NA,Jundiaí,-46.8800010681152,-23.1800003051758,NA,"2010","07",NA,"17840",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.8800010681152,-23.1800003051758,"18",2021-03-01 16:43:02-03,UNICAMP,UEC,"173839",S,Plantae,Magnoliopsida,NA,Vochysiaceae,Callisthene,castellanosii,Callisthene castellanosii,H.F.Martins,"Shimizu, GH","Souza, HM",s.n.,"1970","10","13",NA,Brazil,São Paulo,Nativa na Estação Experimental de Jundiaí.,NA,"Árvore; 10-12m.; flores amarelas axilares. Floresce em Outubro.",UEC089522,UEC089522,NA,Jundiaí,-46.8800010681152,-23.1800003051758,NA,"2010","07",NA,"17840",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
