X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,preparationType,occurrenceRemarks,barcode,imagecode,minimumElevationInMeters,maximumElevationInMeters,infraspecificEpithet,typeStatus,yearIdentified,coordinatePrecision,geoFlag,monthIdentified,dayIdentified,verbatimLongitude,verbatimLatitude,class,relatedCatalogItem,fieldNumber,individualCount,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.680951,-23.621551,"1",2021-03-15 16:37:00-03,NY,NYBG,"1522514",PreservedSpecimen,Plantae,Magnoliophyta,Malvales,Malvaceae,Byttneria,scabra,Byttneria scabra,L.,W. Hoehne,W. Hoehne,s.n.,"1949","01","27",South America,Brazil,São Paulo,Sao Paulo,Brooklyn Paulista.,-46.680951,-23.621551,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1753201' target='other'> <mi>dwc_moreinfo</mi></a>,NY01522514,NY01522514_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.680951,-23.621551,"6",2021-03-15 16:37:00-03,NY,NYBG,"01091881",PreservedSpecimen,Plantae,Magnoliophyta,Malvales,Malvaceae,Byttneria,scabra,Byttneria scabra,L.,W. Hoehne,W. Hoehne,s.n.,"1949","01","27",South America,Brazil,São Paulo,Sao Paulo,Brooklyn Paulista.,-46.680951,-23.621551,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1265192' target='other'> <mi>dwc_moreinfo</mi></a>,NY01091881,NY01091881_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.4397,-22.88,"34",2021-03-15 16:37:00-03,NY,NYBG,"609659",PreservedSpecimen,Plantae,Magnoliophyta,Malvales,Malvaceae,Byttneria,scabra,Byttneria scabra,L.,L. J. Dorr,I. Silberbauer-Gottsberger,15-13371,"1971","03","13",South America,Brazil,São Paulo,Botucatu,5 km ao longo da antiga estrada de terra para Itatinga,-48.4397,-22.88,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=509669' target='other'> <mi>dwc_moreinfo</mi></a>,NY00609659,NY00609659_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"49",2020-06-29 11:31:15-03,UFRJ,RFA,"36370",PreservedSpecimen,Plantae,NA,NA,Malvaceae,Byttneria,scabra,Byttneria scabra,L.,W. Hoehne,W. Hoehne,NA,"1949","01","27",NA,Brasil,São Paulo,São Paulo,Brooklyn Paulista,-46.6300010681152,-23.5400009155273,NA,Flores alvas,RFA23185,NA,NA,NA,NA,NA,"1949","53584",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.8199996948242,-22.25,"68",2021-03-30 12:43:46-03,EAO,IAN,"69092",PreservedSpecimen,Plantae,Dicotiledônea,NA,Malvaceae,Byttneria,scabra,Byttneria scabra,L.,"Pires, JM","Black, GA","11256","1951","01","23",Southern America,Brasil,São Paulo,Itirapina,Campo.,-47.8199996948242,-22.25,NA,NA,IAN069092,NA,NA,NA,NA,NA,NA,"22843",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"70",2019-10-09 11:19:18-03,UFBA,ALCB,NA,PreservedSpecimen,Plantae,Dicotyledon,NA,Malvaceae,Byttneria,scabra,Byttneria scabra,Loefl.,"Hoehne, W","Hoehne, W",s/n,"1949","01","07",Southern America,Brasil,São Paulo,São Paulo,Brooklyn Paulista,-46.6300010681152,-23.5400009155273,NA,Flores alvas.,NA,NA,NA,NA,NA,NA,"2000","53584",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.633333,-23.533333,"71",2019-10-09 11:19:18-03,UFBA,ALCB,"80608",PreservedSpecimen,Plantae,Dicotyledon,NA,Malvaceae,Byttneria,scabra,Byttneria scabra,Loefl.,"Guimarães, TB","Hoehne, W",s/n,"1949","01","27",Southern America,Brasil,São Paulo,São Paulo,Brooklyn Paulista,-46.633333,-23.533333,NA,Flores alvas.,ALCB062826,NA,NA,NA,NA,NA,"2000",NA,NA,NA,NA,"-46.633333","-23.533333",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"116",2020-11-04 11:12:49-03,ESALQ,ESA,"98241",PreservedSpecimen,Plantae,Magnoliophyta,NA,Malvaceae,Byttneria,scabra,Byttneria scabra,NA,"Guimarães, T.B.","Hoehne, W.",NA,"1949","01","27",NA,Brasil,São Paulo,São Paulo,NA,-46.6300010681152,-23.5400009155273,NA,NA,ESA098241,ESA098241,NA,NA,NA,NA,"2000","53584",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.9700012207031,-22.0499992370605,"139",2021-03-01 16:41:58-03,UNICAMP,UEC,"100474",S,Plantae,Magnoliopsida,NA,Sterculiaceae,Byttneria,scabra,Byttneria scabra,L.,NA,"Faria, AD; Aona, LYS; Matsumoto, K; Feres, FR; Pansarin, ER; Belinello, R",97/173,"1997","01","21",NA,Brazil,São Paulo,Aguaí,"Sítio Rachel Cristina, SP 340, próximo ao rio Jaguari-Mirim.",-46.9700012207031,-22.0499992370605,NA,"Pétalas creme, ramos com espinhos.",UEC067886,UEC067886,NA,NA,NA,NA,NA,"25812",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"179",2020-12-21 16:33:05-03,MBM,MBM,"320661",PreservedSpecimen,Plantae,NA,NA,Malvaceae,Byttneria,scabra,Byttneria scabra,L.,"Hoehne, W.","Hoehne, W.",s.n.,"1949","01","27",Southern America,Brazil,São Paulo,São Paulo,Brooklyn Paulista,-46.6300010681152,-23.5400009155273,NA,"Flores alvas.; Brejo.",MBM320661,MBM320661,NA,NA,NA,NA,"1949","53584",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
