X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,locality,minimumElevationInMeters,maximumElevationInMeters,preparationType,occurrenceRemarks,barcode,imagecode,county,verbatimLongitude,verbatimLatitude,yearIdentified,decimalLongitude,decimalLatitude,coordinatePrecision,geoFlag,class,monthIdentified,relatedCatalogItem,dayIdentified,typeStatus,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.6300010681152,-23.5400009155273,"3",2020-11-04 11:12:42-03,ESALQ,ESA,"75735",PreservedSpecimen,Plantae,Magnoliophyta,NA,Malpighiaceae,Heteropterys,thyrsoidea,Heteropterys thyrsoidea,(Griseb.) A.Juss.,NA,"Romão, G.O.; Herrerias, C.; Pereira, M.; Zevallos, P.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Souza, J.P.; Ivanauskas, N.M.; Nave, A.G.; Furlan, E.","592.0","2001","04","11",NA,Brasil,São Paulo,"Parque Estadual da Serra do Mar, Núcleo Curucutu. Trilha do Campo. 23o59'S, 46o44'W. Ca. 800 m.s.m. Floresta ribeirinha altomontana com campo adjacente.",NA,NA,NA,Liana. Botões amarelos.,ESA075735,ESA075735,São Paulo,NA,NA,"2019",-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"4",2020-11-04 11:12:42-03,ESALQ,ESA,"75556",PreservedSpecimen,Plantae,Magnoliophyta,NA,Malpighiaceae,Heteropterys,thyrsoidea,Heteropterys thyrsoidea,(Griseb.) A.Juss.,NA,"Souza, F.M.; Duarte, A.R.; Sampaio, D.; Bernhardt, R.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Souza, J.P.; Ivanauskas, N.M.; Furlan, E.","113.0","2001","04","13",NA,Brasil,São Paulo,"Parque Estadual da Serra do Mar, Núcleo Curucutu. Floresta ribeirinha ao longo do Rio Mambu. 23o59'20,7S; 46o46'31,5W. 750msm.",NA,NA,NA,"Epífita, botões amarelos com elaióforos verdes.",ESA075556,ESA075556,São Paulo,NA,NA,NA,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.560001373291,-23.6900005340576,"5",2021-03-01 16:33:27-03,UNICAMP,UEC,"133668",S,Plantae,Magnoliopsida,NA,Malpighiaceae,Heteropterys,thyrsoidea,Heteropterys thyrsoidea,A.Juss.,"Amorim, AMA","Godoi, JV; et al.","450","1994","07","25",NA,Brazil,São Paulo,"Parque Caminhos do Mar, entrada velha de Santos",NA,NA,NA,"Trepadeira, frutos verde-claros",NA,NA,São Bernardo do Campo,NA,NA,"2003",-46.560001373291,-23.6900005340576,"31119",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.560001373291,-23.6900005340576,"6",2021-03-01 16:33:27-03,UNICAMP,UEC,"133662",S,Plantae,Magnoliopsida,NA,Malpighiaceae,Heteropterys,thyrsoidea,Heteropterys thyrsoidea,A.Juss.,"Amorim, AMA","Guerra, TP; Godoi, JV; Chiea, SAC; Rocha, E; Machado, S","166","1994","06","14",NA,Brazil,São Paulo,"Parque Caminhos do Mar, km 37,5 da Via Anchieta",NA,NA,NA,"Tepadeira, folhas com tricomas ferrugíneos na parte abaxial, frutos amarelo-esverdeados.",NA,NA,São Bernardo do Campo,NA,NA,"2003",-46.560001373291,-23.6900005340576,"31119",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"7",2021-03-01 16:33:27-03,UNICAMP,UEC,"133666",S,Plantae,Magnoliopsida,NA,Malpighiaceae,Heteropterys,thyrsoidea,Heteropterys thyrsoidea,A.Juss.,"Amorim, AMA","Sampaio, LCQMP; Garcia, RJF; Vedovelho, D","26","1998","04","16",NA,Brazil,São Paulo,"Parque Estadual da Serra do Mar, Núcleo Curucutu, trilha do campo",NA,NA,NA,"trepadeira de inflorescência amarela com glândulas, caule ferugíneo. Beira de mata.",NA,NA,São Paulo,NA,NA,"2003",-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"8",2021-03-01 16:33:27-03,UNICAMP,UEC,"133912",S,Plantae,Magnoliopsida,NA,Malpighiaceae,Heteropterys,thyrsoidea,Heteropterys thyrsoidea,A.Juss.,"Amorim, AMA","Amorim, AMA; Costa, CB; Vieira, S; Garcia, RJF; Fiaschi, P; Costa, A; Alves, MV","3362","2000","03","17",NA,Brazil,São Paulo,"Parque Estadual da Serra do Mar, Núcleo Curucutu. Trilha para o Rio Embu-Guaçu.","900","900",NA,"Liana robusta, ca. 2-20m alt. Folhas com a face superior verde escuro, a inferior castanho-ferrugíneo, assim como os ramos jovens, eixos de inflorescência e pedicelos. Glândulas calicíneas verdes. Pétalas amarelo-pálido, as látero-posteriores com o",NA,NA,São Paulo,NA,NA,"2003",-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.560001373291,-23.6900005340576,"11",2020-07-10 09:47:08-03,MBML,MBML-HERBARIO,"22299",NA,Plantae,NA,NA,Malpighiaceae,Heteropterys,thyrsoidea,Heteropterys thyrsoidea,(Griseb.) A.Juss.,André M. Amorim/2003,"E. L. Silva; et al","249","1996","07","17",NA,Brasil,São Paulo,Parque Caminhos do Mar,NA,NA,NA,"Trepadeira; corola amarela, pilosidade ferrugínea, glândulas verdes; fruto alado ferrugíneo.",MBML022299,MBML022299,São Bernardo do Campo,NA,NA,NA,-46.560001373291,-23.6900005340576,"31119",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.560001373291,-23.6900005340576,"13",2021-03-15 18:28:30-03,USP,SPF,"161991",PreservedSpecimen,Plantae,NA,NA,Malpighiaceae,Heteropterys,thyrsoidea,Heteropterys thyrsoidea,(Griseb.) A.Juss.,"Amorim, AMA","Godoi, JV","450","1994","07","25",NA,Brasil,São Paulo,"Parque Caminhos do Mar, Estrada Velha de Santos.",NA,NA,NA,"Trepadeira, frutos verde-claros.",SPF00161991,SPF00161991,São Bernardo do Campo,NA,NA,"2003",-46.560001373291,-23.6900005340576,"31119",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"14",2021-03-15 18:28:30-03,USP,SPF,"161992",PreservedSpecimen,Plantae,NA,NA,Malpighiaceae,Heteropterys,thyrsoidea,Heteropterys thyrsoidea,(Griseb.) A.Juss.,"Amorim, AMA","Sampaio, LCQMP","26","1998","04","16",NA,Brasil,São Paulo,"Parque Estadual da Serra do Mar, Núcleo Curucutu, trilha do campo.",NA,NA,NA,"Trepadeira de inflorescência amarela com glândulas, caule ferrugíneo. Beira de mata.",SPF00161992,SPF00161992,São Paulo,NA,NA,"2003",-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"15",2021-03-15 18:28:30-03,USP,SPF,"161217",PreservedSpecimen,Plantae,NA,NA,Malpighiaceae,Heteropterys,thyrsoidea,Heteropterys thyrsoidea,(Griseb.) A.Juss.,"Amorim, AMA","Amorim, AMA","3362","2000","03","17",NA,Brasil,São Paulo,"Parque Estadual da Serra do Mar, Núcleo Curucutu. Trilha para o Rio Embu-Guaçu. Flores ombrófila densa montana.","900","900",NA,"Liana robusta, 2-20 m alt. Folhas com face superior verde-escuro, a inferior castanho-ferrugíneo, assim como os ramos jovens, eixos da inflorescência e pedicelos; glândulas calicíneas verdes, pétalas amarelo-pálido, as látero-posteri",SPF00161217,SPF00161217,São Paulo,NA,NA,"2003",-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
