X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,recordedBy,year,month,day,continentOcean,country,stateProvince,preparationType,previousCatalogNumber,occurrenceRemarks,barcode,phylum,order,scientificNameAuthorship,identifiedBy,recordNumber,county,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,imagecode,yearIdentified,verbatimLongitude,verbatimLatitude,coordinatePrecision,geoFlag,monthIdentified,class,dayIdentified,relatedCatalogItem,fieldNumber,typeStatus,individualCount,infraspecificEpithet,sex,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-49.3400001525879,-24.1100006103516,"32",2020-11-04 11:12:11-03,ESALQ,ESA,"26483",PreservedSpecimen,Plantae,Lentibulariaceae,Genlisea,aurea,Genlisea aurea,"Souza, V.C. et al.","1994","11","13",NA,Brasil,São Paulo,NA,NA,NA,ESA026483,Magnoliophyta,NA,A.St.-Hil.,"Gonella, P.M.","7215.0",Itararé,NA,-49.3400001525879,-24.1100006103516,NA,NA,NA,"2011",NA,NA,"27729",auto,"03",NA,"31",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.3400001525879,-24.1100006103516,"33",2020-11-04 11:12:11-03,ESALQ,ESA,"24797",PreservedSpecimen,Plantae,Lentibulariaceae,Genlisea,aurea,Genlisea aurea,"Souza, V.C. et al.","1995","08","20",NA,Brasil,São Paulo,NA,NA,NA,ESA024797,Magnoliophyta,NA,A.St.-Hil.,"Gonella, P.M.","8943.0",Itararé,NA,-49.3400001525879,-24.1100006103516,NA,NA,NA,"2011",NA,NA,"27729",auto,"03",NA,"31",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.3400001525879,-24.1100006103516,"34",2020-11-04 11:12:11-03,ESALQ,ESA,"121490",PreservedSpecimen,Plantae,Lentibulariaceae,Genlisea,aurea,Genlisea aurea,"Souza, V.C.","2009","04","01",NA,Brasil,São Paulo,NA,NA,"Erva, corola amarela. Foto.",ESA121490,Magnoliophyta,NA,A.St.-Hil.,P.M. Gonella,"33504.0",Itararé,"Divisa Itararé-Itapeva, beira do Rio Verde. Campo na beira do rio.",-49.3400001525879,-24.1100006103516,NA,NA,ESA121490,NA,NA,NA,"27729",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.3400001525879,-24.1100006103516,"36",2020-11-04 11:12:11-03,ESALQ,ESA,"12212",PreservedSpecimen,Plantae,Lentibulariaceae,Genlisea,ornata,Genlisea ornata,"Souza, V.C. et al.","1993","10","30",NA,Brasil,São Paulo,NA,NA,NA,ESA012212,Magnoliophyta,NA,Mart. ex Mess.,"Corrêa, M.A. & Scaramuzza, C.A.M.","4520.0",Itararé,NA,-49.3400001525879,-24.1100006103516,NA,NA,NA,NA,NA,NA,"27729",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.4599990844727,-22.9200000762939,"48",2021-01-14 15:31:20-03,MN,R,"227661",PreservedSpecimen,Plantae,Lentibulariaceae,Genlisea,aurea,Genlisea aurea,"Silva, N.G.","2007","07","29",NA,Brasil,São Paulo,NA,NA,NA,R010008304,NA,NA,A. St.-Hil.,NA,"236",Pindamonhangaba,NA,-45.4599990844727,-22.9200000762939,NA,NA,NA,NA,NA,NA,"24176",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"56",2021-01-14 15:31:20-03,MN,R,"97290",PreservedSpecimen,Plantae,Lentibulariaceae,Genlisea,ornata,Genlisea ornata,"Lutz, B.M.J.","1921","02","10",NA,Brasil,São Paulo,NA,NA,NA,NA,NA,NA,Mart. ex Benj.,"Corrêa, M.A.",NA,Campos do Jordão,Serra da Mantiqueira,-45.5900001525879,-22.7299995422363,NA,NA,NA,"1997",NA,NA,"21048",auto,"12",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48,-25,"135",2021-02-11 17:19:22-03,UFPR,UPCB,"67257",PreservedSpecimen,Plantae,Lentibulariaceae,Genlisea,aurea,Genlisea aurea,"Völtz, R.R.","2009","03","15",NA,Brasil,Paraná,NA,NA,Planta herbácea de aprox. 20 cm de alt. com flores amarelas cujo caule não possui folhas. Haste assentada diretamente sobre o solo. Associação campestre. Refúgios Vegetacionais Altomontanos.,NA,NA,NA,A.St.-Hil.,"Völtz, R.R.","24",Tijucas do Sul,"Serra do Araçatuba, Morro do Araçatuba",-48,-25,"1300","1300",NA,"2009","-48","-25",NA,NA,"03",NA,"15",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"242",2019-11-13 11:23:25-03,USP,SPF,"137656",PreservedSpecimen,Plantae,Lentibulariaceae,Genlisea,aurea,Genlisea aurea,"Rivadavia, F","1999","04","14",NA,Brasil,São Paulo,NA,NA,NA,SPF00137656,NA,NA,A.St.-Hil.,"Rivadavia, F","1093",Campos do Jordão,NA,-45.5900001525879,-22.7299995422363,"1950","1950",SPF00137656,"1999",NA,NA,"21048",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.3400001525879,-24.1100006103516,"243",2019-11-13 11:23:26-03,USP,SPF,"201531",PreservedSpecimen,Plantae,Lentibulariaceae,Genlisea,aurea,Genlisea aurea,"Souza, VC","1993","10","30",NA,Brasil,São Paulo,NA,NA,NA,SPF00201531,NA,NA,A.St.-Hil.,"Gonella, PM","4520",Itararé,NA,-49.3400001525879,-24.1100006103516,NA,NA,SPF00201531,"2011",NA,NA,"27729",auto,"03",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.5699996948242,-22.6399993896484,"244",2019-11-13 11:23:26-03,USP,SPF,"204778",PreservedSpecimen,Plantae,Lentibulariaceae,Genlisea,aurea,Genlisea aurea,"Markgraf, F","1952","12","07",NA,Brasil,São Paulo,NA,NA,NA,SPF00204778,NA,NA,A.St.-Hil.,"Taylor, P","10431",São José do Barreiro,Serra da Bocaina,-44.5699996948242,-22.6399993896484,NA,NA,SPF00204778,"1973",NA,NA,"30784",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
