"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","infraspecificEpithet","typeStatus","individualCount","fieldNumber","relatedCatalogItem"
"1","2020-09-23 10:40:55-03","E","E","40789","PreservedSpecimen","Plantae","Leguminosae","Tachigali","rugosa","Tachigali rugosa","Bridgewater, S. & García, A. Ibáñez","1996","10","22","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:49264","<a href=http://data.rbge.org.uk/herb/E00040789 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00040789",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1188204","PreservedSpecimen","Plantae","Fabaceae","Tachigali","rugosa","Tachigali rugosa","H. S. Irwin","1968","02","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1397580' target='other'> <mi>dwc_moreinfo</mi></a>","NY01188204","Magnoliophyta","Fabales","(Mart. ex Benth.) Zarucchi & Pipoly","H. H. van der Werff","20912","Minas Gerais","Serra do Espinhaço. Ca. 30 km N of Serro on road (MG 2) to Diamantina","-43.65","-18.53","1200","1200","NY01188204_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-30 00:35:00-03","NY","NYBG","01096218","PreservedSpecimen","Plantae","Fabaceae","Tachigali","rugosa","Tachigali rugosa","H. C. de Lima","1987","06","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1235522' target='other'> <mi>dwc_moreinfo</mi></a>","NY01096218","Magnoliophyta","Fabales",NA,NA,"3052","Rio de Janeiro","Parque Estadual do Desedgano, Sossego, Fazenda da Forquilha, próx. ao Rio do Norte.","-41.8333","-21.8833","350","550","NY01096218_01","Santa Maria Madalena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","582445","PreservedSpecimen","Plantae","Fabaceae","Tachigali","rugosa","Tachigali rugosa","A. M. V. de Carvalho","1998","08","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=605772' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582445","Magnoliophyta","Fabales","(Mart. ex Benth.) Zarucchi & Pipoly","I. Huamantupa Chuquimaco","6645","Bahia","Pico de Itubira. Campo Rupestre. Cerca de 31 km SW da cidade, caminho para Mato Grosso","-41.8969","-13.3889",NA,NA,"NY00582445_01","Rio de Contas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1188057","PreservedSpecimen","Plantae","Fabaceae","Tachigali","rugosa","Tachigali rugosa","R. Santos","1963","09","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1396692' target='other'> <mi>dwc_moreinfo</mi></a>","NY01188057","Magnoliophyta","Fabales","(Mart. ex Benth.) Zarucchi & Pipoly","H. H. van der Werff","24184","Minas Gerais","S. José do Geribá, Faz. S. José, pr. Varjão","-46.0317","-18.3781",NA,NA,"NY01188057_01","Varjao de Minas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1188113","PreservedSpecimen","Plantae","Fabaceae","Tachigali","rugosa","Tachigali rugosa","H. S. Irwin","1971","02","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1396953' target='other'> <mi>dwc_moreinfo</mi></a>","NY01188113","Magnoliophyta","Fabales","(Mart. ex Benth.) Zarucchi & Pipoly","I. Huamantupa Chuquimaco","31036","Bahia","Serra da Agua de Rega. Rio Riachao, ca. 27 km S of Seabra, road to Agua de Rega","-41.7703","-12.4186","1000","1000","NY01188113_01","Seabra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 20:11:00-03","NY","NYBG","687607","PreservedSpecimen","Plantae","Fabaceae","Tachigali","rugosa","Tachigali rugosa","L. Riedel","1934","11",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=878896' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687607","Magnoliophyta","Fabales",NA,NA,"2919",NA,"In sylvis montosis St. Luzia et Auro-preto.",NA,NA,NA,NA,"NY00687607_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1188080","PreservedSpecimen","Plantae","Fabaceae","Tachigali","rugosa","Tachigali rugosa","C. Farney","1986","02","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1396777' target='other'> <mi>dwc_moreinfo</mi></a>","NY01188080","Magnoliophyta","Fabales","(Mart. ex Benth.) Zarucchi & Pipoly","H. H. van der Werff","1095","Minas Gerais","Km 24 da estrada São Thomé/Cruzília.","-44.9853","-21.7222",NA,NA,"NY01188080_01","São Thomé das Letras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1188056","PreservedSpecimen","Plantae","Fabaceae","Tachigali","rugosa","Tachigali rugosa","G. P. Lewis","1987","05","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1396691' target='other'> <mi>dwc_moreinfo</mi></a>","NY01188056","Magnoliophyta","Fabales","(Mart. ex Benth.) Zarucchi & Pipoly","H. H. van der Werff","1646","Minas Gerais","São Gonçalo das Pedras (SE of Diamantina), estrada da terra para Serro.","-43.5","-18.33","900","900","NY01188056_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1188058","PreservedSpecimen","Plantae","Fabaceae","Tachigali","rugosa","Tachigali rugosa","R. S. Pinheiro","1973","07","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1396693' target='other'> <mi>dwc_moreinfo</mi></a>","NY01188058","Magnoliophyta","Fabales","(Mart. ex Benth.) Zarucchi & Pipoly","H. H. van der Werff","2213","Bahia","Barra da Choça.",NA,NA,NA,NA,"NY01188058_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
