"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","typeStatus","continentOcean","barcode","imagecode"
"1","2020-06-23 17:19:06-03","UFMG","BHCB-BRYOPHYTA","175017","PreservedSpecimen","Plantae","Junggermaniaceae","Jungermannia","decolor","Jungermannia decolor","Schiffn.","Maciel-Silva, AS; Paula, LFA; Fuzessy","2014","12","12","Maciel-Silva, AS; Silva, L; Rievrs, E; Ribeiro, PD; Gouvea, Y; Paula, LFA; Fuzessy, LF; Moreira,","77A","2014","11","12","Brasil","Minas Gerais","Catas Altas","Parque Natural do Caraça, Trilha Bocaina","-43.465944","-20.123139","-43.465944","-20.123139","1259","1259","Tronco morto caído",NA,NA,NA,NA
"2","2014-09-23 10:58:00-03","G","G","G00112142","S","Plantae","Jungermanniaceae","Jungermannia","mosenii","Jungermannia mosenii","Steph.","?",NA,NA,NA,"Mosén, C.",NA,"1874","06","01","Brazil","Minas Gerais",NA,NA,"-45.44222222","-18.78777778","-45.44222222","-18.78777778",NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=135392&base=img&lang=en","HOLOTYPUS of Jungermannia mosenii Steph.","AMERIQUE DU SUD","G00112142","G00112142"
