"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","fieldNumber","year","month","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","kingdom","phylum","yearIdentified","monthIdentified","recordNumber","day","continentOcean","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","individualCount","minimumElevationInMeters","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","class","order","dayIdentified","sex"
"1","2015-10-04 07:17:56-03","MNHN","RECOLNAT_MNHN_P","P00683123","PreservedSpecimen","Asteraceae","Lychnophora","humillima","Lychnophora humillima","Sch.Bip.","Semir","isotype","Riedel, L.","1159","1824","11","Brésil","In glareosis S. da Lapa","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00683123' target='other'> <mi>dwc_moreinfo</mi></a>","P00683123","P00683123_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-10-05 03:40:38-03","MNHN","RECOLNAT_MNHN_P","P00683124","PreservedSpecimen","Asteraceae","Lychnophora","humillima","Lychnophora humillima","Sch.Bip.","Semir","isotype","Riedel, L.","1159","1824","11","Brésil","In glareosis S. da Lapa","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00683124' target='other'> <mi>dwc_moreinfo</mi></a>","P00683124","P00683124_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-11 11:33:10-03","UFMG","BHCB","69746","PreservedSpecimen","Asteraceae","Lychnocephalus","humillimus","Lychnocephalus humillimus","(Sch.Bip.) Loeuille, Semir & Pirani",NA,NA,"Viana, PL",NA,"2002","01","Brasil","Ermo das Geraes.",NA,"Plantas do Brasil.; Herbáceo. Flores lilases.; Solo arenoso.","BHCB025691",NA,"Plantae","Dicotyledon","2015","06","s.n.","20","Southern America","Minas Gerais","Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-01-27 15:02:00-03","MO","MOBOT","101245699","PreservedSpecimen","Asteraceae","Lychnocephalus","humillimus","Lychnocephalus humillimus","(Sch. Bip.) Loeuille, Semir & Pirani","fide Loeuille et al.","Holotype","Ludwig Riedel",NA,"1824","11","Brazil","In glareosis Serra da Lapa",NA,NA,NA,NA,"Plantae",NA,NA,NA,"Riedel s.n.",NA,"South America","Minas Gerais",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"5","2010-10-04 11:06:00-03","MO","MOBOT","100309101","PreservedSpecimen","Asteraceae","Lychnophora","humillima","Lychnophora humillima","Sch. Bip.","S.B. Jones & N.C. Coile",NA,"Apparicio P. Duarte",NA,"1950","4","Brazil","Serra do Cipó, km 131, parte alta.",NA,NA,NA,NA,"Plantae",NA,NA,NA,"Duarte 1685","24","South America","Minas Gerais",NA,NA,NA,NA,NA,"1","1460.00000000",NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:19-03","FZB-BH","BHZB","8831","S","Asteraceae","Lychnophora","humillima","Lychnophora humillima",NA,"Jimi NakaJima",NA,"Ordones, J. et al.",NA,"2012","04","Brasil","RPPN Brumas do Espinhaço e Ermo dos Gerais,",NA,"Prostrada. Solo arenoso. s/ponto. Duplicata doada para Herbário HUFU",NA,NA,"Plantae",NA,"2013","02","1992","19",NA,"MG","Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:10:19-03","FZB-BH","BHZB","8803","S","Asteraceae","Lychnophora","humillima","Lychnophora humillima",NA,"Jimi Nakajima",NA,"Ordones, J. et al.",NA,"2012","04","Brasil","RPPN Brumas do Espinhaço e Ermo dos Gerais,",NA,"Ponto 97 634720 7895813 1223 m, com duplicata, Duplicata doada para Herbário HUFU <ll>dwc_commonname:</ll> .",NA,NA,"Plantae",NA,"2013","02","1997","19",NA,"MG","Santana do Riacho","-43.72","-19.025833",NA,NA,NA,"1223","43W 43' 12","19S 01' 33","1223",NA,NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","2905879","PreservedSpecimen","Asteraceae","Lychnophora","humillima","Lychnophora humillima","Sch. Bip.",NA,NA,"A. P. Duarte",NA,"1950","4","Brazil","Serra do Cípo, K. 131",NA,NA,"US01636202","US01636202_01","Plantae",NA,NA,NA,"1685","24","South America - Neotropics","Minas Gerais",NA,NA,NA,NA,NA,"1","1460",NA,NA,NA,"Dicotyledonae","Asterales",NA,NA
"9","2020-09-12 05:00:02-03","US","US","1666986","PreservedSpecimen","Asteraceae","Lychnophora","humillima","Lychnophora humillima","Sch. Bip.",NA,"Isotype","L. Riedel",NA,"1824","12","Brazil","Serra da Lapa.",NA,NA,"US00147443","US00147443_01","Plantae",NA,NA,NA,"s.n.",NA,"South America - Neotropics",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"Dicotyledonae","Asterales",NA,NA
"10","2021-03-15 18:25:30-03","USP","SPF","209790","PreservedSpecimen","Asteraceae","Lychnocephalus","humillimus","Lychnocephalus humillimus","(Sch.Bip.) Loeuille, Semir & Pirani","Hind, DJN",NA,"Zappi, DC",NA,"2009","03","Brasil","Serra do Cipó, Acesso pela Faz. Inhame. Trilha da Senhorinha, primeiro platô.",NA,"Subarbusto em touceiras rentes ao chão, folhas discolores, alvo lanosas abaxialmente, corolas lilás-arroxeadas.; Campo rupestre, em solo arenoso.","SPF00209790",NA,"Plantae",NA,"2009","03","1959","09",NA,"Minas Gerais","Santana de Pirapama","-43.743147","-18.936801",NA,NA,NA,"1351","-43.743147","-18.936801","1351",NA,NA,"09",NA
