"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","locality","recordNumber","occurrenceRemarks","coordinatePrecision","geoFlag","phylum","order","infraspecificEpithet","continentOcean","preparationType","typeStatus","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","previousCatalogNumber"
"1","2021-04-05 14:33:47-03","UNESC","CRI","8310","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","myrcioides","Myrceugenia myrcioides","(Cambess.) O.Berg","Marcos Sobral","Kleber Haileê Emerich; Marcelo Romagna Pasetto","2008","07","10","Brasil","Santa Catarina","Turvo","-49.679444","-28.926667","49º40'46''W","28º55'36''S","30","30","CRI005371","CRI005371",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:47-03","UNESC","CRI","8034","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","myrcioides","Myrceugenia myrcioides","(Cambess.) O.Berg","Fábio C. S. Vieira","Beatriz Wessler; Bruna Alberton","2008","06","25","Brasil","Santa Catarina","Içara","-49.300278","-28.713889","49º18'1''W","28º42'50''S",NA,NA,"CRI005114","CRI005114","2020","04","17","SANTEC Resíduos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:39-03","UNESC","CRI","13041","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","myrcioides","Myrceugenia myrcioides","(Cambess.) O.Berg","Sobral, M","Verdi, M.; Gasper, A.L. de","2009","04","27","Brasil","Santa Catarina","Urubici","-49.591111","-28.0825","49º35'28''W","28º4'57''S","140","140","CRI011631",NA,"2009","07","17","Xaxim. Xaxim.","2070","Fito IFFSC 165/N/14 Habitat: Floresta Ombrófila Mista; Estágio médio de regeneração; entorno da mata Habito: arbórea; Fruto laranja;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:39-03","UNESC","CRI","15174","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","myrcioides","Myrceugenia myrcioides","(Cambess.) O.Berg","Aline Votri Guislon","Aline V. Guislon; Iara Z. Zanoni; Felipe Seron & Suelane C. Fenali","2019","03","08","Brasil","Santa Catarina","Criciúma","-49.401111","-28.786944","49º24'4''W","28º47'13''S","30","30","CRI014589","CRI014589","2019","10","29","APA Morro Albino e Esteves (L 13). Bairro Capão Bonito.",NA,"Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:39-03","UNESC","CRI","9360","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","myrcioides","Myrceugenia myrcioides","(Cambess.) O.Berg","A. L. Gasper","A. Korte; A. Kniess","2010","02","25","Brasil",NA,"Brasil","-50.129167","-26.908611","50º7'45''W","26º54'31''S","733","733","CRI005204","CRI005204","2010","03","23","Tamanduá.","2048","Floresta Ombrófila Densa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:39-03","UNESC","CRI","4064","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","myrcioides","Myrceugenia myrcioides","(Cambess.) O.Berg","M. Sobral","J. A. Jarenkow","1989","12","27","Brasil","Rio Grande do Sul","Marcelino Ramos","-51.906667","-27.462222","51º54'24''W","27º27'44''S",NA,NA,"CRI005201","CRI005201",NA,NA,NA,"Mata Pluvial Rio Uruguai.","1564","Habito: arvoreta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:39-03","UNESC","CRI","14478","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","myrcioides","Myrceugenia myrcioides","(Cambess.) O.Berg","Sobral, M","Verdi, M.; Hasckel, R.P. & Klemz, G.","2009","04","23","Brasil","Santa Catarina","Urubici","-49.498333","-28.074444","49º29'54''W","28º4'28''S","1546","1546","CRI013570","CRI013570","2009","07","17","Morro da Igreja - Parque Nacional São Joaquim. Morro da Igreja - Parque Nacional São Joaquim.","2027","Florística IFFSC 166(Arbórea) Habitat: Floresta nebular e campos naturais; Estágio médio de regeneração; entorno da mata Habito: arbórea; Fruto laranja;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:39-03","UNESC","CRI","13039","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","myrcioides","Myrceugenia myrcioides","(Cambess.) O.Berg","Sobral, M","Verdi, M.; Gasper, A.L. de","2009","05","07","Brasil","Santa Catarina","Rio Rufino","-49.86","-27.9","49º51'36''W","27º54'0''S","143","143","CRI011633",NA,"2009","07","17","Morro das Torres. Morro das Torres.","2127","Florística IFFSC 214(Arbórea) Habitat: Floresta Ombrófila Mista; Estágio Avançado Habito: arbórea; Fruto verde;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:47-03","UNESC","CRI","11534","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","myrcioides","Myrceugenia myrcioides","(Cambess.) O.Berg","Fábio C. S. Vieira","L.A. Funez; A.E. Zermiani & A. Kaessner Filho","2013","03","03","Brasil","Santa Catarina","Blumenau","-49.086667","-27.056944","49º5'12''W","27º3'25''S","287","287","CRI005115","CRI005115","2020","04","17","Sede Parque Nacional da Serra do Itajaí.","1871","Floresta Ombrófila Densa Habitat: borda da mata Habito: arbustiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:39-03","UNESC","CRI","3263","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","myrcioides","Myrceugenia myrcioides","(Cambess.) O.Berg","Vanilde Citadini- Zanette","Vanilde Citadini-Zanette; Clair Maria Martinello","1992","01","10","Brasil","Santa Catarina","Orleans","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI005202","CRI005202",NA,NA,NA,"Rio Novo.","1884",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-05 14:25:39-03","UNESC","CRI","13040","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","myrcioides","Myrceugenia myrcioides","(Cambess.) O.Berg","Sobral, M","Stival-Santos, A.; Legal, E. & Silveira, S.","2010","02","01","Brasil","Santa Catarina","Angelina","-49.049444","-27.630278","49º2'58''W","27º37'49''S","590","590","CRI011632",NA,"2010","08","15","Rancho das Tábuas. Rancho das Tábuas.","1654","Florística IFFSC 314 (Arbórea) Habitat: Ecótono Floresta O. Densa e F.O. Mista; Estágio Avançado; interior do fragmento Habito: arbórea; flor botão floral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:33:47-03","UNESC","CRI","8377","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","myrcioides","Myrceugenia myrcioides","(Cambess.) O.Berg","Marcos Sobral","Aline Costa Brum Figueiró Leandro; Rosimar Tertuliano da Silva","2006",NA,NA,"Brasil","Santa Catarina","Criciúma","-49.431944","-28.69","49º25'55''W","28º41'24''S",NA,NA,"CRI005372","CRI005372","2007",NA,NA,"Parque Ecológico Municipal José Milanese.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:25:39-03","UNESC","CRI","9703","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","myrcioides","Myrceugenia myrcioides","(Cambess.) O.Berg","M. Sobral","A. Korte; A. Kniess","2009","10","21","Brasil","Santa Catarina","Vidal Ramos","-49.410556","-27.360556","49º24'38''W","27º21'38''S","895","895","CRI005205","CRI005205",NA,NA,NA,"Águas Frias.","614","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arvoreta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-05 14:25:39-03","UNESC","CRI","12585","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","myrcioides","Myrceugenia myrcioides","(Cambess.) O.Berg","Aline Votri Guislon","Alexandre Medeiros","2017","05","10","Brasil","Santa Catarina","Balneário Camboriú","-48.6347007751465","-26.9906005859375",NA,NA,NA,NA,"CRI010792",NA,"2017","08","21","Quilombola.",NA,"Coleta 301. Habito: Arbóreo","8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","615836","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","myrcioides","Myrceugenia myrcioides acrophylla","(O.Berg) D.Legrand","L. R. Landrum","G. G. Hatschbach","1968","01","31","Brazil","Paraná","Antonina","-48.7117","-25.4286",NA,NA,"50","50","NY00615836","NY00615836_01",NA,NA,NA,"Sapitanduva","18523","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530406' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Myrtales","acrophylla","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","615833","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","myrcioides","Myrceugenia myrcioides acrophylla","(O.Berg) D.Legrand","L. R. Landrum","L. B. Smith","1957","02","22","Brazil","Santa Catarina","Dionísio Cerqueira","-53.6394","-26.255",NA,NA,"900","1000","NY00615833","NY00615833_01",NA,NA,NA,"13 km west of Rio Capetinga between Campo Erê and Dionísio Cerqueira","11678","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530386' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Myrtales","acrophylla","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","615787","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","myrcioides","Myrceugenia myrcioides myrcioides","(Cambess.) O.Berg","C. M. D. E. Legrand","R. M. Klein","1956","05","18","Brazil","Santa Catarina","Ibirama","-49.5178","-27.0569",NA,NA,"350","350","NY00615787","NY00615787_01",NA,NA,NA,"Hôrto Floresta I.N.P., Ibirama","1988","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=325531' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Myrtales","myrcioides","South America","sheet",NA,NA,NA,NA,NA,NA,NA
