"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","stateProvince","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","phylum","order","infraspecificEpithet","scientificNameAuthorship","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","coordinatePrecision","geoFlag","typeStatus","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:41:32-03","E","E","83907","PreservedSpecimen","Plantae","Melastomataceae","Clidemia","capitellata","Clidemia capitellata","Munhoz, C., Alvarenga, D. & Silva, S.R.","298","1995","09","21","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:92798","<a href=http://data.rbge.org.uk/herb/E00083907 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00083907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:32-03","E","E","291250","PreservedSpecimen","Plantae","Melastomataceae","Clidemia","capitellata","Clidemia capitellata","McDowell, T.","2683","1990","05","20","E. Tropical South America","GY","herbarium specimen of unspecif","BGBASE:300863","<a href=http://data.rbge.org.uk/herb/E00291250 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00291250","Cuyuni-Mazaruni","Along E bank Utshe R to Lalluvia Creek and Falls","-61.05","5.783333","-61.050000","5.783333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1654229","PreservedSpecimen","Plantae","Melastomataceae","Clidemia","capitellata","Clidemia capitellata dependens","Y. Brito","108","1982","12","15","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1984195' target='other'> <mi>dwc_moreinfo</mi></a>","NY01654229","Guárico","Morichal Largo, 17 Kms al sureste de Calaboxo.","-67.42","8.93",NA,NA,"Magnoliophyta","Myrtales","dependens","(D.Don) J.F.Macbr.","NY01654229_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","3145775","PreservedSpecimen","Plantae","Melastomataceae","Clidemia","capitellata","Clidemia capitellata","W. A. Archer","1856","1931","04","01","South America","Colombia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3411073' target='other'> <mi>dwc_moreinfo</mi></a>","NY03145775","Chocó","Rio Atrato",NA,NA,NA,NA,"Magnoliophyta","Myrtales",NA,"(Bonpl.) D.Don",NA,"Quibdó","60","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1654241","PreservedSpecimen","Plantae","Melastomataceae","Clidemia","capitellata","Clidemia capitellata dependens","M. H. Nee","39700","1990","11","01","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1984462' target='other'> <mi>dwc_moreinfo</mi></a>","NY01654241","Santa Cruz","Along road to Caranda, 1 km. SE of junction with Buena Vista Portachuelo highway at La Arboleda.","-63.6","-17.42",NA,NA,"Magnoliophyta","Myrtales","dependens","(D.Don) J.F.Macbr.","NY01654241_01","Ichilo","320",NA,"J. J. Wurdack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-27 08:15:00-03","NY","NYBG","01131182","PreservedSpecimen","Plantae","Melastomataceae","Clidemia","capitellata","Clidemia capitellata","H. D. Clarke","6104","1997","07","25","South America","Guyana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1281832' target='other'> <mi>dwc_moreinfo</mi></a>","NY01131182","Cuyuni-Mazaruni","Paruima, 5 km N; Auratoi Savanna.","-61.0847","5.8522",NA,NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,"760","760","F. Almeda; D. S. Penneys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01288585","PreservedSpecimen","Plantae","Melastomataceae","Clidemia","capitellata","Clidemia capitellata","A. Rosas Jr.","305","1985","09","13","South America","Brazil",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1685539' target='other'> <mi>dwc_moreinfo</mi></a>","NY01288585","Acre","BR 364 (C. do Sul a Tarauacá, km 40), linha nº 01.","-72.67","-7.63111",NA,NA,"Magnoliophyta","Myrtales",NA,"(Bonpl.) D.Don","NY01288585_01","Cruzeiro do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01131146","PreservedSpecimen","Plantae","Melastomataceae","Clidemia","capitellata","Clidemia capitellata dependens","M. H. Nee","41733","1991","07","13","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=398116' target='other'> <mi>dwc_moreinfo</mi></a>","NY01131146","Santa Cruz","[formerly part of Prov. Ñuflo de Chávez], 26 km NNE of Ascención de Guarayos on road to Urubichá.","-63.1","-15.68",NA,NA,"Magnoliophyta","Myrtales","dependens","(D.Don) J.F.Macbr.",NA,"Guarayos","190","190","J. J. Wurdack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1288598","PreservedSpecimen","Plantae","Melastomataceae","Clidemia","capitellata","Clidemia capitellata dependens","J. H. Kirkbride Jr.","2791","1977","02","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1758807' target='other'> <mi>dwc_moreinfo</mi></a>","NY01288598","Pará","Serra do Cachimbo. Roadside on BR 163, Cuiaba-Santarem road, km 879","-54.9717879","-8.7727094",NA,NA,"Magnoliophyta","Myrtales","dependens","(D.Don) J.F.Macbr.","NY01288598_01",NA,NA,NA,"J. J. Wurdack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","03257212","PreservedSpecimen","Plantae","Melastomataceae","Clidemia","capitellata","Clidemia capitellata","R. Borges","1093","2010","11","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3559260' target='other'> <mi>dwc_moreinfo</mi></a>","NY03257212","Mato Grosso do Sul","Povoado do Amolar; Capoeirinha. Campo cerrado com arvores esparsas e estrato herbaceo denso.","-57.5042","-18.0228",NA,NA,"Magnoliophyta","Myrtales",NA,"(Bonpl.) D.Don",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
