"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","class","identifiedBy","day","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","fieldNumber","individualCount","yearIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","previousCatalogNumber","monthIdentified","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","355845","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Persea","punctata","Persea punctata","Meisn.","isolectotype","L. Lund","s.n.","1834","06","South America","Brazil","In paludibus ad Batatoes.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617632' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355845","NY00355845_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","355846","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Persea","punctata","Persea punctata","Meisn.","holotype","L. Lund","s.n.","1834","06","South America","Brazil","In paludibus ad Batatoes.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617631' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355846","NY00355846_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:36:48-03","NBC","NL-BOTANY","L.1813199","PreservedSpecimen","Plantae",NA,"Laurales","Lauraceae","Persea","punctata","Persea punctata","Meisn.",NA,"Riedel L",NA,NA,NA,"Southern America","Brazil","Brasilia.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1813199 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1813199","NL-L1813199","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-02-02 14:38:25-02","BGBM","B","B 10 0185205","S","Plantae",NA,NA,"Lauraceae","Persea","punctata","Persea punctata","Meisn.","isotype","L. Riedel","1001/2234",NA,NA,"Middle and South America","Brazil",NA,NA,"Ex herbario horti Petropolitani; type determination by L.E. Kopp, 1956: also isotype of Persea splendens var. ß lanceolata Meisn. <a href=http://herbarium.bgbm.org/object/B100185205 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100185205","B100185205 B100185205_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-06 09:56:02-03","UFOP","OUPR","16565","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Persea","punctata","Persea punctata","Meisn.",NA,"Damazio, L.B.","s.n.",NA,NA,NA,"Brasil","Caminho do Pico de Itabira do Campo",NA,NA,NA,NA,NA,"Damazio, L.B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-11-06 09:56:02-03","UFOP","OUPR","16564","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Persea","punctata","Persea punctata","Meisn.",NA,"Magalhães-Gomes","s.n.","1895","12",NA,"Brasil","Ad Serra de Ouro Preto",NA,"Frutex. Per. flavescens",NA,NA,NA,"Magalhães-Gomes","22","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-09-03 19:06:32-03","MNHN","RECOLNAT_MNHN_P","P01752025","PreservedSpecimen",NA,NA,NA,"Lauraceae","Persea","punctata","Persea punctata","Meisn.",NA,"Glaziou, A.",NA,"1888","12",NA,"Brasil","BRÉSIL: (Rio Jan) Itabira do Campo. Brasil, América do Sul","hb",". . Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01752025' target='other'> <mi>dwc_moreinfo</mi></a>","P01752025","P01752025_01",NA,NA,"20",NA,NA,"-43.8037","-20.24966",NA,NA,"17727",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-09-03 19:06:32-03","MNHN","RECOLNAT_MNHN_P","P01752022","PreservedSpecimen",NA,NA,NA,"Lauraceae","Persea","punctata","Persea punctata","Meisn.",NA,"Loefgren, A.",NA,NA,NA,NA,"Brésil",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01752022' target='other'> <mi>dwc_moreinfo</mi></a>","P01752022","P01752022_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"847",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2015-09-03 19:06:32-03","MNHN","RECOLNAT_MNHN_P","P01752023","PreservedSpecimen",NA,NA,NA,"Lauraceae","Persea","punctata","Persea punctata","Meisn.",NA,"Riedel, L.",NA,"1870",NA,NA,"Brésil","Brasilia","hb","n°2234 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01752023' target='other'> <mi>dwc_moreinfo</mi></a>","P01752023","P01752023_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2015-09-03 19:06:32-03","MNHN","RECOLNAT_MNHN_P","P01752024","PreservedSpecimen",NA,NA,NA,"Lauraceae","Persea","punctata","Persea punctata","Meisn.",NA,"Burchell, W.J.",NA,NA,NA,NA,"Brésil","s.loc.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01752024' target='other'> <mi>dwc_moreinfo</mi></a>","P01752024","P01752024_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"8016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
