"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","county","decimalLongitude","decimalLatitude","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:36:11-03","E","E","259701","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","spruceanum","Aspidosperma spruceanum","isotype","Steinbach, José","7261","1925","10","02","W. Tropical South America","BO","Departamento Santa Cruz","Bosques de Buenavista, Prov. Sara.","450","450","herbarium specimen of unspecif","BGBASE:273195","<a href=http://data.rbge.org.uk/herb/E00259701 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259701",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:36:11-03","E","E","259704","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","spruceanum","Aspidosperma spruceanum","isolectotype","Spruce, Richard","2265",NA,NA,NA,"E. Tropical South America","BR","Amazonas","Prope San Gabriel da Cachoeira, ad Rio Negro, Brasiliae borealis.",NA,NA,"herbarium specimen of unspecif","BGBASE:273253","<a href=http://data.rbge.org.uk/herb/E00259704 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259704",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:36:11-03","E","E","259705","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","spruceanum","Aspidosperma spruceanum","unspecified kind of","Spruce, Richard","3328","1905","01","26","W. Tropical South America","VE","Amazonas","Ad flumina Casiquiari, Vasiva et Pacimoni.",NA,NA,"herbarium specimen of unspecif","BGBASE:273254","<a href=http://data.rbge.org.uk/herb/E00259705 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259705",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","440331","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","spruceanum","Aspidosperma spruceanum",NA,"H. C. de Lima","3523","1989","04","18","South America","Brazil","Rio de Janeiro","Distrito de Macaé de Cima, estrada para o Hotel Fazenda S. Joao, km 6-8","1300","1300","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=380707' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440331","Magnoliophyta","Gentianales","Benth. ex Müll.Arg.","W. Marcondes-Ferreira","Nova Friburgo","-42.5308","-22.2819","NY00440331_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","4177463","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","spruceanum","Aspidosperma spruceanum",NA,"J. A. Steyermark","86594","1960","07","23","South America","Venezuela","Bolívar","tall forest along road between km. 11 and km. 18.5, south of El Dorado","215",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4501095' target='other'> <mi>dwc_moreinfo</mi></a>","NY04177463","Magnoliophyta","Gentianales","Benth. ex Müll.Arg.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","4177480","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","spruceanum","Aspidosperma spruceanum",NA,"B. Maguire","30691","1951","01","03","South America","Venezuela","Amazonas","Cerro Yapacana, Río Orinoco","1200",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4501114' target='other'> <mi>dwc_moreinfo</mi></a>","NY04177480","Magnoliophyta","Gentianales","Benth. ex Müll.Arg.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02674891","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","spruceanum","Aspidosperma spruceanum",NA,"D. Piotto","2239","2010","06","10","South America","Brazil","Bahia","Parque Est. Serra do Conduru","120","300","Sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3671214' target='other'> <mi>dwc_moreinfo</mi></a>","NY02674891","Magnoliophyta","Gentianales","Benth. ex Müll.Arg.","D. Piotto","Uruçuca","-39.08","-14.42","NY02674891_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","297994","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","spruceanum","Aspidosperma spruceanum","isotype","R. Spruce","2265","1852",NA,NA,"South America","Brazil","Amazonas","Prope San Gabriel do Cachoeiros ad Rio Negro, Brasiliae borealis",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=380709' target='other'> <mi>dwc_moreinfo</mi></a>","NY00297994","Magnoliophyta","Gentianales","Benth. ex Müll.Arg.","W. Marcondes-Ferreira",NA,NA,NA,"NY00297994_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","4177482","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","spruceanum","Aspidosperma spruceanum",NA,"H. L. Clark","8088","1981","06","18","South America","Venezuela","Amazonas","San Carlos de Rio Negro, ca. 20 km S of confluence of Rio Negro and Brazo Casiquiare. IVIC main study site, 4.3 NNE on Solano road","119",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4501116' target='other'> <mi>dwc_moreinfo</mi></a>","NY04177482","Magnoliophyta","Gentianales","Benth. ex Müll.Arg.",NA,NA,"-67.05","1.93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","440337","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","spruceanum","Aspidosperma spruceanum",NA,"P. E. Berry","5913","1996","03","04","South America","Venezuela","Amazonas","South side of black-water Rio Guasacavi, 1/2-3 km south of Laja Suiza, first big granitic outcrop upstream from mouth of on north (right) side, 3-5 km SSW of Santa Cruz (direct air distance)","100","100","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=380702' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440337","Magnoliophyta","Gentianales","Benth. ex Müll.Arg.",NA,NA,NA,NA,"NY00440337_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
