"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","typeStatus"
"1","2021-04-05 14:24:45-03","UNESC","CRI","888","PreservedSpecimen","Plantae","Acanthaceae","Justicia","brasiliana","Justicia brasiliana","Roth","Marcos Sobral","1987","12","10","V. Citadini-Zanette; C. L. Capella & M. Batista","779","1987","12","10","Brasil","Santa Catarina","Camboriú","Ponta da Guada.","-48.655","-27.025833","48º39'18''W","27º1'33''S","50","50","CRI000024","CRI000024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:24:45-03","UNESC","CRI","12435","PreservedSpecimen","Plantae","Acanthaceae","Justicia","brasiliana","Justicia brasiliana","Roth","Peterson T. Padilha & Renato Colares","2017","07","17","Alexandre Medeiros","116","2017","04","20","Brasil","Santa Catarina","Balneário Camboriú","Praia do Estaleiro","-48.585","-27.023333","48º35'6''W","27º1'24''S",NA,NA,"CRI010642","CRI010642","Habito: Subarbusto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:13-03","UNESC","CRI","4749","PreservedSpecimen","Plantae","Acanthaceae","Justicia","brasiliana","Justicia brasiliana","Roth","Vanilde Citadini-Zanette","1996","03","02","Vanilde Citadini-Zanette; J. C. Caetano","2047","1996","03","02","Brasil","Santa Catarina","Governador Celso Ramos",NA,"-48.558889","-27.315833","48º33'32''W","27º18'57''S",NA,NA,"CRI000019","CRI000019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:24:45-03","UNESC","CRI","4830","PreservedSpecimen","Plantae","Acanthaceae","Justicia","brasiliana","Justicia brasiliana","Roth","Vanilde Citadini- Zanette","1996","03","02","V. Citadini-Zanette; J. C. Caetano","2100","1996","03","02","Brasil","Santa Catarina","Florianópolis","Costão do Santinho.","-48.48","-27.592222","48º28'48''W","27º35'32''S","150","150","CRI000017","CRI000017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:24:45-03","UNESC","CRI","3910","PreservedSpecimen","Plantae","Acanthaceae","Justicia","brasiliana","Justicia brasiliana","Roth","J. A. Jarenkow",NA,NA,NA,"J. A. Jarenkow","1122","1988","12","19","Brasil","Rio Grande do Sul","Pelotas","Praia da Barro Duro.","-52.359444","-31.776111","52º21'34''W","31º46'34''S","19","19","CRI000028","CRI000028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:35:42-03","E","E","104453","PreservedSpecimen","Plantae","Acanthaceae","Justicia","brasiliana","Justicia brasiliana",NA,NA,NA,NA,NA,"Luis, I.T.","2","1948","12","27","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00104453",NA,"<a href=http://data.rbge.org.uk/herb/E00104453 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:113686",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:35:42-03","E","E","104451","PreservedSpecimen","Plantae","Acanthaceae","Justicia","brasiliana","Justicia brasiliana",NA,NA,NA,NA,NA,"Morong, Thomas",NA,"1905","03","02","PY",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00104451",NA,"<a href=http://data.rbge.org.uk/herb/E00104451 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","W. Tropical South America","herbarium specimen of unspecif","BGBASE:113688",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:35:42-03","E","E","104454","PreservedSpecimen","Plantae","Acanthaceae","Justicia","brasiliana","Justicia brasiliana",NA,NA,NA,NA,NA,"Fiebrig, K.",NA,NA,NA,NA,"PY",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00104454",NA,"<a href=http://data.rbge.org.uk/herb/E00104454 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","W. Tropical South America","herbarium specimen of unspecif","BGBASE:113685",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:35:42-03","E","E","104455","PreservedSpecimen","Plantae","Acanthaceae","Justicia","brasiliana","Justicia brasiliana",NA,NA,NA,NA,NA,"Hassler, E.","11105","1905","03","27","PY",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00104455",NA,"<a href=http://data.rbge.org.uk/herb/E00104455 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","W. Tropical South America","herbarium specimen of unspecif","BGBASE:113684",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:35:42-03","E","E","104452","PreservedSpecimen","Plantae","Acanthaceae","Justicia","brasiliana","Justicia brasiliana",NA,NA,NA,NA,NA,"Fiebrig, K.","4662","1905","03","16","PY",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00104452",NA,"<a href=http://data.rbge.org.uk/herb/E00104452 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","W. Tropical South America","herbarium specimen of unspecif","BGBASE:113687",NA,NA,NA,NA,NA,NA,NA,NA,NA
