"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","recordNumber","minimumElevationInMeters","maximumElevationInMeters","imagecode","phylum","order","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","class","previousCatalogNumber","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2021-04-05 14:34:11-03","UNESC","CRI","15382","PreservedSpecimen","Plantae","Solanaceae","Brunfelsia","pauciflora","Brunfelsia pauciflora","(Cham. & Schltdl.) Benth.","Aline Votri Guislon","2020","10","29","Aline V. Guislon; Vanessa Domingos","2020","10","16","Brasil","Santa Catarina","Criciúma","Vila Macarini","-49.444444","-28.667222","49º26'40''W","28º40'2''S","Flor: corola roxa e cálice verde. Espécie com frequência comum. Habitat: Ciófito Habito: Subarbustivo","CRI014799",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:26:07-03","UNESC","CRI","3342","PreservedSpecimen","Plantae","Solanaceae","Brunfelsia","pauciflora","Brunfelsia pauciflora","(Cham. & Schltdl.) Benth.","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Ricardo Ribeiro Rodrigues","1992","10","15","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S",NA,"CRI007553","1943","300","300","CRI007553",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:26:07-03","UNESC","CRI","12162","PreservedSpecimen","Plantae","Solanaceae","Brunfelsia","pauciflora","Brunfelsia pauciflora","(Cham. & Schltdl.) Benth.","Korte, A","2009","10","15","Korte, A.; Kniess, A.","2009","10","15","Brasil","Santa Catarina","Presidente Nereu","Braço Thieme.","-49.320833","-27.271667","49º19'15''W","27º16'18''S","Florística IFFSC 465 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: arbustiva; flor lilás","CRI010340","461","458","458","CRI010340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-29 13:30:00-03","NY","NYBG","655922","PreservedSpecimen","Plantae","Solanaceae","Brunfelsia","pauciflora","Brunfelsia pauciflora",NA,"T. C. Plowman",NA,NA,NA,"H. F. L. Filho","1976","10","08","Brazil","São Paulo",NA,"Ca. 10km SW de Jundiaí. Serra do Japí.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=461698' target='other'> <mi>dwc_moreinfo</mi></a>","NY00655922","3218",NA,NA,"NY00655922_01","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 20:08:00-03","NY","NYBG","687491","PreservedSpecimen","Plantae","Solanaceae","Brunfelsia","pauciflora","Brunfelsia pauciflora",NA,"M. G. Bovini",NA,NA,NA,"S. J. Gomes da Silva","1990","10","18","Brazil","São Paulo","Cananéia","Ilha do Cardodo, Morro da Captação.","-47.9197","-25.0103",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=875944' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687491","88",NA,NA,"NY00687491_01","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 13:30:00-03","NY","NYBG","655989","PreservedSpecimen","Plantae","Solanaceae","Brunfelsia","pauciflora","Brunfelsia pauciflora",NA,"A. C. Cervi",NA,NA,NA,"A. C. Cervi","1986","10","24","Brazil","Paraná","Antonina","Reserva Biológica de Sapindatuva.","-48.72","-25.42",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=461702' target='other'> <mi>dwc_moreinfo</mi></a>","NY00655989","2391",NA,NA,"NY00655989_01","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 13:30:00-03","NY","NYBG","655923","PreservedSpecimen","Plantae","Solanaceae","Brunfelsia","pauciflora","Brunfelsia pauciflora",NA,"T. C. Plowman",NA,NA,NA,"T. C. Plowman","1969","05","17","Brazil","Santa Catarina","Itajaí","Morra da Fazenda.","-48.6617","-26.9081",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=461704' target='other'> <mi>dwc_moreinfo</mi></a>","NY00655923","2739","100","100","NY00655923_01","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","655931","PreservedSpecimen","Plantae","Solanaceae","Brunfelsia","pauciflora","Brunfelsia pauciflora","(Cham. & Schltdl.) Benth.","T. C. Plowman",NA,NA,NA,"G. G. Hatschbach","1965","10","29","Brazil","Paraná","Campina Grande do Sul","Rio Pardinho","-49.0553","-25.3058",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=461707' target='other'> <mi>dwc_moreinfo</mi></a>","NY00655931","13055",NA,NA,"NY00655931_01","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-29 13:30:00-03","NY","NYBG","655927","PreservedSpecimen","Plantae","Solanaceae","Brunfelsia","pauciflora","Brunfelsia pauciflora",NA,"T. C. Plowman",NA,NA,NA,"J. C. Lindeman","1966","08","06","Brazil","Paraná",NA,"E of Cerro Azul.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=461708' target='other'> <mi>dwc_moreinfo</mi></a>","NY00655927","2070","500","500","NY00655927_01","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1017192","PreservedSpecimen","Plantae","Solanaceae","Brunfelsia","pauciflora","Brunfelsia pauciflora","(Cham. & Schltdl.) Benth.","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","1968","10","08","Brazil","Paraná","Quatro Barras","Rio Taquart","-49.0767","-25.3658",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1200278' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017192","19937","1100","1100","NY01017192_01","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","655925","PreservedSpecimen","Plantae","Solanaceae","Brunfelsia","pauciflora","Brunfelsia pauciflora","(Cham. & Schltdl.) Benth.","T. C. Plowman",NA,NA,NA,"P. E. Berry","1985","01","28","Brazil","Paraná","Antonina","Reserva Biológica de Sapitanduva (property of Gert Hatschbach).","-48.72","-25.42",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=461700' target='other'> <mi>dwc_moreinfo</mi></a>","NY00655925","4498","80","80","NY00655925_01","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","655933","PreservedSpecimen","Plantae","Solanaceae","Brunfelsia","pauciflora","Brunfelsia pauciflora","(Cham. & Schltdl.) Benth.","T. C. Plowman",NA,NA,NA,"G. G. Hatschbach","1977","10","29","Brazil","Paraná","Morretes","Estr. da Graciosa, Grota Funda.","-48.8342","-25.4769",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=461701' target='other'> <mi>dwc_moreinfo</mi></a>","NY00655933","40004",NA,NA,"NY00655933_01","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","655936","PreservedSpecimen","Plantae","Solanaceae","Brunfelsia","pauciflora","Brunfelsia pauciflora","(Cham. & Schltdl.) Benth.","T. C. Plowman",NA,NA,NA,"P. K. H. Dusén","1910","10","16","Brazil","Paraná","Ponta Grossa",NA,"-50.1617","-25.095",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=461706' target='other'> <mi>dwc_moreinfo</mi></a>","NY00655936","10354",NA,NA,"NY00655936_01","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00655935","PreservedSpecimen","Plantae","Solanaceae","Brunfelsia","pauciflora","Brunfelsia pauciflora","(Cham. & Schltdl.) Benth.",NA,NA,NA,NA,"P. K. H. Dusén","1911","11","07","Brazil","Paraná",NA,"Carvalho","-48.981355","-25.49628",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2765085' target='other'> <mi>dwc_moreinfo</mi></a>","NY00655935","s.n.",NA,NA,"NY00655935_01","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","655932","PreservedSpecimen","Plantae","Solanaceae","Brunfelsia","pauciflora","Brunfelsia pauciflora","(Cham. & Schltdl.) Benth.","T. C. Plowman",NA,NA,NA,"G. G. Hatschbach","1969","10","31","Brazil","Paraná","Campina Grande do Sul","Serra Capivari Grande.","-49.0553","-25.3058",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=461705' target='other'> <mi>dwc_moreinfo</mi></a>","NY00655932","22771","1300","1300","NY00655932_01","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","655924","PreservedSpecimen","Plantae","Solanaceae","Brunfelsia","pauciflora","Brunfelsia pauciflora","(Cham. & Schltdl.) Benth.",NA,NA,NA,NA,"R. R. Rodrigues","1982","11","17","Brazil","São Paulo","Iguape","Est. Ecol. de Juréia.","-47.299","-24.468",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=461709' target='other'> <mi>dwc_moreinfo</mi></a>","NY00655924","14943",NA,NA,"NY00655924_01","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2016-09-29 20:08:00-03","NY","NYBG","687492","PreservedSpecimen","Plantae","Solanaceae","Brunfelsia","pauciflora","Brunfelsia pauciflora",NA,"T. C. Plowman",NA,NA,NA,"O. Handro","1945","09","27","Brazil","São Paulo",NA,"Capital, Jabaquara.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=875946' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687492","s.n.",NA,NA,"NY00687492_01","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-09-29 13:30:00-03","NY","NYBG","655926","PreservedSpecimen","Plantae","Solanaceae","Brunfelsia","pauciflora","Brunfelsia pauciflora",NA,"T. C. Plowman",NA,NA,NA,"J. P. P. Carauta","1974","10","22","Brazil","São Paulo","Campos do Jordao","Parque Est. Campos de Jordao, Paiol, perto da divisa com Minas Gerais.","-45.59","-22.73",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=461699' target='other'> <mi>dwc_moreinfo</mi></a>","NY00655926","1733",NA,NA,"NY00655926_01","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2016-09-30 05:53:00-03","NY","NYBG","1281344","PreservedSpecimen","Plantae","Solanaceae","Brunfelsia","pauciflora","Brunfelsia pauciflora",NA,"L. de F. de Carvalho",NA,NA,NA,"H. C. de Lima","1997","12","14","Brazil","Rio de Janeiro","Nova Friburgo","Macaé de Cima. Estrada para o Sítio Baccus, ca. 800 m após a porteira.","-42.53333","-22.50833",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1687650' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281344","5524",NA,NA,"NY01281344_01","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","655937","PreservedSpecimen","Plantae","Solanaceae","Brunfelsia","pauciflora","Brunfelsia pauciflora pauciflora","(Cham. & Schltdl.) Benth.","T. C. Plowman",NA,NA,NA,"P. K. H. Dusén","1909","11","18","Brazil","Paraná",NA,"Carvalho.","-48.981355","-25.49628",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500224' target='other'> <mi>dwc_moreinfo</mi></a>","NY00655937","8961",NA,NA,"NY00655937_01","Magnoliophyta","Solanales","South America","sheet","pauciflora",NA,NA,NA,NA,NA,NA,NA,NA
