"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-04-05 14:25:00-03","UNESC","CRI","1181","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","regnellii","Piptocarpha regnellii","(Sch.Bip.) Cabrera","Renato Colares","2020","01","09","Vanilde Citadini-Zanette; Aurélio José de Aguiar","1430","1991","07","27","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","Habitat: beira de mata atlântica secundária de encosta Habito: árvore","CRI001477","CRI001477",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:00-03","UNESC","CRI","3319","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","regnellii","Piptocarpha regnellii","(Sch.Bip.) Cabrera","Renato Colares","2020","01","09","Vanilde Citadini-Zanette; Clair Maria Martinello","1926","1991","07","27","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","Habitat: mata atlântica secundária de encosta Habito: árvore","CRI001459","CRI001459",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:19-03","UNESC","CRI","8916","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","regnellii","Piptocarpha regnellii","(Sch.Bip.) Cabrera","A. Korte","2009","11","10","A. Korte; A. Kniess","910","2009","11","10","Brasil","Santa Catarina","Presidente Nereu","Rio Novo.","-49.388889","-27.278889","49º23'20''W","27º16'44''S","389","389","Habito: árvore","CRI001095","CRI001095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:00-03","UNESC","CRI","10135","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","regnellii","Piptocarpha regnellii","(Sch.Bip.) Cabrera","E.K.O. Hattori","2012","03","05","A.L. de Gasper; A.T. Oliveira-Filho, M.L. Bueno, B.S.S. Leal & V.L. Rezende","2773","2011","03","21","Brasil","Minas Gerais","Delfim Moreira","Trilha dos Romeiros, próximo a Mata do Barão.","-45.280278","-22.509722","45º16'49''W","22º30'35''S","1598","1598","Floresta Atlântica Habitat: beira de estrada Habito: arbórea","CRI001096","CRI001096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:19-03","UNESC","CRI","6149","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","regnellii","Piptocarpha regnellii","(Sch.Bip.) Cabrera","S. Dreveck","2009","07","02","S. Dreveck; F. E. Carneiro","1011","2009","07","02","Brasil","Santa Catarina","Itaiópolis",NA,"-49.769444","-26.640833","49º46'10''W","26º38'27''S",NA,NA,NA,"CRI001468","CRI001468",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:37:59-03","E","E","83111","PreservedSpecimen","Plantae","Compositae","Piptocarpha","regnellii","Piptocarpha regnellii",NA,NA,NA,NA,NA,"Ribas, O.S., Silva, J.M. & Barbosa, E.","1483","1996","08","17","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00083111 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00083111",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:91484",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","798079","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","regnellii","Piptocarpha regnellii","(Sch.Bip.) Cabrera","A. Uhlmann",NA,NA,NA,"G. Gatti",NA,"1997","10","14","Brazil","Paraná","Telêmaco Borba","Parque Ecológico/ Klabin","-50.57","-24.33",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=245153' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798079","NY00798079_01","South America","sheet",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","798070","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","regnellii","Piptocarpha regnellii","(Sch.Bip.) Cabrera","Á. L. Cabrera",NA,NA,NA,"R. Reitz","7099","1958","09","12","Brazil","Santa Catarina","Rio do Sul","Alto Matador, Rio do Sul","-49.563988","-27.247405",NA,NA,"800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=245155' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798070","NY00798070_01","South America","sheet",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","798083","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","regnellii","Piptocarpha regnellii","(Sch.Bip.) Cabrera","H. E. Robinson",NA,NA,NA,"R. Kummrow","2798","1986","09","09","Brazil","Paraná","Campo Largo","Ferraria","-49.5281","-25.4586",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=245148' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798083","NY00798083_01","South America","sheet",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02423561","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","regnellii","Piptocarpha regnellii","(Sch.Bip.) Cabrera",NA,NA,NA,NA,"C. T. Blum","10039","2010","08","15","Brazil","Paraná","Tijucas do Sul","Remanecentes florestais marginais a represa de Vossoroca","-49.0736","-25.8242",NA,NA,"850",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2668899' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423561","NY02423561_01","South America","sheet",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA
