"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","relationshipType","relatedCatalogItem","class","individualCount","typeStatus"
"1","2021-04-05 14:24:58-03","UNESC","CRI","14363","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","reitzianus","Lessingianthus reitzianus","(Cabrera) H.Rob.","Funez, L.A.","2017","12","05","Schwirkowski, P.","2138","2016","11","26","Brasil","Santa Catarina","São Bento do Sul","Minas de caulin. Minas de caulin. Próximo às minas de caulim.","-49.224722","-26.290833","49º13'29''W","26º17'27''S","1050","1050","Campo de altitude com capões de FOM Altomontana Habitat: Campo de altitude Habito: Arbusto","CRI013462","CRI013462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","805243","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","reitzianus","Lessingianthus reitzianus","(Cabrera) H.Rob.",NA,NA,NA,NA,"G. G. Hatschbach","39206","1976","11","18","Brazil","Paraná","Piraí do Sul","Joaquim Murtinho.","-49.9483","-24.5261",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=799355' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805243","NY00805243_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"3","2019-12-04 15:24:51-03","PUCPR","HUCP","6623","S","Plantae","Asteraceae","Lessingianthus","reitzianus","Lessingianthus reitzianus","(Cabrera.) H.Rob.","Mendes, C; Acra, LA",NA,NA,NA,"Mendes, C","s.n.","1985","09","24","Brasil","Paraná","Capão Alegre","Rodovia BR 277, Km 56.",NA,NA,NA,NA,NA,NA,NA,"HUCP00008478","HUCP00008478","Eudicotiledonea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-04 15:24:51-03","PUCPR","HUCP","6617","S","Plantae","Asteraceae","Lessingianthus","reitzianus","Lessingianthus reitzianus","(Cabrera.) H.Rob.","Acra, LA; Silva, CBX",NA,NA,NA,"W.H.","s.n.","1985","10","15","Brasil","Paraná","Curitiba","Estrada São Mateus","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,"HUCP00008530","HUCP00008530","Eudicotiledonea",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA
"5","2019-12-04 15:24:51-03","PUCPR","HUCP","15673","S","Plantae","Asteraceae","Lessingianthus","reitzianus","Lessingianthus reitzianus","(Cabrera.) H.Rob.","Potrich, FB",NA,NA,NA,"Dolniak, DO","s.n.","2003","10","18","Brasil","Paraná","São José dos Pinhais","Colônia Murici","-49.2064018249512","-25.5347003936768",NA,NA,NA,NA,NA,"HUCP00008514","HUCP00008514","Eudicotiledonea",NA,NA,NA,"45291","auto",NA,NA,NA,NA,NA
"6","2019-12-19 08:07:58-03","FPS","FPS","2710","MachineObservation","Plantae","Asteraceae","Lessingianthus","reitzianus","Lessingianthus reitzianus","(Cabrera) H.Rob.","Funez, L.A.","2017","12","05","Schwirkowski, P.","2138","2016","11","26","Brasil","Santa Catarina","São Bento do Sul","Minas de caulin.","-49.224649","-26.290754","-49.224649","-26.290754",NA,NA,NA,"FPS02710,MBM423687,FURB55471","FPS02710_v01 FPS02710_v02 FPS02710_v03 FPS02710_v04 FPS02710_v05 FPS02710_v06 FPS02710_v07 FPS02710_v08 FPS02710_v09 FPS02710_v10 FPS02710_v11 FPS02710_v12 FPS02710_v13 FPS02710_v14 FPS02710_v15 FURB55471",NA,NA,NA,NA,NA,NA,"voucher","FURB 55471, MBM 423687",NA,NA,NA
"7","2019-11-08 08:49:56-03","FURB","FURB","50345","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","reitzianus","Lessingianthus reitzianus","(Cabrera) H.Rob.","Funez, L.A.","2015",NA,NA,"Funez, L.A.; Trevisan, R.; Venturi, S. & Ferreira, J.P.R.","4041","2014","11","04","Brasil","Santa Catarina","Garuva","Alto Quiriri.","-48.9544444","-26.0391666","-48.9544444","-26.0391666","1200","1200",NA,"FURB50345","FURB50345",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-10-14 09:59:13-03","FURB","FURB","55471","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","reitzianus","Lessingianthus reitzianus","(Cabrera) H.Rob.","Funez, L.A.","2017","12","05","Schwirkowski, P.","2138","2016","11","26","Brasil","Santa Catarina","São Bento do Sul","Minas de caulin. Próximo às minas de caulim.","-49.2247223","-26.2908333","-49.2247223","-26.2908333","950","950","Campo de altitude com capões de FOM Altomontana Habitat: Campo de altitude Habito: Arbusto","FURB55471","FURB55471",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-08-16 08:38:36-03","UTFPR","HCF","9953","S","Plantae","Asteraceae","Lessingianthus","reitzianus","Lessingianthus reitzianus","(Cabrera) H.Rob.","J. Cordeiro & A.C. Picoli","2013",NA,NA,"M. Parolin",NA,"2011","12","01","Brasil","PR","Balsa Nova","Serra São Luis do Purunã","-49.650278","-25.436417","49°39'01 W","25°26'11,1 S","1183","1183","erva heliófita, ca. 0,25 m, xilopodífera. Capítulos roxos. Código: 1G.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:16:27-03","MBM","MBM","219905","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","reitzianus","Lessingianthus reitzianus","(Cabrera) H. Rob.","Robinson, H.",NA,NA,NA,"Ribas, O.S.; Cordeiro, J.; Barboza, E.; Cordeiro, J.; Barboza, E.","2287","1998","01","14","Brazil","Santa Catarina","Campo Alegre","Serra do Quiriri, Pedra da Flor","-49.2655982971191","-26.1924991607666",NA,NA,NA,NA,NA,"MBM219905","MBM219905",NA,NA,"Southern America",NA,"37493","auto",NA,NA,NA,NA,NA
"11","2020-12-21 16:16:27-03","MBM","MBM","273291","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","reitzianus","Lessingianthus reitzianus","(Cabrera) H. Rob.","Hashimoto, G.",NA,NA,NA,"Hashimoto, G.; et al.; et al.","31525","2002","03","23","Brazil","São Paulo","São Roque","Porta do Sol","-47.1300010681152","-23.5200004577637",NA,NA,NA,NA,NA,"MBM273291","MBM273291",NA,NA,"Southern America",NA,"15567","auto",NA,NA,NA,NA,NA
"12","2020-12-21 16:16:27-03","MBM","MBM","382931","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","reitzianus","Lessingianthus reitzianus","(Cabrera) H. Rob.","Cordeiro, J.; Picoli, A.C.","2013",NA,NA,"Parolin, M.","s.n.","2011","12","01","Brazil","Paraná","Balsa Nova","Serra São Luiz do Purunã","-49.650278","-25.436417","-49.650278","-25.436417","1183","1183","Erva heliófita, ca. 0,25m, xilopodífera. Capítulos roxos.; Estepe (campos gerais). Relevo ondulado.","MBM382931","MBM382931",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:16:27-03","MBM","MBM","405329","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","reitzianus","Lessingianthus reitzianus","(Cabrera) H. Rob.","Lozano, E.D.","2016",NA,NA,"Lozano, E.D.; Saridakis, D.P.; Saridakis, D.P.","1963","2013","11","27","Brazil","Paraná","Piraí do Sul","Pousada Pirahy da Serra, no entorno","-50.020306","-24.466972","-50.020306","-24.466972",NA,NA,"Herbácea, 25 cm, capítulos roxos, campo limpo.; Campos Gerais.","MBM405329","MBM405329",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:16:27-03","MBM","MBM","408816","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","reitzianus","Lessingianthus reitzianus","(Cabrera) H. Rob.","Barboza, E.","2017","03","31","Silva, J.M.; Brotto, M.L.; Brotto, M.L.","9166","2015","11","26","Brazil","Santa Catarina","Garuva","Serra do Quiriri","-48.963889","-26.029722","-48.963889","-26.029722","1300","1300","Erva xilopodífera; capítulo vinoso.; Campo de altitude.","MBM408816",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA
