"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","recordNumber","continentOcean","stateProvince","preparationType","occurrenceRemarks","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","previousCatalogNumber","typeStatus","individualCount","class"
"1","2021-04-05 14:24:54-03","UNESC","CRI","1876","PreservedSpecimen","Plantae","Asteraceae","Baccharis","arassatubaensis","Baccharis arassatubaensis","Malag.","O. L. Bueno","R. Reitz; R. M. Klein","1960","11","04","Brasil","Brasil","Morro do Campo Alegre.","-48.638333","-26.243889","48º38'18''W","26º14'38''S","32","32","CRI000720","CRI000720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","781815","PreservedSpecimen","Plantae","Asteraceae","Baccharis","aracatubaensis","Baccharis aracatubaensis","Malag.","G. Heiden","G. G. Hatschbach","1970","10","14","Brazil","Piraquara","Serra do Emboque.","-49.0631","-25.4419",NA,NA,"1200","1200","NY00781815","NY00781815_01","Magnoliophyta","Asterales","24945","South America","Paraná","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=156844' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","782048","PreservedSpecimen","Plantae","Asteraceae","Baccharis","aracatubaensis","Baccharis aracatubaensis","Malag.","G. Heiden","G. G. Hatschbach","1959","05","24","Brazil","Guaratuba","Serra de Araçatuba.","-48.5744","-25.8831",NA,NA,"1350","1350","NY00782048","NY00782048_01","Magnoliophyta","Asterales","5885","South America","Paraná","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=166548' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","781931","PreservedSpecimen","Plantae","Asteraceae","Baccharis","aracatubaensis","Baccharis aracatubaensis","Malag.","G. Heiden","R. Reitz","1948","12","21","Brazil","Bom Retiro","Campo dos Padres.","-49.4892","-27.7972",NA,NA,"1800","1800","NY00781931","NY00781931_01","Magnoliophyta","Asterales","2658","South America","Santa Catarina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=149797' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1016803","PreservedSpecimen","Plantae","Asteraceae","Baccharis","aracatubensis","Baccharis aracatubensis","Malag. & Hatschb.","G. G. Hatschbach","E. Barbosa","2000","04","08","Brazil","Guaratuba","Serra do Araçatuba.","-48.5744","-25.8831",NA,NA,NA,NA,"NY01016803","NY01016803_01","Magnoliophyta","Asterales","442","South America","Paraná","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1193402' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-04 15:24:46-03","PUCPR","HUCP","21417","S","Plantae","Asteraceae","Baccharis","aracatubensis","Baccharis aracatubensis","Malag. & Hatschbach","Barboza, E","Poliquesi, CB; Cruz, JM","1994","11","09","Brasil","Guaratuba","Serra do Araçatuba","-48.5746994018555","-25.8827991485596",NA,NA,NA,NA,"HUCP00007270","HUCP00007270","Eudicotiledonea",NA,"213",NA,"Paraná",NA,NA,"41937","auto",NA,NA,NA,NA,NA,NA,NA
"7","2019-12-04 15:24:46-03","PUCPR","HUCP","19813","S","Plantae","Asteraceae","Baccharis","aracatubensis","Baccharis aracatubensis","Malag. & Hatschbach","Selusniaki, M","Selusniaki, M","2008","06","14","Brasil","Piraquara","Morro do Canal","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,"HUCP00005886","HUCP00005886","Eudicotiledonea",NA,"2125",NA,"Paraná",NA,NA,"12577","auto",NA,NA,NA,NA,NA,NA,NA
"8","2019-12-04 15:24:46-03","PUCPR","HUCP","19806","S","Plantae","Asteraceae","Baccharis","aracatubensis","Baccharis aracatubensis","Malag. & Hatschbach","Selusniaki, M","Selusniaki, M","2008","07","14","Brasil","Piraquara","Morro do Canal","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,"HUCP00006336","HUCP00006336","Eudicotiledonea",NA,"2198",NA,"Paraná",NA,NA,"12577","auto",NA,NA,NA,NA,NA,NA,NA
"9","2019-12-04 15:24:46-03","PUCPR","HUCP","19078-B","S","Plantae","Asteraceae","Baccharis","aracatubensis","Baccharis aracatubensis","Malag. & Hatschbach","Selusniaki, M","Selusniaki, M","2007","11","15","Brasil","Piraquara","Morro do Canal","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,NA,NA,"Eudicotiledonea",NA,"1542",NA,"Paraná",NA,NA,"12577","auto",NA,NA,NA,NA,NA,NA,NA
"10","2019-12-04 15:24:46-03","PUCPR","HUCP","21179","S","Plantae","Asteraceae","Baccharis","aracatubensis","Baccharis aracatubensis","Malag. & Hatschbach","Selusniaki, M","Selusniaki, M","2008","05","17","Brasil","Tijucas do Sul","Morro dos Perdidos","-49.1988983154297","-25.9281005859375",NA,NA,NA,NA,"HUCP00005935","HUCP00005935","Eudicotiledonea",NA,"2097",NA,"Paraná",NA,NA,"25228","auto",NA,NA,NA,NA,NA,NA,NA
