"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","class","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","859520","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lepidaploa","gnaphalioides","Lepidaploa gnaphalioides","(Sch.Bip. ex Baker) H.Rob.","H. S. Irwin","29058","1971","01","25","South America","Brazil","Minas Gerais","Serra do Espinhaço, sandstone summit of Serra de Caraça","-43.508849","-20.130068","1750","1950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959378' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859520","NY00859520_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","859521","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lepidaploa","gnaphalioides","Lepidaploa gnaphalioides","(Sch.Bip. ex Baker) H.Rob.","L. Emygdio de Mello Filho","3538","1972","07","21","South America","Brazil","Minas Gerais","Caraça. Alto da Carapuça.","-43.4881089","-20.0987894","2030","2030","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959394' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859521","NY00859521_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-01-28 13:11:01-03","MCN-PUC-MINAS","HPUC-MG","ANG3378","S","Plantae",NA,NA,"Asteraceae","Lepidaploa","gnaphalioides","Lepidaploa gnaphalioides",NA,"M.F.Vasconcelos","15-123","2015","04","19",NA,"Brasil","Minas Gerais","Pico da Canjerana, Serra do Caraça - Município de Santa Bárbara","-43.5","-20.133333",NA,NA,NA,NA,NA,NA,"M.Castro","Santa Bárbara","43°30'W","20°08'S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-08 17:37:11-03","EAO","IAN","34790","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Vernonia","gnaphalioides","Vernonia gnaphalioides","Sch.Bip.","Martins-da-Silva, RCV","729",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"IAN034790","IAN034790_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-08-20 10:07:14-03","UNICAMP","UEC","34333","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonia","gnaphalioides","Vernonia gnaphalioides","Sch.Bip. ex Baker","Leitão Filho, HF","15426","1983","12","09",NA,"Brazil","Minas Gerais","Cachoeira da Fumaça e Serra de Carrancas, Cerrado.","-44.6425018310547","-21.4874992370605",NA,NA,NA,"Subarbusto até 40 cm.; capítulos velhos.",NA,NA,NA,"Carrancas",NA,NA,"1992","05","21143","auto",NA,NA,NA,NA,NA
"6","2020-03-12 10:29:00-03","UFOP","OUPR","34170","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lepidaploa","gnaphalioides","Lepidaploa gnaphalioides","(Sch.Bip. ex Baker) H.Rob.","Pedrosa, L.G.","1646","2019","05","26",NA,"Brasil","Minas Gerais","Parque Estadual do Itacolomi",NA,NA,NA,NA,NA,"Erva, 70cm. Flores lilases. Campo rupestre.",NA,NA,"Pedrosa, L.G.","Ouro Preto/ Mariana",NA,NA,"2019","05",NA,NA,"26",NA,NA,NA,NA
"7","2019-11-05 16:44:55-03","UFOP","OUPR","31328","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lepidaploa","gnaphalioides","Lepidaploa gnaphalioides","(Sch.Bip. ex Baker) H.Rob.","Pedrosa, L.G.","390","2018","06","07",NA,"Brasil","Minas Gerais","APA Estadual Cachoeira das Andorinhas","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Subarbusto, 60cm. Flores alvas.",NA,NA,"Nakajima, J.N.","Ouro Preto",NA,NA,"2019","06","44599","auto",NA,NA,NA,NA,NA
"8","2019-11-05 16:44:55-03","UFOP","OUPR","31420","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lepidaploa","gnaphalioides","Lepidaploa gnaphalioides","(Sch.Bip. ex Baker) H.Rob.","Pedrosa, L.G.","479","2018","06","23",NA,"Brasil","Minas Gerais","Falcão","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Subarbusto, ca. 0,6-1m. Flores brancas. Campo rupestre.",NA,NA,"Pedrosa, L.G.","Ouro Preto",NA,NA,"2019","04","44599","auto","16",NA,NA,NA,NA
"9","2019-11-05 16:44:55-03","UFOP","OUPR","3177","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lepidaploa","gnaphalioides","Lepidaploa gnaphalioides","(Sch.Bip. ex Baker) H.Rob.","Badini, J.","s.n.","1973","04","07",NA,"Brasil","Minas Gerais","Itacolomi","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,NA,NA,"Almeida, G.; Dematteis, M.","Ouro Preto",NA,NA,"2012",NA,"44599","auto",NA,NA,NA,NA,NA
"10","2019-11-05 16:44:55-03","UFOP","OUPR","25121","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lepidaploa","gnaphalioides","Lepidaploa gnaphalioides","(Sch.Bip. ex Baker) H.Rob.","Badini, J.","s.n.","1979","06","09",NA,"Brasil","Minas Gerais","Itacolomi","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Campo. Erva. Flore rubras",NA,NA,"Almeida, G.; Dematteis, M.","Ouro Preto",NA,NA,"2012",NA,"44599","auto",NA,NA,NA,NA,NA
