"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","infraspecificEpithet","typeStatus","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","individualCount","fieldNumber","sex"
"1","2020-09-23 10:41:25-03","E","E","162470","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata","Fiebrig, K.","872","1903","01","31","E. Tropical South America","PY","herbarium specimen of unspecif","BGBASE:170259","<a href=http://data.rbge.org.uk/herb/E00162470 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00162470",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:25-03","E","E","162467","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata","Fiebrig, K.","872","1903","01","31","E. Tropical South America","PY","herbarium specimen of unspecif","BGBASE:170262","<a href=http://data.rbge.org.uk/herb/E00162467 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00162467",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:25-03","E","E","162468","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata","Fiebrig, K.","872","1903","01","31","E. Tropical South America","PY","herbarium specimen of unspecif","BGBASE:170261","<a href=http://data.rbge.org.uk/herb/E00162468 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00162468",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:25-03","E","E","162472","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata","Fiebrig, K.","6192",NA,NA,NA,"E. Tropical South America","PY","herbarium specimen of unspecif","BGBASE:170257","<a href=http://data.rbge.org.uk/herb/E00162472 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00162472",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","407176","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata","A. Sehnem","14597","1975","03","29","South America","Brazil","sheet",NA,"71021 stamped on label preceded by something unreadable <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=399040' target='other'> <mi>dwc_moreinfo</mi></a>","NY00407176","Magnoliophyta","Malvales","Cav.","Rio Grande do Sul","Santana da Boa Vista","Faz. Passo da Chácara-St. Ana Boa","-53.1153","-30.8719","NY00407176_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","7231","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata longifolia","A. F. Regnell","Ser. II No.16","1866","01","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=727766' target='other'> <mi>dwc_moreinfo</mi></a>","NY00007231","Magnoliophyta","Malvales","Gürke","Minas Gerais","Caldas","Cidade de Caldas","-46.3858","-21.9236","NY00007231_01","longifolia","isolectotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","407180","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata","A. Isabelle","24","1833",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=399045' target='other'> <mi>dwc_moreinfo</mi></a>","NY00407180","Magnoliophyta","Malvales","Cav.","Rio Grande do Sul",NA,"Brésil Méridional",NA,NA,"NY00407180_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","407179","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata","G. G. Hatschbach","13794","1966","02","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=399041' target='other'> <mi>dwc_moreinfo</mi></a>","NY00407179","Magnoliophyta","Malvales","Cav.","Paraná","Sao Mateus do Sul","S. Mateus do Sul","-50.3828","-25.8744","NY00407179_01",NA,NA,"L. B. Smith","760","760",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","407182","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata","S. G. Tressens","3286","1987","05","31","South America","Argentina","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=399046' target='other'> <mi>dwc_moreinfo</mi></a>","NY00407182","Magnoliophyta","Malvales","Cav.","Corrientes","Ituzaingó","Ea. Santa Rita, afluente del ayo. Naembé","-56.7","-27.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","221917","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata","P. Commerson","246",NA,NA,NA,"South America","Argentina","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=399042' target='other'> <mi>dwc_moreinfo</mi></a>","NY00221917","Magnoliophyta","Malvales","Cav.",NA,NA,"Buenos Aires et Montevideo",NA,NA,"NY00221917_01",NA,"possible type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
