"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","recordNumber","locality","coordinatePrecision","geoFlag"
"1","2021-01-14 15:25:52-03","MN","R","224120","PreservedSpecimen","Plantae","Bromeliaceae","Fernseea","bocainensis","Fernseea bocainensis","E. Pereira & Moutinho","Neves, B.F.S.","2015","05","21","Neves, B.F.S. 313; Kessous, I.M.","2015","05","06","Brasil","São Paulo","Bananal","-44.448611","-22.873889","44°26'55W","22°52'26S","R010005793","R010005793",NA,NA,NA,NA
"2","2019-11-21 10:02:37-03","IBt","SP","374423","S","Plantae","Bromeliaceae","Fernseea","bocainensis","Fernseea bocainensis","E.Pereira & Moutinho","Moreira, BA","2004","09",NA,"Ameixeiro, C","2004","09","30","Brasil","São Paulo",NA,NA,NA,NA,NA,"SP051794","SP051794","s.n.","Parque Nacional da Bocaina",NA,NA
"3","2019-11-21 10:02:37-03","IBt","SP","277166","S","Plantae","Bromeliaceae","Fernseea","bocainensis","Fernseea bocainensis","E.Pereira & Moutinho","Wanderley, MGL","1995","04","04","Catharino, ELM","1993","11","01","Brasil","São Paulo","Bananal","-44.3199996948242","-22.6800003051758",NA,NA,"SP051795","SP051795","2064","Alto Vale do Rio Paca (Bracuhy), Fazenda Dr. Rui (Coroa Brastel).","26795","auto"
