"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","county","decimalLongitude","decimalLatitude","identifiedBy","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","03136973","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Ochnaceae","Quiina","cidiana","Quiina cidiana","J.V.Schneid. & Zizka","C. A. Cid Ferreira","8513","1986","11","24","South America","Brazil","São Paulo","Alto rio Solimões, de Olivenca platô ao sul da cidade, estrada para a localidade Bom Fim.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3377551' target='other'> <mi>dwc_moreinfo</mi></a>","NY03136973",NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","03136972","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Ochnaceae","Quiina","cidiana","Quiina cidiana","J.V.Schneid. & Zizka","D. C. Daly","4181","1986","10","29","South America","Brazil","Amazonas","Jutaí, newly-cleared called Breu, 10 Km of town center. Primary terra firme forest on level terrain.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3377550' target='other'> <mi>dwc_moreinfo</mi></a>","NY03136972","Jutaí","-66.75","-2.75",NA,NA,NA
"3","2009-07-24 15:19:00-03","MO","MOBOT","1915583","PreservedSpecimen","Plantae",NA,NA,"Ochnaceae","Quiina","cidiana","Quiina cidiana","J.V. Schneid. & Zizka","C.A. Cid Ferreira","Cid Ferreira 8513","1986","11","24","South America","Brazil","Amazonas","Alto rio Solimões, município de São Paulo de Olivenca plato ao sul da cidade, estrada para a localidade Bom Fim. Caatinga sobre solo arenoso branco.",NA,NA,NA,NA,NA,NA,"J.V. Schneider","Isotype","1"
"4","2008-05-27 22:02:00-03","MO","MOBOT","3079887","PreservedSpecimen","Plantae",NA,NA,"Ochnaceae","Quiina","cidiana","Quiina cidiana","J.V. Schneid. & Zizka","Douglas C. Daly","Daly 4181","1986","10","29","South America","Brazil","Amazonas","Mun. Jutaí, Jutaí, Forest by newly opened road called breu, @ 10km S of town center. Level terrain.",NA,NA,NA,NA,"-66.75","-2.75","J. Schnieder, 01/",NA,NA
