"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","geoFlag","phylum","yearIdentified","verbatimLongitude","verbatimLatitude","imagecode","continentOcean","class","order","monthIdentified","dayIdentified","fieldNumber","preparationType","individualCount"
"1","2020-11-13 09:21:02-03","UFRJ","RFA","13146","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","itatiaiae","pentandra","Symplocos itatiaiae pentandra","Mattos","J.L.M. Aranha Filho","Isotipo","G.G. Hatschbach","358","1946","09","07","Brasil","Paraná","Piraquara","Florestal","-49.0633010864258","-25.4416999816895","12577","930","930","Arbusto de 2 m de altura. Flor branca","RFA34387","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-13 09:21:02-03","UFRJ","RFA","13255","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra","(Mattos) Occhioni ex Aranha","P. Occhioni",NA,"G.G. Hatschbach","30703","1972","11","19","Brasil","Paraná","General Carneiro",NA,"-51.315601348877","-26.4274997711182","33284",NA,NA,"Arvoreta de 4 m, flor verde pálido","RFA50042","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-13 09:21:02-03","UFRJ","RFA","Foto 43297","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra","(Mattos) Occhioni ex Aranha","J.L.M. Aranha Filho",NA,"G.G. Hatschbach","14813","1966","10","10","Brasil","Paraná","São José dos Pinhais","Col. Roseira","-49.2064018249512","-25.5347003936768","45291",NA,NA,"Arvoreta do capão, flor alva","RFA-Foto45283","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:21:02-03","UFRJ","RFA","9172","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra","(Mattos) Occhioni ex Aranha","J.L.M. Aranha Filho",NA,"G.G. Hatschbach","14813","1966","10","10","Brasil","Paraná","São José dos Pinhais","Col. Roseira","-49.2064018249512","-25.5347003936768","45291",NA,NA,"Arvoreta do capão, flor alva","RFA34434","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-24 17:11:07-03","UTFPR","DVPR","2178","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra","Occhioni","Barboza, E",NA,"Caxambu, MG; et al.","5639","2014","10","24","Brasil","Paraná","Tibagi","Sítio Sete Quedas.","-50.15148","-24.34534",NA,"1054","1054","arbusto ca. 1 m, heliófito. Frutos imaturos verdes.; Relevo: ondulado - Vegetação: Savana (cerrado sensu strictu).","DVPR002178",NA,"Magnoliophyta","2015","-50.15148","-24.34534","DVPR002178",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:25:21-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra","Occhioni","Ribas, OS",NA,"Hatschbach, G; Goldenberg, R; Silva, JM","72449","2001","09","20","Brasil","Paraná","Inácio Martins","Rio Bananas","-51.0788993835449","-25.5711002349854","35964",NA,NA,"5m, flor alvacenta. Capão com araucária.",NA,"auto","Dicotyledon","2004",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:05:04-03","NBC","NL-BOTANY","U.1746846","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra","Occhioni",NA,NA,"Lindeman JC; Girardi AM; Porto ML",NA,"1971","12","03","Brazil",NA,NA,"Taimbezinho, campo na margem do peral.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1746846 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1746846",NA,NA,NA,NA,NA,"NL-U1746846","Southern America","Magnoliopsidae","Ericales",NA,NA,NA,NA,NA
"8","2020-02-08 09:05:04-03","NBC","NL-BOTANY","U.1746847","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra","Occhioni",NA,NA,"Lindeman JC; et al.",NA,"1972","11","13","Brazil",NA,NA,"Itaimbezinho, planalto dos Aparados da Serra, 45 km WNW de Torres.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1746847 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1746847",NA,NA,NA,NA,NA,"NL-U1746847","Southern America","Magnoliopsidae","Ericales",NA,NA,NA,NA,NA
"9","2020-11-04 11:20:09-03","ESALQ","ESA","37379","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra","(Mattos) Ochhioni ex Aranha","Aranha Filho, J.L.M.",NA,"Souza, V.C.; Leoni, L.S.; Souza, J.P.; Mazine, F.F.","12148.0","1996","09","02","Brasil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó. Caminho entre Tronqueira e o Pico da Bandeira (20º25'54.0S, 41º48'27.4W). Campo de altitude.","-41.8683013916016","-20.4333000183105","21645","1970","1970","Arbusto, ca. 3 m alt.; botões verdes.","ESA037379","auto","Magnoliophyta",NA,NA,NA,"ESA037379",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:20:09-03","ESALQ","ESA","88896","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra","(Mattos) Ochhioni ex Aranha","Aranha Filho, J.L.M.",NA,"Mazine, F.F. et al.","199.0","1999","10","19","Brasil","Espírito Santo","Dores do Rio Preto",NA,"-41.8452987670898","-20.6888999938965","23972",NA,NA,NA,"ESA088896","auto","Magnoliophyta",NA,NA,NA,"ESA088896",NA,NA,NA,NA,NA,NA,NA,NA
