"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","identifiedBy","county","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","class","dayIdentified","fieldNumber","individualCount","typeStatus"
"1","2016-10-19 09:50:00-02","NY","NYBG","2099832","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","garckeana","Pavonia garckeana","W. R. Anderson","8834","1973","04","13","South America","Brazil","Minas Gerais","Serra do Espinhaço, By Rio Jequití, 2 km from Mendanha","-43.55","-18.12","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2244189' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099832","NY02099832_01 NY02099832_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00942372","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","garckeana","Pavonia garckeana","L. M. M. Carreira","822","1983","05","05","South America","Brazil","Mato Grosso","Km 8 da estrada Vila Bela a Pontes e Lacerda- Picada da estrada de Sararé","-59.3353","-15.2261",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1035384' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942372","NY00942372_01","Gürke","P. A. Fryxell","Pontes e Lacerda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","407103","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","garckeana","Pavonia garckeana","B. Maguire","35911","1953","10","21","South America","Venezuela","Bolívar","Cerro Altamira",NA,NA,"300","350","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=54429' target='other'> <mi>dwc_moreinfo</mi></a>","NY00407103",NA,"Gürke","P. A. Fryxell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","2099830","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","garckeana","Pavonia garckeana","G. G. Hatschbach","62062","1995","03","19","South America","Brazil","Minas Gerais","Rod. BR-365, km 208.","-44.9619","-17.3511",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2244187' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099830","NY02099830_01","Gürke",NA,"Buritizeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","2099828","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","garckeana","Pavonia garckeana","G. G. Hatschbach","41310","1978","04","22","South America","Brazil","Minas Gerais","Rio Itacambiruçu","-42.8897018432617","-16.5594005584717",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2244185' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099828","NY02099828_01","Gürke",NA,"Grão Mogol","67219","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00942371","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","garckeana","Pavonia garckeana","C. E. O. Kuntze","s.n.","1892","03",NA,"South America","Brazil","Mato Grosso",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1035380' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942371","NY00942371_01","Gürke","R. L. A. M. Gürke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00942374","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","garckeana","Pavonia garckeana","A. Krapovickas","43128","1989","01","30","South America","Brazil","Mato Grosso","4 km de la BR-364, camino a Baron de Melgaço.","-56.0767","-15.8658",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1035420' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942374","NY00942374_01","Gürke",NA,"Santo Antônio do Leverger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","2099836","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","garckeana","Pavonia garckeana","H. S. Irwin","23333","1969","02","16","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 8 km west of Grão Mogol","-42.8944","-16.56475","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2244193' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099836","NY02099836_01","Gürke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00942375","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","garckeana","Pavonia garckeana","A. Krapovickas","40111","1985","05","18","South America","Brazil","Mato Grosso","18 Km W de Cáceres, BR-174.","-57.6789","-16.0708","130","130","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1035421' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942375","NY00942375_01","Gürke",NA,"Cáceres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","407102","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","garckeana","Pavonia garckeana","D. C. Zappi","CFCR12086","1988","05","29","South America","Brazil","Minas Gerais","Carrascal proximo ao Corrego da Bonita","-42.9","-16.58","700","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=54430' target='other'> <mi>dwc_moreinfo</mi></a>","NY00407102","NY00407102_01","Gürke","P. A. Fryxell","Grão Mogol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
