"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","typeStatus","relatedCatalogItem","individualCount","fieldNumber"
"1","2021-04-05 14:33:44-03","UNESC","CRI","8929","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","subavenia","Eugenia subavenia","O.Berg","M. Sobral","2010","01","25","S. Dreveck; F. E. Carneiro","1165","2009","10","17","Brasil","Santa Catarina","Joinville","Piraberaba, Rio da Prata.","-48.96","-26.19","48º57'36''W","26º11'24''S","32","32","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arvoreta","CRI004987","CRI004987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","594915","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","subavenia","Eugenia subavenia","O.Berg","F. F. Mazine",NA,NA,NA,"G. G. Hatschbach","13198","1965","11","30","Brazil","Paraná","Antonina","Rio Cotia","-48.7117","-25.4286",NA,NA,"350","350","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479373' target='other'> <mi>dwc_moreinfo</mi></a>","NY00594915","NY00594915_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1279942","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","subavenia","Eugenia subavenia","O.Berg","G. M. Barroso",NA,NA,NA,"G. Martinelli","10439","1984","12","04","Brazil","Rio de Janeiro","Magé","III° Distrito, Paraiso Centro de Primatologia do RJ","-43.0406","-22.6531",NA,NA,"100","100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1514650' target='other'> <mi>dwc_moreinfo</mi></a>","NY01279942","NY01279942_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","557912","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","subavenia","Eugenia subavenia","O.Berg","M. Sobral",NA,NA,NA,"L. R. Landrum","4004","1981","12","10","Brazil","Paraná","Antonina","Antonina, along road to Guaraquecaba","-48.67","-25.33",NA,NA,"100","100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479570' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557912","NY00557912_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","557764","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","subavenia","Eugenia subavenia","O.Berg","C. M. D. E. Legrand",NA,NA,NA,"J. C. Lindeman","319","1966","01","14","Brazil","Paraná","Morretes","Serra do Mar, slope above Bella Vista at old road Curitiba - Morretes","-48.8342","-25.4769",NA,NA,"530","530","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=78811' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557764","NY00557764_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","557762","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","subavenia","Eugenia subavenia","O.Berg","M. Sobral",NA,NA,NA,"A. C. Cervi","3187","1990","12","06","Brazil","Paraná","Quatro Barras","Estrada Graciosa Caminho jesuitas","-49.07","-25.35",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=78808' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557762","NY00557762_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","557914","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","subavenia","Eugenia subavenia","O.Berg","M. Sobral",NA,NA,NA,"L. R. Landrum","4001","1981","12","10","Brazil","Paraná","Antonina","Antonina, along road to Guaraquecaba","-48.67","-25.33",NA,NA,"100","100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479572' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557914","NY00557914_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1039223","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","subavenia","Eugenia subavenia","O.Berg",NA,NA,NA,NA,"G. Martinelli","10395","1984","11","23","Brazil","Rio de Janeiro","Guapimirim","Estação Ecológica Estadual de Paraíso.","-42.883","-22.483",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1482457' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039223","NY01039223_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","557765","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","subavenia","Eugenia subavenia","O.Berg","C. M. D. E. Legrand",NA,NA,NA,"R. Reitz","4628","1957","07","27","Brazil","Santa Catarina","Garuva","Mina Velha, Garuva, Sao Francisco do Sul","-48.8547","-26.0269",NA,NA,"10","10","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=78809' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557765","NY00557765_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","594921","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","subavenia","Eugenia subavenia","O.Berg","C. M. D. E. Legrand",NA,NA,NA,"G. G. Hatschbach","15135","1966","11","18","Brazil","Paraná","Guaratuba","Rio Sao Joao, Porto Miranda","-48.5744","-25.8831",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479278' target='other'> <mi>dwc_moreinfo</mi></a>","NY00594921","NY00594921_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
