"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","recordNumber","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","504441","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","sphaerogynus","Croton sphaerogynus","Baill.","J. A. Kallunki","L. Riedel","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=210398' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504441","NY00504441_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00836716","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","sphaerogynus","Croton sphaerogynus","Baill.","P. E. Berry","J. G. Jardim","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=591248' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836716","NY00836716_01","632","1995","03","30","Bahia","Ilhéus","Ca. 6 km ao W do Distrito de Olivença, na estrada Olivença-Vila Brasil","-39.0492","-14.7892",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02330236","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","sphaerogynus","Croton sphaerogynus","Baill.","M. B. R. Caruzo","C. Farney","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2523209' target='other'> <mi>dwc_moreinfo</mi></a>","NY02330236","NY02330236_01","4233","2000","10","17","Rio de Janeiro","Rio de Janeiro","Morro Dois Irmãos, Área do Projeto Mutirão Reflorestamento","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02330235","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","sphaerogynus","Croton sphaerogynus","Baill.","M. B. R. Caruzo","E. Pereira","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2523208' target='other'> <mi>dwc_moreinfo</mi></a>","NY02330235","NY02330235_01","4323","1958","09","23","Rio de Janeiro","Rio de Janeiro","Vista Chinesa","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","504439","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","sphaerogynus","Croton sphaerogynus","Baill.","G. L. Webster","S. A. Mori","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=210394' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504439","NY00504439_01","11970","1979","06","12","Bahia","Maraú","Rod. BR 030, trecho Ubaitaba/Maraú, 45-50 km a leste de Ubaitaba","-39.02","-14.18",NA,NA,"50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","504442","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","sphaerogynus","Croton sphaerogynus","Baill.",NA,"L. Riedel","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=210399' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504442","NY00504442_01",NA,NA,NA,NA,NA,NA,"{From protologue: Ad Serra da Piedade]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","504437","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","sphaerogynus","Croton sphaerogynus","Baill.","J. A. Kallunki","W. W. Thomas","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=210397' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504437","NY00504437_01","6131","1988","02","24","Espírito Santo","Guarapari","6 km N of Guarapari","-40.48","-20.62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","504438","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","sphaerogynus","Croton sphaerogynus","Baill.","C. Farney; E. C. Dalcin","C. Farney","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=210393' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504438","NY00504438_01","387","1983","12","20","Rio de Janeiro","Rio de Janeiro","P. N. da Tijuca. Estrada Dona Castorina","-43.2075","-22.9031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","504440","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","sphaerogynus","Croton sphaerogynus","Baill.","J. G. Kuhlmann","F. C. Hoehne","South America","Brazil","sheet","Ex. Herv. do coll. no. 296 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=210395' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504440","NY00504440_01","25051","1915","09","01","Rio de Janeiro","Rio de Janeiro","Corcovado","-43.212076","-22.951842",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02098738","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","sphaerogynus","Croton sphaerogynus","Baill.","P. E. Berry","S. C. de Sant'Ana","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1479872' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098738","NY02098738_01","1122","2004","02","19","Bahia","Ilhéus","Rod. a 6,0 km de Olivença na estrada para Vila Brasil","-39.035","-14.9775",NA,NA,"70","70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
