"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","797689","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Moquiniastrum","cinereum","Moquiniastrum cinereum","(Hook. & Arn.) G.Sancho","K. A. Freitas","O. Handro","156","1950","01","12","South America","Brazil","São Paulo","Capital, Jabaquara","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=584214' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797689","NY00797689_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","797690","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Moquiniastrum","cinereum","Moquiniastrum cinereum","(Hook. & Arn.) G.Sancho","K. A. Freitas","O. Handro","156","1950","01","12","South America","Brazil","São Paulo","Capital, Jabaquara","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=584215' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797690","NY00797690_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","797691","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Moquiniastrum","cinereum","Moquiniastrum cinereum","(Hook. & Arn.) G.Sancho","K. A. Freitas","P. K. H. Dusén","15690","1914","10","26","South America","Brazil","Paraná","Vila Velha","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=584216' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797691","NY00797691_01","-50.012929","-25.234872","875","875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","797688","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Moquiniastrum","cinereum","Moquiniastrum cinereum","(Hook. & Arn.) G.Sancho","K. A. Freitas","G. G. Hatschbach","21238","1969","03","10","South America","Brazil","Paraná","Parque Vila Velha","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=584212' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797688","NY00797688_01","-50.012929","-25.234872",NA,NA,"Ponta Grossa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","797687","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Moquiniastrum","cinereum","Moquiniastrum cinereum","(Hook. & Arn.) G.Sancho","K. A. Freitas","O. Handro","156","1950","01","12","South America","Brazil","São Paulo","Capital, Jabaquara","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=584213' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797687","NY00797687_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","797692","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Moquiniastrum","cinereum","Moquiniastrum cinereum","(Hook. & Arn.) G.Sancho","K. A. Freitas","P. K. H. Dusén","15690","1914","10","26","South America","Brazil","Paraná","Vila Velha","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=584217' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797692","NY00797692_01","-50.012929","-25.234872","875","875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-13 09:19:03-03","UFRJ","RFA","15729","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Gochnatia","orbiculata","Gochnatia orbiculata","(Malme) Cabrera","A. Cabrera","G.G. Hatschbach","21238","1969","03","10",NA,"Brasil","Paraná","Parque Vila Velha.",NA,"Subarbusto, capítulos creme.","RFA13607",NA,"-50.1618995666504","-25.0949993133545",NA,NA,"Ponta Grossa","1973","46557","auto",NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:10:56-03","UFBA","ALCB","87092","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Moquiniastrum","cinereum","Moquiniastrum cinereum","(Hook.f. & Arn.) G.Sancho","Matzenbacher, N","Roque, N; Ritter, MR; Matzenbacher, N","1949","2009","02","25","Southern America","Brasil","Rio Grande do Sul","Fazenda São Maximiano",NA,"até 50cm alt., folhas discolores. Brácteas involucrais verdes, corola e pápus creme.; Domínio Mata Atlântica.",NA,NA,"-51.3925","-30.179722","198","198","Guaíba","2009",NA,NA,"02","-51.3925","-30.179722",NA,NA,NA,NA
"9","2019-10-09 11:10:56-03","UFBA","ALCB","87094","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Moquiniastrum","cinereum","Moquiniastrum cinereum","(Hook.f. & Arn.) G.Sancho","Matzenbacher, N","Roque, N; Ritter, MR; Matzenbacher, N","1951","2009","02","25","Southern America","Brasil","Rio Grande do Sul","Fazenda São Maximiano",NA,"até 50cm alt., folhas discolores. Brácteas involucrais verdes, corola e pápus creme.; Domínio Mata Atlântica.",NA,NA,"-51.3925","-30.179722","198","198","Guaíba","2009",NA,NA,"02","-51.3925","-30.179722",NA,NA,NA,NA
"10","2019-10-09 11:10:56-03","UFBA","ALCB","124809","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Moquiniastrum","cinereum","Moquiniastrum cinereum","(Hook.f. & Arn.) G.Sancho",NA,"Dal Forno, M; Gostel, MR","2587","2015","11","10","Southern America","Brasil","Rio Grande do Sul","Growing near Matzembacher farm in clearing northwest of pond.",NA,"Small, 0.5 m, sterlie. Leaves argentous and densely pubescent below, subglabrous, dark green above.","ALCB017857","ALCB017857","-51.650278","-30.320833","36","36","Guaíba",NA,NA,NA,NA,"-51.650278","-30.320833",NA,NA,NA,NA
