"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","recordNumber","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","phylum","order","continentOcean","preparationType","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","infraspecificEpithet","typeStatus"
"1","2021-04-05 14:33:47-03","UNESC","CRI","3902","PreservedSpecimen","Plantae","Myrtaceae","Myrcianthes","pungens","Myrcianthes pungens","(O.Berg) D.Legrand","J. A. Jarenkow","J. A. Jarenkow","1988","12","01","Brasil","Rio Grande do Sul","Canguçu","-52.678611","-31.396389","52º40'43''W","31º23'47''S","CRI005320","CRI005320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:47-03","UNESC","CRI","14501","PreservedSpecimen","Plantae","Myrtaceae","Myrcianthes","pungens","Myrcianthes pungens","(O.Berg) D.Legrand","Gasper, AL de","Verdi, M.; Grosch, B. & Klemz, G.","2008","12","12","Brasil","Santa Catarina","Capão Alto","-50.716111","-28.214167","50º42'58''W","28º12'51''S","CRI013603","CRI013603","1182","Fazenda Santo Antônio. Fazenda Santo Antônio.","880","880","Fito IFFSC 483/S/25.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","885676","PreservedSpecimen","Plantae","Myrtaceae","Myrcianthes","pungens","Myrcianthes pungens","(O.Berg) D.Legrand","F. T. Grifo","R. M. Klein","1963","10","29","Brazil","Santa Catarina","Campos Novos","-51.2247","-27.4019",NA,NA,"NY00885676","NY00885676_01","4240","Tupitinga","800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006262' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","885679","PreservedSpecimen","Plantae","Myrtaceae","Myrcianthes","pungens","Myrcianthes pungens","(O.Berg) D.Legrand","L. R. Landrum","M. Rossato","1988","11","08","Brazil","Rio Grande do Sul","Nova Prata","-51.61","-28.7842",NA,NA,"NY00885679","NY00885679_01","4860","Horto Florestal","750","750","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006270' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","885677","PreservedSpecimen","Plantae","Myrtaceae","Myrcianthes","pungens","Myrcianthes pungens","(O.Berg) D.Legrand","F. T. Grifo","E. Henz","1945","10","10","Brazil","Rio Grande do Sul","Sao Leopoldo","-51.1469","-29.7606",NA,NA,"NY00885677","NY00885677_01","35350",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006264' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","885675","PreservedSpecimen","Plantae","Myrtaceae","Myrcianthes","pungens","Myrcianthes pungens","(O.Berg) D.Legrand","F. T. Grifo","R. M. Klein","1962","12","07","Brazil","Santa Catarina","Caçador","-51.0147","-26.7756",NA,NA,"NY00885675","NY00885675_01","3415","Rio do Bugre","800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006260' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","885673","PreservedSpecimen","Plantae","Myrtaceae","Myrcianthes","pungens","Myrcianthes pungens","(O.Berg) D.Legrand","F. T. Grifo","L. B. Smith","1964","10","19","Brazil","Santa Catarina","Itapiranga","-53.78","-27.12",NA,NA,"NY00885673","NY00885673_01","12734","Santo Antonio","200","250","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006254' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","885678","PreservedSpecimen","Plantae","Myrtaceae","Myrcianthes","pungens","Myrcianthes pungens","(O.Berg) D.Legrand","L. R. Landrum","V. Gelain","1990","12","24","Brazil","Rio Grande do Sul","Nova Prata","-51.61","-28.7842",NA,NA,"NY00885678","NY00885678_01","8016",NA,"800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006266' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","885671","PreservedSpecimen","Plantae","Myrtaceae","Myrcianthes","pungens","Myrcianthes pungens","(O.Berg) D.Legrand",NA,"K. Hagelund","1974","12","06","Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,"NY00885671","NY00885671_01","8327","São Borga, BR 285, km 511",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006246' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","885680","PreservedSpecimen","Plantae","Myrtaceae","Myrcianthes","pungens","Myrcianthes pungens","(O.Berg) D.Legrand",NA,"M. Sobral","1983","10",NA,"Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,"NY00885680","NY00885680_01","2539","Durasnal, Cachoeira do Sul.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006271' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
