"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","recordNumber","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","phylum","order","infraspecificEpithet","continentOcean","preparationType","typeStatus","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-04-05 14:25:20-03","UNESC","CRI","12311","PreservedSpecimen","Plantae","Fabaceae","Senna","pendula","Senna pendula","(Humb.& Bonpl.ex Willd.) H.S.Irwin & Barneby","Aline Votri Guislon & Peterson T. Padilha","2017","05","19","Alexandre Medeiros","2017","04","22","Brasil","Santa Catarina","Balneário Camboriú","Praia do Estaleiro.","-48.585","-27.023333","48º35'6''W","27º1'24''S","Coleta 178","CRI010495","CRI010495",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:20-03","UNESC","CRI","13234","PreservedSpecimen","Plantae","Fabaceae","Senna","pendula","Senna pendula","(Humb.& Bonpl.ex Willd.) H.S.Irwin & Barneby","Funez, L.A.","2015",NA,NA,"Funez, L.A.; Zermiani, A.E.","2015","05","05","Brasil","Santa Catarina","Garuva","Alto Quiriri. Alto Quiriri.","-48.954444","-26.039167","48º57'16''W","26º2'21''S",NA,"CRI011872",NA,"4358","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:20-03","UNESC","CRI","4779","PreservedSpecimen","Plantae","Fabaceae","Senna","pendula","Senna pendula","(Humb.& Bonpl.ex Willd.) H.S.Irwin & Barneby","Daniel B. Falkenberg",NA,NA,NA,"V. Citadini-Zanette; A. Zanette","1996","04","30","Brasil","Santa Catarina","Araranguá","Morro dos Conventos.","-49.486111","-28.935278","49º29'10''W","28º56'7''S",NA,"CRI003135","CRI003135",NA,"13","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:20-03","UNESC","CRI","12416","PreservedSpecimen","Plantae","Fabaceae","Senna","pendula","Senna pendula","(Humb.& Bonpl.ex Willd.) H.S.Irwin & Barneby","Renato Colares","2017","07","17","Alexandre Medeiros","2017","04","20","Brasil","Santa Catarina","Balneário Camboriú","Praia do Estaleiro.","-48.585","-27.023333","48º35'6''W","27º1'24''S","Coleta 125.","CRI010623","CRI010623",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:20-03","UNESC","CRI","6177","PreservedSpecimen","Plantae","Fabaceae","Senna","pendula","Senna pendula","(Humb.& Bonpl.ex Willd.) H.S.Irwin & Barneby","Renato Colares","2020","01","09","V. P. Boff; V. C. Zanette","1996","05","08","Brasil","Santa Catarina","Araranguá","Morro dos Conventos.","-49.486111","-28.935278","49º29'10''W","28º56'7''S",NA,"CRI003199","CRI003199",NA,"13","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:32-03","UNESC","CRI","10422","PreservedSpecimen","Plantae","Fabaceae","Senna","pendula","Senna pendula","(Humb.& Bonpl.ex Willd.) H.S.Irwin & Barneby",NA,NA,NA,NA,"Valdemar Boff","1997","09","19","Brasil","Santa Catarina","Araranguá","Morro dos Conventos - Loteamento Paiquerê.","-49.486111","-28.935278","49º29'10''W","28º56'7''S",NA,"CRI003136","CRI003136",NA,"4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:20-03","UNESC","CRI","4205","PreservedSpecimen","Plantae","Fabaceae","Senna","pendula","Senna pendula","(Humb.& Bonpl.ex Willd.) H.S.Irwin & Barneby","Renato Colares","2020","01","09","V. P. Boff","1995","06","30","Brasil","Santa Catarina","Araranguá","Cidade Alta.","-49.486111","-28.935278","49º29'10''W","28º56'7''S","Habitat: coletado no canteiro central da avenida Habito: árvore","CRI003201","CRI003201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:20-03","UNESC","CRI","13971","PreservedSpecimen","Plantae","Fabaceae","Senna","pendula","Senna pendula","(Humb.& Bonpl.ex Willd.) H.S.Irwin & Barneby","Renato Colares","2018","10","18","Valdemar Boff","1992","09","22","Brasil","Santa Catarina","Balneário Gaivota","Sombrio","-49.5793991088867","-29.1567001342773",NA,NA,"Habitat: Terrestre Habito: Arbustivo","CRI012614",NA,NA,NA,NA,"13542","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01081228","PreservedSpecimen","Plantae","Fabaceae","Senna","pendula","Senna pendula glabrata","(Vogel) H.S.Irwin & Barneby","H. S. Irwin; R. C. Barneby",NA,NA,NA,"R. P. Belém","1965","01","22","Brazil","Bahia",NA,"Entre Itiruçu e Maracas; Zona de mata.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1221807' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081228","NY01081228_01","223",NA,NA,NA,NA,"Magnoliophyta","Fabales","glabrata","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00748816","PreservedSpecimen","Plantae","Fabaceae","Senna","pendula","Senna pendula glabrata","(Vogel) H.S.Irwin & Barneby","H. S. Irwin; R. C. Barneby",NA,NA,NA,"H. S. Irwin","1969","03","16","Brazil","Goiás","Cavalcante","Chapada dos Veadeiros, ca. 38 km north of Veadeiros","-47.5167","-13.77324",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=884316' target='other'> <mi>dwc_moreinfo</mi></a>","NY00748816","NY00748816_01","24546","1000","1000",NA,NA,"Magnoliophyta","Fabales","glabrata","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01081231","PreservedSpecimen","Plantae","Fabaceae","Senna","pendula","Senna pendula glabrata","(Vogel) H.S.Irwin & Barneby","H. S. Irwin; R. C. Barneby",NA,NA,NA,"R. S. Pinheiro","1973","04","27","Brazil","Bahia","Mucuri","2 km da rod. para BR 101.","-39.5506","-18.0867",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1221814' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081231","NY01081231_01","2148",NA,NA,NA,NA,"Magnoliophyta","Fabales","glabrata","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"12","2016-09-27 19:52:00-03","NY","NYBG","1773675","PreservedSpecimen","Plantae","Fabaceae","Senna","pendula","Senna pendula missionum","H.S.Irwin & Barneby","R. C. Barneby",NA,NA,NA,"J. E. Montes","1956","04","10","Argentina","Misiones","San Ignacio","Pastoreo",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2007894' target='other'> <mi>dwc_moreinfo</mi></a>","NY01773675","NY01773675_01","14850","330","330",NA,NA,"Magnoliophyta","Fabales","missionum","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1773772","PreservedSpecimen","Plantae","Fabaceae","Senna","pendula","Senna pendula praeandina","H.S.Irwin & Barneby","R. C. Barneby",NA,NA,NA,"A. H. Gentry","1980","08","05","Peru","Ucayali","Coronel Portillo","Yarinacocha, near Pucallpa.","-74.55","-8.33",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2008929' target='other'> <mi>dwc_moreinfo</mi></a>","NY01773772","NY01773772_01","29374","200",NA,NA,NA,"Magnoliophyta","Fabales","praeandina","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1773794","PreservedSpecimen","Plantae","Fabaceae","Senna","pendula","Senna pendula scandens","(Benth.) H.S.Irwin & Barneby","R. C. Barneby; H. S. Irwin",NA,NA,NA,"G. Klug","1934","06",NA,"Peru","San Martín",NA,"Zepelacio, near Moyobamba.","-76.967434","-6.035259",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2013643' target='other'> <mi>dwc_moreinfo</mi></a>","NY01773794","NY01773794_01","3674","1100","1100",NA,NA,"Magnoliophyta","Fabales","scandens","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"15","2016-09-27 19:47:00-03","NY","NYBG","1773764","PreservedSpecimen","Plantae","Fabaceae","Senna","pendula","Senna pendula praeandina","H.S.Irwin & Barneby","R. C. Barneby",NA,NA,NA,"M. Saldías Paz","1990","05","12","Bolivia","Santa Cruz","Ñuflo de Chávez","Estancia Las Lajas, 15 km NW de San Javier","-62.57","-16.17",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2008827' target='other'> <mi>dwc_moreinfo</mi></a>","NY01773764","NY01773764_01","1065","768","768",NA,NA,"Magnoliophyta","Fabales","praeandina","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","00980639","PreservedSpecimen","Plantae","Fabaceae","Senna","pendula","Senna pendula glabrata","(Vogel) H.S.Irwin & Barneby","H. S. Irwin; R. C. Barneby",NA,NA,NA,"H. S. Irwin","1965","10","11","Brazil","Goiás","Formosa","Near Lagôa Feia, ca. 7 km S.E. of Formosa","-47.28716","-15.57803",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1094588' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980639","NY00980639_01","9141","900","900",NA,NA,"Magnoliophyta","Fabales","glabrata","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","4880","PreservedSpecimen","Plantae","Fabaceae","Senna","pendula","Senna pendula praeandina","H.S.Irwin & Barneby",NA,NA,NA,NA,"J. M. Schunke-Vigo","1967","06","06","Peru","Huánuco","Pachitea","Distrito Honoria: Bosque Nacional de Iparia, a lo largo del Río Pachitea cerca del campamento Miel de Abeja (1 km arriba del pueblo de Tournavista o unos 20 km arriba de la confluencia con el Río Ucayali. Alt. 300-400 m.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=245074' target='other'> <mi>dwc_moreinfo</mi></a>","NY00004880","NY00004880_01","2043",NA,NA,NA,NA,"Magnoliophyta","Fabales","praeandina","South America","sheet","holotype",NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","1773684","PreservedSpecimen","Plantae","Fabaceae","Senna","pendula","Senna pendula ovalifolia","H.S.Irwin & Barneby","R. C. Barneby; H. S. Irwin",NA,NA,NA,"J. A. Steyermark","1967","07","21","Venezuela","Falcón",NA,"Sierra de San Luis: Montaña de Paraguariba, entre el Hotel Parador y Curimagua",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2123638' target='other'> <mi>dwc_moreinfo</mi></a>","NY01773684","NY01773684_01","99360","1300",NA,NA,NA,"Magnoliophyta","Fabales","ovalifolia","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","00748841","PreservedSpecimen","Plantae","Fabaceae","Senna","pendula","Senna pendula glabrata","(Vogel) H.S.Irwin & Barneby","H. S. Irwin; R. C. Barneby",NA,NA,NA,"H. S. Irwin","1966","03","30","Brazil","Goiás","Formosa","Serra Geral de Goiás, Rio Paraná, ca. 35 km N. of Formosa, on road to São Gabriel","-47.38","-15.3",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=884319' target='other'> <mi>dwc_moreinfo</mi></a>","NY00748841","NY00748841_01","14304","950","950",NA,NA,"Magnoliophyta","Fabales","glabrata","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"20","2016-09-27 19:52:00-03","NY","NYBG","1773689","PreservedSpecimen","Plantae","Fabaceae","Senna","pendula","Senna pendula paludicola","H.S.Irwin & Barneby","R. C. Barneby",NA,NA,NA,"O. Ahumada","1980","03","02","Argentina","Corrientes","Esquina","Sobre Ruta 25.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2007918' target='other'> <mi>dwc_moreinfo</mi></a>","NY01773689","NY01773689_01","3454",NA,NA,NA,NA,"Magnoliophyta","Fabales","paludicola","South America","sheet",NA,NA,NA,NA,NA,NA,NA
