"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount","class","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","01045013","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Crotalaria","subdecurrens","Crotalaria subdecurrens","Mart. ex Benth.","A. Flores","H. S. Irwin","25770","1970","01","31","South America","Brazil","Minas Gerais","Patrocínio","Ca. 12 km N. of Patrocínio","-46.9925","-18.9439","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1187649' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045013","NY01045013_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01045038","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Crotalaria","subdecurrens","Crotalaria subdecurrens","Mart. ex Benth.","A. Flores","H. S. Irwin","11818","1966","01","19","South America","Brazil","Goiás","Goiás","Serra Dourada, near summit, Serra Dourada, ca. 20 km S.E. of Goiás Velho","-50.00111111","-16.0611","700","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1187646' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045038","NY01045038_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01045114","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Crotalaria","subdecurrens","Crotalaria subdecurrens","Mart. ex Benth.","A. Filliettaz","G. T. Prance","58438","1964","07","26","South America","Brazil","Goiás",NA,"Vicinity of Estrela do Norte, Belém-Brasília",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1187629' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045114","NY01045114_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01045037","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Crotalaria","subdecurrens","Crotalaria subdecurrens","Mart. ex Benth.","A. Filliettaz","H. S. Irwin","24169","1969","03","09","South America","Brazil","Goiás","Cavalcante","Chapada dos Veadeiros, ca. 12 km south of Cavalcante","-47.5","-13.90846","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1187643' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045037","NY01045037_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-24 17:10:40-03","UTFPR","DVPR","6645","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Crotalaria","subdecurrens","Crotalaria subdecurrens","Mart.","Hatschbach, G","Buttura, E","294","1979","11","07",NA,"Brasil","Paraná","Guaíra","Sete Quedas","-54.2557983398438","-24.0799999237061",NA,NA,NA,"Porte ereto, 0,8m; Capoeira baixa","DVPR006645",NA,"1980","07","10","33984","auto",NA,NA,NA,NA,NA,NA,NA
"6","2021-04-08 17:41:25-03","EAO","IAN","137978","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Crotalaria","subdecurrens","Crotalaria subdecurrens","Mart.","Flores, AS","Irwin, HS; Souza, R; Santos, RR dos","11057","1965","12","04","Southern America","Brasil","Goiás","Distrito Federal","Locally frequent. Campo and cerrado, near Rio Descoberto, on the Goiás-D. F. boundary between Anápolis and Brasilia. Highway cut.","-48.833333","-16","1010","1010",NA,"Erect subshrub to ca. 1,5m tall. Corolla yellow.","IAN137978",NA,"2003","07","04",NA,NA,"-48.833333","-16",NA,NA,NA,NA,NA
"7","2021-04-08 17:41:25-03","EAO","IAN","1465","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Crotalaria","subdecurrens","Crotalaria subdecurrens","Mart.",NA,"Gardner, A","3650",NA,NA,NA,"Southern America","Brasil","Goiás",NA,NA,NA,NA,NA,NA,NA,NA,"IAN001465","IAN001465_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-02 16:28:54-03","CPAN-UFMS","COR","17647","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Crotalaria","subdecurrens","Crotalaria subdecurrens","Mart. ex Benth.","Hatschbach, G","Buttura, E.","294","1979","11","07",NA,"Brasil","Paraná","Guaíra",NA,"-54.295556","-24.068889",NA,NA,NA,"Capoeira baixa",NA,NA,"1980","07","10",NA,NA,"54º17'44''W","24º4'8''S",NA,NA,NA,NA,NA
"9","2019-10-09 11:15:54-03","UFBA","ALCB","108420","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Crotalaria","subdecurrens","Crotalaria subdecurrens","Mart. ex Benth.","Ramos, G","Hurbath, F; Lamarck, R; Azevedo, FP; Borges, RL","499","2013","04","05","Southern America","Brasil","Bahia","Licínio de Almeida","Serra Geral. Fazenda Serrana, após mata ciliar.","-42.570556","-14.7375","1003","1003",NA,"ca. 1,7m. Folhas discolores. Cálice persistente castanho. Fruto imaturo esverdeado. Frutos maduros atro.; Cerrado.","ALCB030224","ALCB030224","2014","11","07",NA,NA,"-42.570556","-14.7375",NA,NA,NA,NA,NA
"10","2020-11-04 11:09:08-03","ESALQ","ESA","43446","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Crotalaria","subdecurrens","Crotalaria subdecurrens","Mart.",NA,"Souza, V.C.; Souza, J.P.; Duarte, A.R.; Mazine, F.F.","14289.0","1997","03","16",NA,"Brasil","Mato Grosso","São Félix do Araguaia","Beira do Rio das Mortes, próximo à desembocadura no Rio Araguaia. Arredores do Lago Patizal. Vegetação ribeirinha, alagada, com árvores esparsas (conhecida localmente como varjão).",NA,"-117.275",NA,NA,NA,"Erva, ca. 2 m alt.; flores amarelas.","ESA043446","ESA043446","1997","12","27",NA,NA,"-50,735,278","-117,275",NA,NA,NA,NA,NA
